,spouse_male,spouse_female,tuple,average_male,average_female,female-male
0,0.3584275,-0.064407155,"('unsociable', 'sociable')",0.3584275,-0.0644072,-0.4228347
1,1.0273633,1.5044435,"('unfriendly', 'friendly')",1.0273633,1.5044435,0.4770802
2,0.10324695,0.33320037,"('unlikable', 'likable')",0.1032469,0.3332004,0.2299535
3,1.100662,0.98763365,"('repellent', 'pleasant')",1.100662,0.9876336,-0.1130284
4,-6.993001,-6.9599843,"('disliked', 'liked')",-6.993001,-6.9599843,0.0330167
5,-0.645702,-0.2633435,"('distant', 'outgoing')",-0.645702,-0.2633435,0.3823585
6,-0.13104379,0.19936487,"('distant', 'open')",-0.1310438,0.1993649,0.3304087
7,1.4528362,1.195544,"('insensitive', 'sensitive')",1.4528362,1.195544,-0.2572922
8,0.96268785,1.2414613,"('unaffectionate', 'affectionate')",0.9626878,1.2414613,0.2787735
9,1.0616367,1.3879621,"('unaffectionate', 'caring')",1.0616367,1.3879621,0.3263254
10,1.2331778,0.782256,"('unsympathetic', 'sympathetic')",1.2331778,0.782256,-0.4509218
11,1.3964396,1.357623,"('unhelpful', 'helpful')",1.3964396,1.357623,-0.0388166
12,-1.4540175,-1.4421238,"('unsupportive', 'supportive')",-1.4540175,-1.4421238,0.0118937
13,0.071808375,-0.19802178,"('impolite', 'polite')",0.0718084,-0.1980218,-0.2698302
14,0.39534023,-0.046410292,"('antisocial', 'social')",0.3953402,-0.0464103,-0.4417505
15,0.39598003,0.45065597,"('boring', 'funny')",0.39598,0.450656,0.054676
16,-0.74719733,-0.5656901,"('unpopular', 'popular')",-0.7471973,-0.5656901,0.1815072
17,-0.123457015,-0.033826407,"('nasty', 'nice')",-0.123457,-0.0338264,0.0896306
18,-0.39921445,-0.13614184,"('disagreeable', 'welcoming')",-0.3992144,-0.1361418,0.2630726
19,-0.70717144,-0.21456401,"('inhospitable', 'hospitable')",-0.7071714,-0.214564,0.4926074
20,0.529876,0.2822144,"('rough', 'thoughtful')",0.529876,0.2822144,-0.2476616
21,0.016696455,-0.13281268,"('immoral', 'moral')",0.0166965,-0.1328127,-0.1495092
22,0.11352222,0.058884826,"('untrustworthy', 'trustworthy')",0.1135222,0.0588848,-0.0546374
23,5.9663067,6.152353,"('insincere', 'sincere')",5.9663067,6.1523528,0.1860461
