,vegetable_male,vegetable_female,tuple,average_male,average_female,female-male
0,-0.14935607,-0.056839745,"('unsociable', 'sociable')",-0.1493561,-0.0568397,0.0925164
1,0.85010207,0.7238687,"('unfriendly', 'friendly')",0.8501021,0.7238687,-0.1262334
2,-0.16814503,-0.09307927,"('unlikable', 'likable')",-0.168145,-0.0930793,0.0750657
3,0.8176896,0.9024952,"('repellent', 'pleasant')",0.8176896,0.9024952,0.0848056
4,-7.3446174,-7.55559,"('disliked', 'liked')",-7.3446174,-7.5555902,-0.2109728
5,-0.71676147,-0.8194628,"('distant', 'outgoing')",-0.7167615,-0.8194628,-0.1027013
6,-0.051772553,-0.2521608,"('distant', 'open')",-0.0517726,-0.2521608,-0.2003882
7,0.6421862,0.76741135,"('insensitive', 'sensitive')",0.6421862,0.7674114,0.1252252
8,0.7508362,0.56951475,"('unaffectionate', 'affectionate')",0.7508362,0.5695148,-0.1813214
9,0.9432221,0.9165591,"('unaffectionate', 'caring')",0.9432221,0.9165591,-0.026663
10,0.993663,1.154849,"('unsympathetic', 'sympathetic')",0.993663,1.1548491,0.1611861
11,1.1201767,1.2276201,"('unhelpful', 'helpful')",1.1201767,1.2276201,0.1074434
12,-1.9747876,-1.9717616,"('unsupportive', 'supportive')",-1.9747876,-1.9717616,0.003026
13,-0.26155156,-0.115432434,"('impolite', 'polite')",-0.2615516,-0.1154324,0.1461192
14,0.28694168,0.40169075,"('antisocial', 'social')",0.2869417,0.4016908,0.1147491
15,-0.032749828,-0.14925784,"('boring', 'funny')",-0.0327498,-0.1492578,-0.116508
16,-0.64890283,-0.72638774,"('unpopular', 'popular')",-0.6489028,-0.7263877,-0.0774849
17,-0.23514754,-0.2224868,"('nasty', 'nice')",-0.2351475,-0.2224868,0.0126607
18,-0.32684243,-0.36942604,"('disagreeable', 'welcoming')",-0.3268424,-0.369426,-0.0425836
19,-0.6905942,-0.8616586,"('inhospitable', 'hospitable')",-0.6905942,-0.8616586,-0.1710644
20,0.9650961,0.8987322,"('rough', 'thoughtful')",0.9650961,0.8987322,-0.0663639
21,-0.17244217,0.047784347,"('immoral', 'moral')",-0.1724422,0.0477843,0.2202265
22,-0.37145758,-0.2633792,"('untrustworthy', 'trustworthy')",-0.3714576,-0.2633792,0.1080784
23,6.014982,6.1428103,"('insincere', 'sincere')",6.0149822,6.1428103,0.1278281
24,1.3219208,1.289656,"('dishonest', 'honest')",1.3219208,1.289656,-0.0322648
25,0.78279155,0.6023697,"('egoistic', 'altruistic')",0.7827916,0.6023697,-0.1804219
26,0.73055416,0.6415017,"('hardhearted', 'benevolent')",0.7305542,0.6415017,-0.0890525
27,1.6341163,1.3984512,"('hardhearted', 'softhearted')",1.6341163,1.3984512,-0.2356651
28,0.8769033,0.8669223,"('disloyal', 'loyal')",0.8769033,0.8669223,-0.009981
29,-0.61667895,-0.7451062,"('unfair', 'fair')",-0.616679,-0.7451062,-0.1284272
30,1.0164617,1.11182,"('intolerant', 'tolerant')",1.0164617,1.11182,0.0953583
31,-1.2410507,-1.4441103,"('evil', 'good')",-1.2410507,-1.4441103,-0.2030596
32,0.82807493,0.78243566,"('unkind', 'kind')",0.8280749,0.7824357,-0.0456392
33,-0.656385,-0.7205405,"('wrong', 'right')",-0.656385,-0.7205405,-0.0641555
34,4.402688,4.5071697,"('mean', 'honorable')",4.402688,4.5071697,0.1044817
35,-0.5880016,-0.96014255,"('corrupt', 'incorrupt')",-0.5880016,-0.9601426,-0.372141
36,-0.6826058,-0.93048805,"('hostile', 'amicable')",-0.6826058,-0.930488,-0.2478822
37,0.80644417,0.7846874,"('fake', 'genuine')",0.8064442,0.7846874,-0.0217568
38,-0.4900785,-0.46701774,"('untruthful', 'truthful')",-0.4900785,-0.4670177,0.0230608
39,0.5345153,0.59440404,"('exploitative', 'cooperative')",0.5345153,0.594404,0.0598887
40,-1.4091644,-1.5320477,"('stingy', 'generous')",-1.4091644,-1.5320477,-0.1228833
41,-0.15776584,-0.08041251,"('unforgiving', 'forgiving')",-0.1577658,-0.0804125,0.0773533
42,-2.2216651,-2.2184348,"('unreliable', 'reliable')",-2.2216651,-2.2184348,0.0032303
43,0.6528739,0.8258432,"('irresponsible', 'responsible')",0.6528739,0.8258432,0.1729693
44,-0.5447827,-0.5094627,"('prejudiced', 'unprejudiced')",-0.5447827,-0.5094627,0.03532
45,-0.07196369,-0.034847792,"('incompetent', 'competent')",-0.0719637,-0.0348478,0.0371159
46,-0.5550892,-0.39173812,"('uncompetitive', 'competitive')",-0.5550892,-0.3917381,0.1633511
47,5.0329847,5.2580986,"('stupid', 'smart')",5.0329847,5.2580986,0.2251139
48,0.15684608,0.23504323,"('unintelligent', 'intelligent')",0.1568461,0.2350432,0.0781971
