,sealed_male,sealed_female,tuple,air_male,air_female,corp_male,corp_female,average_male,average_female,female-male
0,1.3453764,1.4020058,"('unsociable', 'sociable')",-0.31188703,-0.41757256,0.877319,0.79820395,0.6369361,0.5942124,-0.0427237
1,-1.9610105,-2.1426747,"('unfriendly', 'friendly')",-1.2385441,-1.3550645,0.85104084,0.65946853,-0.7828379,-0.9460902,-0.1632523
2,0.5079764,0.4436958,"('unlikable', 'likable')",0.29657823,0.34001034,0.66517097,0.68045104,0.4899085,0.4880524,-0.0018561
3,0.97806823,1.1876504,"('repellent', 'pleasant')",-0.30068994,-0.1630863,0.746837,0.86805004,0.4747384,0.6308714,0.156133
4,-1.1603605,-1.2718534,"('disliked', 'liked')",0.30171177,0.35682645,-6.1730194,-6.163381,-2.3438894,-2.3594694,-0.01558
5,-2.991204,-3.1368039,"('distant', 'outgoing')",-1.1300616,-1.07953,-1.2709621,-1.3302144,-1.7974092,-1.8488495,-0.0514403
6,-2.9157922,-3.0248175,"('distant', 'open')",-1.1855695,-1.156354,-1.7511499,-1.8401679,-1.9508371,-2.0071131,-0.056276
7,2.466041,2.5629137,"('insensitive', 'sensitive')",0.3735626,0.40028,1.0966452,1.1701621,1.3120829,1.3777852,0.0657023
8,-2.476039,-2.647773,"('unaffectionate', 'affectionate')",-1.8090379,-1.9812071,-0.19046894,-0.35651633,-1.4918486,-1.6618322,-0.1699836
9,-0.9901381,-1.0410806,"('unaffectionate', 'caring')",-1.2643971,-1.3241485,0.8820134,0.81226337,-0.4575073,-0.5176553,-0.060148
10,1.8718879,2.0358217,"('unsympathetic', 'sympathetic')",-0.7183236,-0.77772665,0.39447743,0.39280477,0.5160139,0.5502999,0.034286
11,2.2031598,2.327646,"('unhelpful', 'helpful')",0.69722193,0.65792036,2.645353,2.631791,1.8485783,1.8724524,0.0238741
12,1.9268254,2.0248566,"('unsupportive', 'supportive')",0.05682718,0.12564558,-1.2316388,-1.2131162,0.2506713,0.312462,0.0617907
13,2.6128404,2.67071,"('impolite', 'polite')",1.0407289,0.95703924,0.31478164,0.2909781,1.3227836,1.3062425,-0.0165411
14,1.9864074,2.1218681,"('antisocial', 'social')",0.8352131,0.9124688,1.1531434,1.2248669,1.3249213,1.4197346,0.0948133
15,-0.65294766,-0.7351933,"('boring', 'funny')",0.38972065,0.3283619,-0.31180987,-0.32369098,-0.191679,-0.2435075,-0.0518285
16,-1.6564503,-1.7846817,"('unpopular', 'popular')",-0.2484658,-0.2780112,0.17423508,0.18961582,-0.5768936,-0.624359,-0.0474654
17,-0.99673,-0.9002895,"('nasty', 'nice')",-0.2682881,-0.21865724,-0.44604602,-0.255369,-0.5703547,-0.4581052,0.1122495
18,-0.24295327,-0.39897805,"('disagreeable', 'welcoming')",-0.257434,-0.268923,-0.45319903,-0.58218896,-0.3178621,-0.4166967,-0.0988346
19,-2.513846,-2.577875,"('inhospitable', 'hospitable')",-1.9725235,-1.9551281,-1.4214014,-1.417467,-1.9692569,-1.98349,-0.0142331
20,0.2077795,0.35875085,"('rough', 'thoughtful')",-0.4522652,-0.36141825,0.60297334,0.645138,0.1194959,0.2141569,0.094661
21,1.8794813,1.9721653,"('immoral', 'moral')",1.1198404,1.0949652,0.75481427,0.8959935,1.2513787,1.3210413,0.0696626
22,1.5527197,1.6303793,"('untrustworthy', 'trustworthy')",0.30637422,0.25378838,0.13332133,0.20268564,0.6641384,0.6956178,0.0314794
23,2.6570373,2.6922624,"('insincere', 'sincere')",0.2935937,0.20466849,6.306444,6.2609057,3.0856918,3.0526123,-0.0330795
24,0.992097,0.9891721,"('dishonest', 'honest')",-0.01579126,-0.07990749,1.3696151,1.2692405,0.7819736,0.7261684,-0.0558052
25,-1.8930551,-1.9275733,"('egoistic', 'altruistic')",-0.36335555,-0.34903514,0.30234185,0.22917613,-0.6513563,-0.6824775,-0.0311212
26,-1.2143599,-1.4720641,"('hardhearted', 'benevolent')",0.2492131,0.18107715,1.5305488,1.3767537,0.1884673,0.0285889,-0.1598784
27,-1.0485203,-1.0360267,"('hardhearted', 'softhearted')",-1.2097744,-1.1088469,0.40768206,0.40061146,-0.6168708,-0.5814207,0.0354501
28,0.46617138,0.5091649,"('disloyal', 'loyal')",-0.34273744,-0.36889368,1.3088026,1.1764851,0.4774122,0.4389187,-0.0384935
29,0.65656745,0.6489222,"('unfair', 'fair')",0.10621031,0.06831411,-0.29083356,-0.4217287,0.1573147,0.0985025,-0.0588122
30,2.0503488,2.1131294,"('intolerant', 'tolerant')",0.776997,0.74732655,1.4377404,1.463618,1.4216954,1.4413579,0.0196625
31,-3.8774145,-4.029103,"('evil', 'good')",-1.3504335,-1.4043671,-1.9553933,-2.0324955,-2.3944138,-2.4886551,-0.0942413
32,1.4000268,1.3595127,"('unkind', 'kind')",-0.21024725,-0.19832817,1.7444232,1.6024735,0.9780676,0.9212193,-0.0568483
33,-0.35042778,-0.39207342,"('wrong', 'right')",0.64826065,0.6067695,-0.8078178,-0.80125606,-0.169995,-0.19552,-0.025525
34,0.26868087,0.3410565,"('mean', 'honorable')",0.30110824,0.3400856,5.1903744,5.3272843,1.9200544,2.0028089,0.0827545
35,-2.8355541,-3.0298314,"('corrupt', 'incorrupt')",-1.0469067,-1.0625358,-1.8589654,-1.9564594,-1.9138088,-2.0162756,-0.1024668
36,-3.9148374,-4.106526,"('hostile', 'amicable')",-1.3739674,-1.3691038,-1.6881986,-1.7648367,-2.3256679,-2.4134889,-0.087821
37,-0.7707511,-0.7791144,"('fake', 'genuine')",-1.1448506,-1.1779388,-0.35120872,-0.38449764,-0.7556035,-0.7805169,-0.0249134
38,0.7138119,0.72901523,"('untruthful', 'truthful')",-0.18198124,-0.27003148,0.4099848,0.46406007,0.3139385,0.3076813,-0.0062572
39,1.8069474,1.9246905,"('exploitative', 'cooperative')",0.75415045,0.7884383,0.45610118,0.5329459,1.005733,1.0820249,0.0762919
