,cintas_male,cintas_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.6853198,-0.8452535,"('unsociable', 'sociable')",-0.33395427,-0.55635965,-0.509637,-0.7008066,-0.1911696
1,-1.0650582,-1.0842147,"('unfriendly', 'friendly')",1.2029245,1.1506488,0.0689331,0.0332171,-0.035716
2,0.97811025,0.9096832,"('unlikable', 'likable')",0.8835006,0.8255613,0.9308054,0.8676223,-0.0631831
3,-0.35883224,-0.24784839,"('repellent', 'pleasant')",1.1779925,1.1982375,0.4095801,0.4751946,0.0656145
4,-0.11967377,-0.031794246,"('disliked', 'liked')",-6.5241084,-6.555297,-3.3218911,-3.2935455,0.0283456
5,-1.0674165,-1.0116836,"('distant', 'outgoing')",-0.67859566,-0.50280446,-0.8730061,-0.757244,0.1157621
6,-1.5367012,-1.4793882,"('distant', 'open')",-0.83713096,-0.6603429,-1.1869161,-1.0698656,0.1170505
7,-0.15126881,-0.06581972,"('insensitive', 'sensitive')",0.29134676,0.34611014,0.070039,0.1401452,0.0701062
8,-0.8683154,-0.93488026,"('unaffectionate', 'affectionate')",0.54494864,0.5248455,-0.1616834,-0.2050174,-0.043334
9,-1.1817856,-1.2027355,"('unaffectionate', 'caring')",0.7842822,0.8932464,-0.1987517,-0.1547446,0.0440071
10,-0.65591407,-0.8934666,"('unsympathetic', 'sympathetic')",-0.7611587,-0.89807934,-0.7085364,-0.8957729,-0.1872365
11,0.25181332,0.14962368,"('unhelpful', 'helpful')",1.5370076,1.631277,0.8944104,0.8904503,-0.0039601
12,-0.06772534,0.048381895,"('unsupportive', 'supportive')",-2.1962967,-2.2034185,-1.1320111,-1.0775183,0.0544928
13,-0.05248546,-0.29255253,"('impolite', 'polite')",-0.9628896,-1.047282,-0.5076875,-0.6699172,-0.1622297
14,0.8186029,0.80981004,"('antisocial', 'social')",0.39168203,0.1961998,0.6051425,0.5030049,-0.1021376
15,0.21401317,0.04398781,"('boring', 'funny')",0.3182893,0.2817173,0.2661512,0.1628526,-0.1032986
16,-0.41702357,-0.41355178,"('unpopular', 'popular')",0.49783626,0.43991497,0.0404063,0.0131816,-0.0272247
17,-0.2577063,-0.17316319,"('nasty', 'nice')",-0.2821713,-0.2822339,-0.2699388,-0.2276985,0.0422403
18,0.32565847,0.4792786,"('disagreeable', 'welcoming')",-0.5301581,-0.48190865,-0.1022498,-0.001315,0.1009348
19,-1.1591027,-1.1539181,"('inhospitable', 'hospitable')",-0.7413166,-0.6293213,-0.9502096,-0.8916197,0.0585899
20,-0.08374938,0.020123065,"('rough', 'thoughtful')",0.77565277,0.7498928,0.3459517,0.3850079,0.0390562
21,0.6345023,0.45874962,"('immoral', 'moral')",-0.1816313,-0.31122926,0.2264355,0.0737602,-0.1526753
22,0.21929844,0.21905434,"('untrustworthy', 'trustworthy')",-0.84962183,-0.88384145,-0.3151617,-0.3323936,-0.0172319
23,-0.14029692,-0.22516438,"('insincere', 'sincere')",5.669345,5.7695107,2.764524,2.7721732,0.0076492
24,-0.2789498,-0.34181258,"('dishonest', 'honest')",0.42799217,0.5177996,0.0745212,0.0879935,0.0134723
25,0.2785921,0.3603245,"('egoistic', 'altruistic')",1.5227686,1.5281321,0.9006804,0.9442283,0.0435479
26,0.25516447,0.04210208,"('hardhearted', 'benevolent')",1.6830137,1.3541179,0.9690891,0.69811,-0.2709791
27,-0.21051545,-0.002893962,"('hardhearted', 'softhearted')",1.134781,1.1617792,0.4621328,0.5794426,0.1173098
28,-0.67601347,-0.7533445,"('disloyal', 'loyal')",0.9214552,0.8009848,0.1227209,0.0238202,-0.0989007
29,-0.49457675,-0.4368115,"('unfair', 'fair')",-0.22865972,-0.33919406,-0.3616182,-0.3880028,-0.0263846
30,1.015716,0.900939,"('intolerant', 'tolerant')",1.179941,1.0562769,1.0978285,0.978608,-0.1192205
31,-0.6752617,-0.47199023,"('evil', 'good')",-0.74033934,-0.7473955,-0.7078005,-0.6096929,0.0981076
32,0.7102591,0.40426567,"('unkind', 'kind')",0.8843305,0.56871825,0.7972948,0.486492,-0.3108028
33,-0.07306066,-0.09376468,"('wrong', 'right')",-0.6617851,-0.646718,-0.3674229,-0.3702413,-0.0028184
34,-0.12660807,-0.0334107,"('mean', 'honorable')",5.455395,5.744041,2.6643937,2.8553152,0.1909215
