,evil_male,evil_female,tuple,average_male,average_female,female-male
0,-0.28765175,-0.44842568,"('unsociable', 'sociable')",-0.2876517,-0.4484257,-0.160774
1,1.4547172,1.393488,"('unfriendly', 'friendly')",1.4547172,1.393488,-0.0612292
2,0.13335691,0.2021926,"('unlikable', 'likable')",0.1333569,0.2021926,0.0688357
3,0.7097041,0.7002816,"('repellent', 'pleasant')",0.7097041,0.7002816,-0.0094225
4,-7.683452,-7.5357924,"('disliked', 'liked')",-7.6834521,-7.5357924,0.1476597
5,-0.014798116,0.16335323,"('distant', 'outgoing')",-0.0147981,0.1633532,0.1781513
6,0.25436908,0.43928692,"('distant', 'open')",0.2543691,0.4392869,0.1849178
7,0.29868713,0.34715912,"('insensitive', 'sensitive')",0.2986871,0.3471591,0.048472
8,1.3543853,1.4254975,"('unaffectionate', 'affectionate')",1.3543853,1.4254975,0.0711122
9,2.031618,2.1748626,"('unaffectionate', 'caring')",2.0316181,2.1748626,0.1432445
10,1.1224098,1.169639,"('unsympathetic', 'sympathetic')",1.1224098,1.169639,0.0472292
11,2.230574,2.2718027,"('unhelpful', 'helpful')",2.2305739,2.2718027,0.0412288
12,-1.7627583,-1.7001572,"('unsupportive', 'supportive')",-1.7627583,-1.7001572,0.0626011
13,0.051985994,-0.1102495,"('impolite', 'polite')",0.051986,-0.1102495,-0.1622355
14,-0.8091746,-1.0860022,"('antisocial', 'social')",-0.8091746,-1.0860022,-0.2768276
15,0.10073395,0.04244836,"('boring', 'funny')",0.100734,0.0424484,-0.0582856
16,-0.35158914,-0.28211597,"('unpopular', 'popular')",-0.3515891,-0.282116,0.0694731
17,-0.7128873,-0.74148417,"('nasty', 'nice')",-0.7128873,-0.7414842,-0.0285969
18,-0.9763024,-1.1123286,"('disagreeable', 'welcoming')",-0.9763024,-1.1123286,-0.1360262
19,-0.30772778,-0.082984835,"('inhospitable', 'hospitable')",-0.3077278,-0.0829848,0.224743
20,0.6943799,0.4871882,"('rough', 'thoughtful')",0.6943799,0.4871882,-0.2071917
