,allegheny_male,allegheny_female,tuple,energy_male,energy_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.8669646,-0.8814072,"('unsociable', 'sociable')",-0.38846326,-0.5103506,-0.6004112,-0.7424361,-0.618613,-0.711398,-0.092785
1,1.0810779,1.0247036,"('unfriendly', 'friendly')",0.50014025,0.34606445,1.6287742,1.4945427,1.0699975,0.9551036,-0.1148939
2,0.4952816,0.5077649,"('unlikable', 'likable')",1.0752988,1.0586423,0.52256435,0.5720107,0.6977149,0.712806,0.0150911
3,-1.235494,-1.0861502,"('repellent', 'pleasant')",-0.16120651,-0.05606865,0.0038007908,0.063108504,-0.4642999,-0.3597035,0.1045964
4,-0.18038377,-0.20567343,"('disliked', 'liked')",0.50958884,0.36525154,-6.1717577,-6.2015314,-1.9475176,-2.0139844,-0.0664668
5,0.91530627,0.8247622,"('distant', 'outgoing')",0.024264708,-0.06107573,-0.0775601,-0.15268654,0.2873369,0.2036666,-0.0836703
6,0.9476065,0.8672381,"('distant', 'open')",-0.5151352,-0.64240557,0.35074103,0.27312386,0.2610708,0.1659855,-0.0950853
7,0.8113459,0.8750752,"('insensitive', 'sensitive')",0.7425648,0.8155306,0.7694088,0.79545236,0.7744398,0.8286861,0.0542463
8,1.1457648,1.0899733,"('unaffectionate', 'affectionate')",-0.83418906,-0.9882647,0.47631925,0.35738578,0.2626317,0.1530315,-0.1096002
9,1.9637239,1.9510301,"('unaffectionate', 'caring')",0.23886657,0.13797781,0.96536094,0.9066367,1.0559838,0.9985482,-0.0574356
10,0.500842,0.6392776,"('unsympathetic', 'sympathetic')",-0.5652174,-0.57741416,-0.25297534,-0.2728364,-0.1057836,-0.0703243,0.0354593
11,-0.11682871,-0.051470608,"('unhelpful', 'helpful')",0.35463086,0.41698903,1.7296304,1.7509025,0.6558108,0.7054737,0.0496629
12,2.0791736,2.128728,"('unsupportive', 'supportive')",0.7806931,0.7741818,-1.5769527,-1.6120801,0.427638,0.4302766,0.0026386
13,0.26127097,0.261982,"('impolite', 'polite')",0.021632932,0.09201969,-0.24709736,-0.3052495,0.0119355,0.0162507,0.0043152
14,-0.85256976,-0.7783867,"('antisocial', 'social')",0.40946063,0.46023858,-0.7943487,-0.7936392,-0.412486,-0.3705958,0.0418902
15,0.067492716,0.028529644,"('boring', 'funny')",-0.16073549,-0.26545364,0.34730834,0.3387751,0.0846885,0.0339504,-0.0507381
16,-1.3238256,-1.3781701,"('unpopular', 'popular')",-0.22931291,-0.27858672,0.42681357,0.42722794,-0.3754416,-0.409843,-0.0344014
17,-0.6430426,-0.6362243,"('nasty', 'nice')",-0.77891004,-0.70261997,-0.26608774,-0.17256097,-0.5626802,-0.5038017,0.0588785
18,0.20353892,0.20226982,"('disagreeable', 'welcoming')",-0.856762,-0.8811076,-0.4374386,-0.48820508,-0.3635539,-0.3890143,-0.0254604
19,0.4394065,0.3754451,"('inhospitable', 'hospitable')",-0.76478064,-0.83255565,0.0575774,0.05077435,-0.0892656,-0.1354454,-0.0461798
20,-0.32385132,-0.28437415,"('rough', 'thoughtful')",-0.27139553,-0.20295823,0.894086,0.93595904,0.0996131,0.1495422,0.0499291
21,0.40539408,0.506331,"('immoral', 'moral')",1.0662271,1.1013548,-0.8098395,-0.73137426,0.2205939,0.2921038,0.0715099
22,-0.8191428,-0.78200334,"('untrustworthy', 'trustworthy')",-0.84451306,-0.87249106,-1.0777289,-1.0745305,-0.9137949,-0.909675,0.0041199
23,0.13036689,0.16726811,"('insincere', 'sincere')",0.005471023,-0.019418458,5.5408707,5.4531384,1.8922362,1.866996,-0.0252402
24,1.2247024,1.1937339,"('dishonest', 'honest')",0.526499,0.4993246,0.7012973,0.6514259,0.8174996,0.7814948,-0.0360048
25,0.6393217,0.6077018,"('egoistic', 'altruistic')",0.945298,0.9159182,1.573969,1.5879284,1.052863,1.0371828,-0.0156802
26,1.0652459,0.971293,"('hardhearted', 'benevolent')",0.5390207,0.52733266,1.4008319,1.3732963,1.0016995,0.9573073,-0.0443922
27,1.0199673,1.0488071,"('hardhearted', 'softhearted')",0.23235585,0.33685383,1.7807193,1.7575918,1.0110141,1.0477509,0.0367368
28,0.1620506,0.13098039,"('disloyal', 'loyal')",-0.19959451,-0.33867425,0.62814826,0.51465976,0.1968681,0.102322,-0.0945461
29,-1.49438,-1.506507,"('unfair', 'fair')",-0.49517882,-0.54132754,-0.34841648,-0.47213918,-0.7793251,-0.8399913,-0.0606662
30,0.49987456,0.57530665,"('intolerant', 'tolerant')",1.0266087,0.9795669,1.2548814,1.1892998,0.9271216,0.9147244,-0.0123972
31,0.03783997,0.03384944,"('evil', 'good')",-1.1081587,-1.1377993,-0.83977836,-0.91316354,-0.636699,-0.6723711,-0.0356721
32,0.84180284,0.7920061,"('unkind', 'kind')",0.039122395,0.04068798,0.61181605,0.51851016,0.4975804,0.4504014,-0.047179
33,0.9223145,0.7921488,"('wrong', 'right')",1.2539908,1.1449093,-0.2627198,-0.3297419,0.6378618,0.5357721,-0.1020897
