,keurig_male,keurig_female,tuple,dr_male,dr_female,pepper_male,pepper_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.000627,-1.2154499,"('unsociable', 'sociable')",0.16257879,0.06588327,-0.08913397,-0.17896299,-0.2747202,-0.40172434,-0.3004756,-0.4325635,-0.1320879
1,-1.7153157,-1.667502,"('unfriendly', 'friendly')",-1.6778545,-1.6229457,0.8048986,0.77894187,1.5480576,1.4281312,-0.2600535,-0.2708437,-0.0107902
2,1.007481,1.0269117,"('unlikable', 'likable')",0.597238,0.6389831,-0.18743508,-0.1716114,0.57125944,0.620572,0.4971358,0.5287138,0.031578
3,-1.839806,-1.7485557,"('repellent', 'pleasant')",-1.9218955,-1.8421733,-2.6221864,-2.5541677,-0.15857871,-0.12233691,-1.6356168,-1.5668083,0.0688085
4,1.171962,1.1434115,"('disliked', 'liked')",0.39713353,0.3217854,0.21726471,0.15450738,-5.6850047,-5.840133,-0.9746611,-1.0551072,-0.0804461
5,0.28214154,0.3359885,"('distant', 'outgoing')",-1.1814098,-1.0549154,0.47842494,0.49140155,-0.5832883,-0.57696253,-0.2510329,-0.201122,0.0499109
6,-0.051267155,0.09402611,"('distant', 'open')",-1.7314718,-1.5538,0.18129033,0.23326996,-0.1912308,-0.2066636,-0.4481698,-0.3582919,0.0898779
7,-1.7626518,-1.7613524,"('insensitive', 'sensitive')",-1.2861055,-1.2451674,-1.0028001,-0.978353,0.28739685,0.31266564,-0.9410402,-0.9180518,0.0229884
8,-0.86456764,-0.7928309,"('unaffectionate', 'affectionate')",-1.4201747,-1.349185,0.060413923,0.037525907,0.38944748,0.34961796,-0.4587203,-0.438718,0.0200023
9,-1.4280909,-1.3864137,"('unaffectionate', 'caring')",-0.71999675,-0.69631517,0.06273881,0.02064097,0.7337828,0.71598834,-0.3378915,-0.3365249,0.0013666
10,-2.134796,-2.1806211,"('unsympathetic', 'sympathetic')",-1.2475946,-1.2072664,-1.8150293,-1.879444,-0.6310231,-0.65976745,-1.4571106,-1.4817748,-0.0246642
11,-1.3303661,-1.3836855,"('unhelpful', 'helpful')",0.3408863,0.2891725,-1.1682047,-1.2245227,1.5484388,1.5932016,-0.1523114,-0.1814585,-0.0291471
12,-0.82256514,-0.65970516,"('unsupportive', 'supportive')",0.37511432,0.5531879,-0.3548686,-0.26617312,-1.734371,-1.6969422,-0.6341726,-0.5174081,0.1167645
13,-0.77271867,-0.9626405,"('impolite', 'polite')",0.5602643,0.45146862,-0.19562742,-0.25065202,-0.4827176,-0.54455346,-0.2226999,-0.3265944,-0.1038945
14,-0.1782605,-0.320251,"('antisocial', 'social')",0.5547817,0.5449752,-1.405642,-1.4207492,-0.4887495,-0.52881193,-0.3794676,-0.4312092,-0.0517416
15,0.66137576,0.5025827,"('boring', 'funny')",0.31021056,0.158941,0.79416734,0.7648295,0.65459174,0.592965,0.6050864,0.5048295,-0.1002569
16,0.09040155,0.20624611,"('unpopular', 'popular')",-0.5142682,-0.42848063,-0.6234638,-0.560896,0.36211962,0.36670354,-0.1713027,-0.1041067,0.067196
17,-0.08763267,-0.07378891,"('nasty', 'nice')",-0.93318087,-0.8621809,-0.75734884,-0.72074264,-0.42582262,-0.38207,-0.5509963,-0.5096956,0.0413007
18,-0.23200984,-0.13166238,"('disagreeable', 'welcoming')",-0.7368833,-0.54275775,-0.9485013,-0.92265224,-0.56610894,-0.619422,-0.6208758,-0.5541236,0.0667522
19,-0.066943996,0.04317665,"('inhospitable', 'hospitable')",-0.12598601,-0.07483885,-0.37551028,-0.38266003,-0.17805725,-0.10036248,-0.1866244,-0.1286712,0.0579532
20,-0.36903,-0.35312578,"('rough', 'thoughtful')",-0.47545406,-0.46005315,-0.12404883,-0.0789545,0.84251446,0.808868,-0.0315046,-0.0208164,0.0106882
21,-1.2851574,-1.3452566,"('immoral', 'moral')",-0.38447237,-0.34633487,-1.2917528,-1.346885,-0.73812574,-0.7198983,-0.9248771,-0.9395937,-0.0147166
22,0.060245067,0.008028468,"('untrustworthy', 'trustworthy')",0.36478806,0.26349732,-0.7121112,-0.75990057,-0.80924195,-0.8978219,-0.27408,-0.3465492,-0.0724692
23,-1.7291187,-1.8265424,"('insincere', 'sincere')",-0.33117986,-0.36876452,-0.53577757,-0.55562365,5.3091936,5.2725005,0.6782794,0.6303926,-0.0478868
24,-0.8853372,-0.9417835,"('dishonest', 'honest')",-0.8632389,-0.8618188,-1.0363885,-1.0885562,0.40946844,0.35413504,-0.593874,-0.6345059,-0.0406319
25,-0.4806218,-0.42178032,"('egoistic', 'altruistic')",-1.5183676,-1.4574946,0.7590624,0.7510222,1.2598417,1.2525445,0.0049787,0.0310729,0.0260942
26,-0.2947598,-0.24313487,"('hardhearted', 'benevolent')",-0.3202723,-0.20807604,1.1596868,1.1915457,1.7695532,1.7080964,0.578552,0.6121078,0.0335558
27,-0.4732228,-0.39117235,"('hardhearted', 'softhearted')",-1.7908865,-1.6689934,-0.21069142,-0.19116382,1.044235,0.9539478,-0.3576415,-0.3243454,0.0332961
28,-1.5062335,-1.6253035,"('disloyal', 'loyal')",-1.0012456,-1.1261289,-0.5175816,-0.6825557,0.82772344,0.6818784,-0.5493343,-0.6880274,-0.1386931
29,0.040910326,0.0129267145,"('unfair', 'fair')",-0.04526189,-0.072370514,-0.4211685,-0.42522892,-0.3508708,-0.48500657,-0.1940977,-0.2424198,-0.0483221
30,-0.5047323,-0.6135217,"('intolerant', 'tolerant')",0.36074808,0.32415122,-0.016358986,-0.07062958,1.1496373,1.0509931,0.2473235,0.1727483,-0.0745752
