,estuary_male,estuary_female,tuple,average_male,average_female,female-male
0,0.4209922,0.37789917,"('unsociable', 'sociable')",0.4209922,0.3778992,-0.043093
1,0.8152903,0.7649106,"('unfriendly', 'friendly')",0.8152903,0.7649106,-0.0503797
2,0.0739069,0.16077964,"('unlikable', 'likable')",0.0739069,0.1607796,0.0868727
3,0.8333124,0.8998979,"('repellent', 'pleasant')",0.8333124,0.8998979,0.0665855
4,-6.9591165,-7.194006,"('disliked', 'liked')",-6.9591165,-7.194006,-0.2348895
5,-0.6891453,-0.77368283,"('distant', 'outgoing')",-0.6891453,-0.7736828,-0.0845375
6,-0.1917137,-0.36104164,"('distant', 'open')",-0.1917137,-0.3610416,-0.1693279
7,1.3352361,1.3946872,"('insensitive', 'sensitive')",1.3352361,1.3946872,0.0594511
8,0.7332826,0.72132945,"('unaffectionate', 'affectionate')",0.7332826,0.7213295,-0.0119531
9,0.99300617,1.0288848,"('unaffectionate', 'caring')",0.9930062,1.0288848,0.0358786
10,1.1722405,1.2812146,"('unsympathetic', 'sympathetic')",1.1722405,1.2812146,0.1089741
11,1.5028372,1.5691371,"('unhelpful', 'helpful')",1.5028372,1.5691371,0.0662999
12,-1.4198385,-1.4386806,"('unsupportive', 'supportive')",-1.4198385,-1.4386806,-0.0188421
13,0.03860773,0.14760575,"('impolite', 'polite')",0.0386077,0.1476057,0.108998
14,0.38980633,0.48393092,"('antisocial', 'social')",0.3898063,0.4839309,0.0941246
15,0.5162526,0.4480036,"('boring', 'funny')",0.5162526,0.4480036,-0.068249
16,-0.8889659,-1.0073986,"('unpopular', 'popular')",-0.8889659,-1.0073986,-0.1184327
17,0.1826384,0.22196773,"('nasty', 'nice')",0.1826384,0.2219677,0.0393293
18,-0.5378398,-0.5206899,"('disagreeable', 'welcoming')",-0.5378398,-0.5206899,0.0171499
19,-0.8574586,-0.8858889,"('inhospitable', 'hospitable')",-0.8574586,-0.8858889,-0.0284303
20,0.593535,0.4910937,"('rough', 'thoughtful')",0.593535,0.4910937,-0.1024413
21,0.078009285,0.26089782,"('immoral', 'moral')",0.0780093,0.2608978,0.1828885
22,0.078939356,0.064777955,"('untrustworthy', 'trustworthy')",0.0789394,0.064778,-0.0141614
23,5.744476,5.903403,"('insincere', 'sincere')",5.7444758,5.9034028,0.158927
24,1.3104705,1.2920095,"('dishonest', 'honest')",1.3104705,1.2920095,-0.018461
25,0.65705585,0.67251897,"('egoistic', 'altruistic')",0.6570559,0.672519,0.0154631
26,1.1276189,1.028173,"('hardhearted', 'benevolent')",1.1276189,1.028173,-0.0994459
27,1.6646085,1.4808552,"('hardhearted', 'softhearted')",1.6646085,1.4808552,-0.1837533
28,1.1416948,1.0710896,"('disloyal', 'loyal')",1.1416948,1.0710896,-0.0706052
29,-0.2101405,-0.3345079,"('unfair', 'fair')",-0.2101405,-0.3345079,-0.1243674
30,0.94962794,1.0653831,"('intolerant', 'tolerant')",0.9496279,1.0653831,0.1157552
31,-1.0413065,-1.2423598,"('evil', 'good')",-1.0413065,-1.2423598,-0.2010533
32,1.092868,1.0207934,"('unkind', 'kind')",1.092868,1.0207934,-0.0720746
33,-0.29100108,-0.40953302,"('wrong', 'right')",-0.2910011,-0.409533,-0.1185319
34,3.94239,4.1328588,"('mean', 'honorable')",3.94239,4.1328588,0.1904688
35,-1.0629165,-1.360862,"('corrupt', 'incorrupt')",-1.0629165,-1.360862,-0.2979455
36,-0.8462959,-1.028208,"('hostile', 'amicable')",-0.8462959,-1.028208,-0.1819121
37,1.1066271,1.0908617,"('fake', 'genuine')",1.1066271,1.0908617,-0.0157654
38,-0.61764354,-0.5276172,"('untruthful', 'truthful')",-0.6176435,-0.5276172,0.0900263
39,0.4929313,0.54124635,"('exploitative', 'cooperative')",0.4929313,0.5412464,0.0483151
40,-1.0539066,-1.2261968,"('stingy', 'generous')",-1.0539066,-1.2261968,-0.1722902
41,0.77303356,0.68881506,"('unforgiving', 'forgiving')",0.7730336,0.6888151,-0.0842185
