,eyelid_male,eyelid_female,tuple,average_male,average_female,female-male
0,-0.21096659,-0.3324223,"('unsociable', 'sociable')",-0.2109666,-0.3324223,-0.1214557
1,0.078973435,-0.11430065,"('unfriendly', 'friendly')",0.0789734,-0.1143007,-0.1932741
2,-0.08426531,-0.0040619075,"('unlikable', 'likable')",-0.0842653,-0.0040619,0.0802034
3,-0.21104641,0.04969678,"('repellent', 'pleasant')",-0.2110464,0.0496968,0.2607432
4,-3.4051576,-3.3972092,"('disliked', 'liked')",-3.4051576,-3.3972092,0.0079484
5,-1.1440113,-1.1427152,"('distant', 'outgoing')",-1.1440113,-1.1427152,0.0012961
6,-0.91091835,-0.9257105,"('distant', 'open')",-0.9109184,-0.9257105,-0.0147921
7,0.31289414,0.4478841,"('insensitive', 'sensitive')",0.3128941,0.4478841,0.13499
8,-0.06399398,-0.22697866,"('unaffectionate', 'affectionate')",-0.063994,-0.2269787,-0.1629847
9,0.23580177,0.12380927,"('unaffectionate', 'caring')",0.2358018,0.1238093,-0.1119925
10,0.2301735,0.2976904,"('unsympathetic', 'sympathetic')",0.2301735,0.2976904,0.0675169
11,1.2927802,1.4764577,"('unhelpful', 'helpful')",1.2927802,1.4764577,0.1836775
12,-0.9012486,-0.92395985,"('unsupportive', 'supportive')",-0.9012486,-0.9239599,-0.0227113
13,0.29687142,0.09686276,"('impolite', 'polite')",0.2968714,0.0968628,-0.2000086
14,0.087161094,0.09337444,"('antisocial', 'social')",0.0871611,0.0933744,0.0062133
15,0.54020435,0.42024896,"('boring', 'funny')",0.5402043,0.420249,-0.1199553
16,-0.8031592,-0.7416605,"('unpopular', 'popular')",-0.8031592,-0.7416605,0.0614987
17,-0.6364619,-0.56845164,"('nasty', 'nice')",-0.6364619,-0.5684516,0.0680103
18,-0.8031803,-0.80959505,"('disagreeable', 'welcoming')",-0.8031803,-0.809595,-0.0064147
19,-1.1444746,-1.0178548,"('inhospitable', 'hospitable')",-1.1444746,-1.0178548,0.1266198
20,0.82393366,0.74745023,"('rough', 'thoughtful')",0.8239337,0.7474502,-0.0764835
21,0.3422909,0.453759,"('immoral', 'moral')",0.3422909,0.453759,0.1114681
22,-0.60155696,-0.63650113,"('untrustworthy', 'trustworthy')",-0.601557,-0.6365011,-0.0349441
23,3.1119342,3.0784967,"('insincere', 'sincere')",3.1119342,3.0784967,-0.0334375
24,0.4361432,0.32132983,"('dishonest', 'honest')",0.4361432,0.3213298,-0.1148134
25,-0.6730085,-0.7403618,"('egoistic', 'altruistic')",-0.6730085,-0.7403618,-0.0673533
26,0.20642008,-0.100644745,"('hardhearted', 'benevolent')",0.2064201,-0.1006447,-0.3070648
27,0.7689364,0.65105206,"('hardhearted', 'softhearted')",0.7689364,0.6510521,-0.1178843
28,0.4137832,0.3159587,"('disloyal', 'loyal')",0.4137832,0.3159587,-0.0978245
29,-0.6384465,-0.65138596,"('unfair', 'fair')",-0.6384465,-0.651386,-0.0129395
30,0.69817394,0.6664686,"('intolerant', 'tolerant')",0.6981739,0.6664686,-0.0317053
31,-1.8898937,-1.8576528,"('evil', 'good')",-1.8898937,-1.8576528,0.0322409
32,0.45153698,0.28840628,"('unkind', 'kind')",0.451537,0.2884063,-0.1631307
33,-0.12353873,-0.26478982,"('wrong', 'right')",-0.1235387,-0.2647898,-0.1412511
34,2.4024088,2.5789948,"('mean', 'honorable')",2.4024088,2.5789948,0.176586
35,-0.70407224,-0.7800132,"('corrupt', 'incorrupt')",-0.7040722,-0.7800132,-0.075941
36,-0.9647347,-0.9643039,"('hostile', 'amicable')",-0.9647347,-0.9643039,0.0004308
37,0.44241995,0.38465422,"('fake', 'genuine')",0.4424199,0.3846542,-0.0577657
38,0.10766499,0.058974523,"('untruthful', 'truthful')",0.107665,0.0589745,-0.0486905
39,0.4668773,0.5082044,"('exploitative', 'cooperative')",0.4668773,0.5082044,0.0413271
