,knight_male,knight_female,tuple,average_male,average_female,female-male
0,0.0021867473,0.057118073,"('unsociable', 'sociable')",0.0021867,0.0571181,0.0549314
1,1.7761494,1.6627942,"('unfriendly', 'friendly')",1.7761494,1.6627942,-0.1133552
2,0.63739216,0.74418116,"('unlikable', 'likable')",0.6373922,0.7441812,0.106789
3,0.7799961,1.0810895,"('repellent', 'pleasant')",0.7799961,1.0810895,0.3010934
4,-7.07666,-6.9298286,"('disliked', 'liked')",-7.0766602,-6.9298286,0.1468316
5,-0.19171363,-0.13028564,"('distant', 'outgoing')",-0.1917136,-0.1302856,0.061428
6,0.106498964,0.14784351,"('distant', 'open')",0.106499,0.1478435,0.0413445
7,1.5109928,1.6706413,"('insensitive', 'sensitive')",1.5109928,1.6706413,0.1596485
8,1.4282767,1.2629989,"('unaffectionate', 'affectionate')",1.4282767,1.2629989,-0.1652778
9,1.8422908,1.7598637,"('unaffectionate', 'caring')",1.8422908,1.7598637,-0.0824271
10,1.3356044,1.553224,"('unsympathetic', 'sympathetic')",1.3356044,1.553224,0.2176196
11,1.972821,2.0440557,"('unhelpful', 'helpful')",1.972821,2.0440557,0.0712347
12,-1.0090523,-0.82143384,"('unsupportive', 'supportive')",-1.0090523,-0.8214338,0.1876185
13,0.25730684,0.35943997,"('impolite', 'polite')",0.2573068,0.35944,0.1021332
14,-0.033994578,0.051595654,"('antisocial', 'social')",-0.0339946,0.0515957,0.0855903
15,0.44647944,0.39259,"('boring', 'funny')",0.4464794,0.39259,-0.0538894
16,-0.76660204,-0.6672675,"('unpopular', 'popular')",-0.766602,-0.6672675,0.0993345
17,-0.17978409,-0.18460165,"('nasty', 'nice')",-0.1797841,-0.1846016,-0.0048175
18,-0.30736646,-0.3163254,"('disagreeable', 'welcoming')",-0.3073665,-0.3163254,-0.0089589
19,-0.019297555,-0.0349399,"('inhospitable', 'hospitable')",-0.0192976,-0.0349399,-0.0156423
20,0.6511931,0.5919603,"('rough', 'thoughtful')",0.6511931,0.5919603,-0.0592328
21,0.13025874,0.34961462,"('immoral', 'moral')",0.1302587,0.3496146,0.2193559
22,-0.018600453,0.058325704,"('untrustworthy', 'trustworthy')",-0.0186005,0.0583257,0.0769262
23,6.922259,6.8908973,"('insincere', 'sincere')",6.9222589,6.8908973,-0.0313616
24,2.1239986,2.1631343,"('dishonest', 'honest')",2.1239986,2.1631343,0.0391357
25,0.72091067,0.52976525,"('egoistic', 'altruistic')",0.7209107,0.5297652,-0.1911455
26,0.22438712,0.13184786,"('hardhearted', 'benevolent')",0.2243871,0.1318479,-0.0925392
27,1.5359027,1.4182503,"('hardhearted', 'softhearted')",1.5359027,1.4182503,-0.1176524
28,1.4397502,1.4198374,"('disloyal', 'loyal')",1.4397502,1.4198374,-0.0199128
29,-0.17178978,-0.25163808,"('unfair', 'fair')",-0.1717898,-0.2516381,-0.0798483
30,1.32802,1.284681,"('intolerant', 'tolerant')",1.32802,1.284681,-0.043339
31,-1.3586963,-1.4330063,"('evil', 'good')",-1.3586963,-1.4330063,-0.07431
32,1.3189275,1.2953581,"('unkind', 'kind')",1.3189275,1.2953581,-0.0235694
33,-0.31171644,-0.3430009,"('wrong', 'right')",-0.3117164,-0.3430009,-0.0312845
34,4.900496,4.921445,"('mean', 'honorable')",4.900496,4.9214449,0.0209489
35,-0.69544005,-0.9321137,"('corrupt', 'incorrupt')",-0.6954401,-0.9321137,-0.2366736
36,-0.6254558,-0.83374566,"('hostile', 'amicable')",-0.6254558,-0.8337457,-0.2082899
37,1.140829,1.161716,"('fake', 'genuine')",1.140829,1.161716,0.020887
38,0.24245274,0.19811647,"('untruthful', 'truthful')",0.2424527,0.1981165,-0.0443362
39,0.025264341,0.019692518,"('exploitative', 'cooperative')",0.0252643,0.0196925,-0.0055718
40,-1.015443,-0.94525164,"('stingy', 'generous')",-1.015443,-0.9452516,0.0701914
41,-0.05470076,-0.0656915,"('unforgiving', 'forgiving')",-0.0547008,-0.0656915,-0.0109907
42,-1.4946967,-1.3357207,"('unreliable', 'reliable')",-1.4946967,-1.3357207,0.158976
43,1.6066172,1.6191387,"('irresponsible', 'responsible')",1.6066172,1.6191387,0.0125215
44,-1.4355093,-1.5533172,"('prejudiced', 'unprejudiced')",-1.4355093,-1.5533172,-0.1178079
45,0.29746935,0.47593933,"('incompetent', 'competent')",0.2974693,0.4759393,0.17847
46,-0.36077097,-0.135526,"('uncompetitive', 'competitive')",-0.360771,-0.135526,0.225245
47,5.3215528,5.500439,"('stupid', 'smart')",5.3215528,5.5004392,0.1788864
48,1.1402287,1.1526439,"('unintelligent', 'intelligent')",1.1402287,1.1526439,0.0124152
49,0.48101282,0.6664254,"('unable', 'able')",0.4810128,0.6664254,0.1854126
50,0.3625991,0.45709124,"('clumsy', 'skillful')",0.3625991,0.4570912,0.0944921
51,0.87929356,1.1075541,"('uneducated', 'educated')",0.8792936,1.1075541,0.2282605
