,monster_male,monster_female,tuple,worldwide_male,worldwide_female,inc_male,inc_female,average_male,average_female,female-male
0,0.008506414,-0.19391266,"('unsociable', 'sociable')",0.30731386,0.21221831,-0.5825757,-0.79398453,-0.0889185,-0.2585596,-0.1696411
1,0.777943,0.51168525,"('unfriendly', 'friendly')",0.7847753,0.6314679,2.0843081,1.9774173,1.2156755,1.0401902,-0.1754853
2,-0.8428119,-0.9096779,"('unlikable', 'likable')",0.2796972,0.37020203,0.21267506,0.28778997,-0.1168132,-0.0838953,0.0329179
3,-1.2654048,-1.3145298,"('repellent', 'pleasant')",-0.5390322,-0.50719583,-0.287561,-0.3005107,-0.6973327,-0.7074121,-0.0100794
4,-1.1715925,-1.3091416,"('disliked', 'liked')",0.007141225,-0.034377635,-6.4778996,-6.5455427,-2.5474502,-2.6296873,-0.0822371
5,0.021048166,-0.0987188,"('distant', 'outgoing')",1.0350709,0.95358926,0.7678554,0.81328,0.6079915,0.5560501,-0.0519414
6,-0.60403204,-0.7187465,"('distant', 'open')",0.15477508,0.027387649,0.8533254,0.88363504,0.1346895,0.0640921,-0.0705974
7,-0.5864642,-0.6305492,"('insensitive', 'sensitive')",-0.6988182,-0.6131975,-0.061764188,-0.069801636,-0.4490155,-0.4378495,0.011166
8,0.4266169,0.30775744,"('unaffectionate', 'affectionate')",-0.40292332,-0.45191792,0.88774025,0.93829197,0.3038113,0.2647105,-0.0391008
9,1.1614972,1.087167,"('unaffectionate', 'caring')",0.65062624,0.6562893,1.5334,1.5967315,1.1151745,1.113396,-0.0017785
10,-0.05269689,-0.086467765,"('unsympathetic', 'sympathetic')",-1.0980396,-0.9304781,-0.99872535,-1.0614572,-0.7164873,-0.692801,0.0236863
11,0.46943706,0.5047958,"('unhelpful', 'helpful')",0.6276057,0.74728197,1.8024056,1.889055,0.9664828,1.0470443,0.0805615
12,0.6822098,0.6668286,"('unsupportive', 'supportive')",1.2764004,1.415172,-1.7507463,-1.7225358,0.069288,0.1198215,0.0505335
13,-0.34539384,-0.31959593,"('impolite', 'polite')",-0.27023846,-0.23822686,-0.53645134,-0.5941732,-0.3840279,-0.3839987,2.92e-05
14,-1.174768,-1.2030435,"('antisocial', 'social')",0.2861924,0.29165635,-1.4733015,-1.4911653,-0.7872923,-0.8008508,-0.0135585
15,0.40332404,0.41623572,"('boring', 'funny')",0.32579157,0.3087507,0.81527746,0.8400244,0.5147977,0.5216703,0.0068726
16,-1.6376152,-1.6494547,"('unpopular', 'popular')",-0.18809956,-0.23860124,0.75546306,0.7004423,-0.3567506,-0.3958712,-0.0391206
17,-1.8536377,-1.8540725,"('nasty', 'nice')",-1.6307706,-1.4659753,-0.5841544,-0.46032894,-1.3561877,-1.2601256,0.0960621
18,-1.5213573,-1.5756191,"('disagreeable', 'welcoming')",0.25923043,0.28894526,-0.5573914,-0.59292156,-0.6065061,-0.6265318,-0.0200257
19,-0.19346489,-0.23811175,"('inhospitable', 'hospitable')",0.2585502,0.18803836,0.36251563,0.41731757,0.1425336,0.1224147,-0.0201189
20,-0.9471195,-0.94684565,"('rough', 'thoughtful')",-0.71727407,-0.699711,0.42829224,0.4341713,-0.4120338,-0.4041284,0.0079054
21,0.004990929,-0.082009286,"('immoral', 'moral')",0.51505816,0.5822638,-0.94661397,-1.0132419,-0.1421883,-0.1709958,-0.0288075
22,-0.81814164,-0.9128289,"('untrustworthy', 'trustworthy')",0.20901652,0.17682472,-1.3838788,-1.4030318,-0.6643347,-0.7130121,-0.0486774
23,0.48130268,0.3777478,"('insincere', 'sincere')",1.2403041,1.2358576,5.8229704,5.790869,2.514859,2.4681582,-0.0467008
24,0.08429724,0.0066607166,"('dishonest', 'honest')",0.41844028,0.43654174,0.5138333,0.50590503,0.3388569,0.3163692,-0.0224877
25,-0.30540228,-0.42886335,"('egoistic', 'altruistic')",0.3138185,0.2665624,1.3951635,1.3140604,0.4678599,0.3839198,-0.0839401
26,0.012446107,-0.10643105,"('hardhearted', 'benevolent')",1.1442505,1.1346027,1.045393,1.0388055,0.7340299,0.6889923,-0.0450376
27,-1.0241996,-1.0069648,"('hardhearted', 'softhearted')",-1.0366241,-1.0138787,0.86339945,0.77974033,-0.3991414,-0.4137011,-0.0145597
28,0.6328128,0.47071865,"('disloyal', 'loyal')",0.54115605,0.4212622,0.86129284,0.76931816,0.6784205,0.5537663,-0.1246542
29,-1.2047321,-1.2596354,"('unfair', 'fair')",0.15143317,0.09498567,-0.40212837,-0.52721334,-0.4851424,-0.5639544,-0.078812
30,-0.3384202,-0.31483167,"('intolerant', 'tolerant')",0.17009732,0.24465506,0.69129986,0.64253515,0.1743257,0.1907862,0.0164605
31,-2.3055198,-2.421278,"('evil', 'good')",-0.98040164,-1.0891833,-1.123986,-1.1818857,-1.4699691,-1.5641157,-0.0941466
32,1.1482686,1.0889535,"('unkind', 'kind')",1.1592306,1.1875193,1.2454666,1.1383219,1.1843219,1.1382649,-0.046057
33,0.10201673,0.012719855,"('wrong', 'right')",0.006074995,-0.016116735,-0.45718446,-0.45313358,-0.1163642,-0.1521768,-0.0358126
34,-1.2146945,-1.203898,"('mean', 'honorable')",0.10041356,0.12597428,5.415315,5.5041385,1.433678,1.4754049,0.0417269
35,-0.3350208,-0.318978,"('corrupt', 'incorrupt')",-0.72475165,-0.8612329,-0.00028378516,-0.036132045,-0.3533521,-0.4054476,-0.0520955
36,-1.8218259,-1.9925449,"('hostile', 'amicable')",-0.726275,-0.93904305,-0.0049798638,-0.16397126,-0.8510269,-1.031853,-0.1808261
37,-0.6052638,-0.6104889,"('fake', 'genuine')",-1.0311818,-1.0322205,0.12166208,0.12177358,-0.5049279,-0.5069786,-0.0020507
