,rohm_male,rohm_female,tuple,&_male,&_female,haas_male,haas_female,co_male,co_female,average_male,average_female,female-male
0,-2.2579947,-2.4252508,"('unsociable', 'sociable')",-0.98314744,-1.0679693,-0.47305247,-0.68329376,0.08569281,-0.05390839,-0.9071254,-1.0576055,-0.1504801
1,0.7351159,0.6149398,"('unfriendly', 'friendly')",-0.6954681,-0.8147134,1.1743759,1.0635573,1.7148731,1.4990114,0.7322242,0.5906988,-0.1415254
2,0.87581116,0.90872115,"('unlikable', 'likable')",0.7318901,0.71838456,0.6096971,0.6499401,1.0718886,1.1485729,0.8223218,0.8564047,0.0340829
3,-2.3365653,-2.3438973,"('repellent', 'pleasant')",-0.5816606,-0.60738695,-2.153143,-2.1835847,-0.13467164,-0.11759198,-1.3015101,-1.3131152,-0.0116051
4,1.3313919,1.2129542,"('disliked', 'liked')",1.6875085,1.6337727,1.5206329,1.4043684,-6.491831,-6.423334,-0.4880744,-0.5430597,-0.0549853
5,2.0360336,2.0261908,"('distant', 'outgoing')",1.133401,1.1999494,2.4527164,2.4643764,-0.035156272,-0.035550673,1.3967487,1.4137415,0.0169928
6,2.0575335,2.080886,"('distant', 'open')",1.1937736,1.2577429,1.9334475,1.9721212,0.03738706,0.011528682,1.3055353,1.3305696,0.0250343
7,-2.2565742,-2.3137283,"('insensitive', 'sensitive')",-1.9813172,-1.964342,-0.89128464,-0.90298796,-0.34647804,-0.4114665,-1.3689134,-1.3981313,-0.0292179
8,0.47964025,0.35320923,"('unaffectionate', 'affectionate')",-0.2725187,-0.2754879,1.3074753,1.2234014,0.8626273,0.61295617,0.5943061,0.4785197,-0.1157864
9,0.33267778,0.18186654,"('unaffectionate', 'caring')",-0.34622273,-0.3792022,0.9998641,0.9343092,1.2613465,1.0564295,0.5619164,0.4483508,-0.1135656
10,-3.6040332,-3.7640457,"('unsympathetic', 'sympathetic')",-2.2309346,-2.3272464,-2.8022373,-2.93252,-0.40103704,-0.5983753,-2.2595606,-2.4055469,-0.1459863
