,fuel_male,fuel_female,tuple,average_male,average_female,female-male
0,-0.3932563,-0.34321198,"('unsociable', 'sociable')",-0.3932563,-0.343212,0.0500443
1,1.7751834,1.6433501,"('unfriendly', 'friendly')",1.7751834,1.6433501,-0.1318333
2,0.08818286,0.0631114,"('unlikable', 'likable')",0.0881829,0.0631114,-0.0250715
3,0.09868871,0.32117218,"('repellent', 'pleasant')",0.0986887,0.3211722,0.2224835
4,-7.2201166,-7.271779,"('disliked', 'liked')",-7.2201166,-7.2717791,-0.0516625
5,-0.010492951,-0.14025879,"('distant', 'outgoing')",-0.010493,-0.1402588,-0.1297658
6,0.42224038,0.21789192,"('distant', 'open')",0.4222404,0.2178919,-0.2043485
7,0.6608371,0.746633,"('insensitive', 'sensitive')",0.6608371,0.746633,0.0857959
8,1.497035,1.2772293,"('unaffectionate', 'affectionate')",1.497035,1.2772293,-0.2198057
9,1.6897959,1.5655414,"('unaffectionate', 'caring')",1.6897959,1.5655414,-0.1242545
10,0.3759944,0.5183549,"('unsympathetic', 'sympathetic')",0.3759944,0.5183549,0.1423605
11,1.4801521,1.491501,"('unhelpful', 'helpful')",1.4801521,1.491501,0.0113489
12,-1.9024453,-1.919238,"('unsupportive', 'supportive')",-1.9024453,-1.919238,-0.0167927
13,-0.6050944,-0.5109608,"('impolite', 'polite')",-0.6050944,-0.5109608,0.0941336
14,0.009086838,0.03787832,"('antisocial', 'social')",0.0090868,0.0378783,0.0287915
15,0.24175693,0.11971727,"('boring', 'funny')",0.2417569,0.1197173,-0.1220396
16,-0.3756415,-0.417544,"('unpopular', 'popular')",-0.3756415,-0.417544,-0.0419025
17,-0.011834947,-0.003993068,"('nasty', 'nice')",-0.0118349,-0.0039931,0.0078418
18,-0.40304857,-0.46305436,"('disagreeable', 'welcoming')",-0.4030486,-0.4630544,-0.0600058
19,-0.16093452,-0.25490946,"('inhospitable', 'hospitable')",-0.1609345,-0.2549095,-0.093975
20,0.91782576,0.87698233,"('rough', 'thoughtful')",0.9178258,0.8769823,-0.0408435
21,-0.65702957,-0.5141691,"('immoral', 'moral')",-0.6570296,-0.5141691,0.1428605
22,-0.8875955,-0.7771308,"('untrustworthy', 'trustworthy')",-0.8875955,-0.7771308,0.1104647
23,6.3179617,6.317262,"('insincere', 'sincere')",6.3179617,6.3172622,-0.0006995
24,1.3766263,1.2296582,"('dishonest', 'honest')",1.3766263,1.2296582,-0.1469681
25,1.0335258,0.9419739,"('egoistic', 'altruistic')",1.0335258,0.9419739,-0.0915519
26,1.3217465,1.1340237,"('hardhearted', 'benevolent')",1.3217465,1.1340237,-0.1877228
27,1.4885482,1.3191622,"('hardhearted', 'softhearted')",1.4885482,1.3191622,-0.169386
