,celanese_male,celanese_female,tuple,corp_male,corp_female,del_male,del_female,average_male,average_female,female-male
0,-0.8173127,-1.0466988,"('unsociable', 'sociable')",0.47007805,0.27627942,-0.50012493,-0.5679394,-0.2824532,-0.4461196,-0.1636664
1,-0.96050096,-1.2104818,"('unfriendly', 'friendly')",-0.32334402,-0.4661935,1.7266567,1.6543386,0.1476039,-0.0074456,-0.1550495
2,0.22515553,0.21513958,"('unlikable', 'likable')",1.2146473,1.1856215,0.359063,0.33961695,0.599622,0.580126,-0.019496
3,-0.5693296,-0.57361037,"('repellent', 'pleasant')",0.12987442,0.12723407,0.49877527,0.5454456,0.0197734,0.0330231,0.0132497
4,0.0202811,-0.019758817,"('disliked', 'liked')",0.2875035,0.28122863,-7.5792246,-7.6810474,-2.4238133,-2.4731925,-0.0493792
5,-0.9644165,-1.042672,"('distant', 'outgoing')",-0.90623116,-0.8768006,0.08767534,0.02124935,-0.5943241,-0.6327411,-0.038417
6,-0.90884876,-0.9850331,"('distant', 'open')",-1.6789511,-1.6498991,0.7201105,0.68398446,-0.6225632,-0.6503159,-0.0277527
7,-0.51737106,-0.51956713,"('insensitive', 'sensitive')",-0.5141893,-0.49634033,0.52003247,0.5516234,-0.1705093,-0.1547614,0.0157479
8,-0.14516339,-0.31914246,"('unaffectionate', 'affectionate')",-0.2302464,-0.27144173,1.5065619,1.4329042,0.3770507,0.2807734,-0.0962773
9,-1.0667984,-1.2425448,"('unaffectionate', 'caring')",-0.22958449,-0.30422118,1.5720718,1.5214175,0.0918963,-0.0084495,-0.1003458
10,-1.285838,-1.3898139,"('unsympathetic', 'sympathetic')",-1.4696993,-1.4997108,-0.29263803,-0.20084336,-1.0160584,-1.0301227,-0.0140643
11,-0.67843896,-0.7261599,"('unhelpful', 'helpful')",0.02598548,0.03291998,0.61397195,0.68388915,-0.0128272,-0.0031169,0.0097103
12,-0.69625986,-0.78926885,"('unsupportive', 'supportive')",-0.3234986,-0.1907485,-2.120679,-2.1382875,-1.0468125,-1.039435,0.0073775
13,-1.1858964,-1.2353745,"('impolite', 'polite')",-1.1304336,-1.1770706,-0.82343096,-0.8039224,-1.046587,-1.0721225,-0.0255355
14,-0.36296397,-0.31844306,"('antisocial', 'social')",1.0332938,0.98499995,-0.20757753,-0.30106688,0.1542508,0.12183,-0.0324208
15,0.29758388,0.28299364,"('boring', 'funny')",0.20272414,0.19726275,0.4384104,0.36205855,0.3129061,0.2807717,-0.0321344
16,0.16418405,0.10343049,"('unpopular', 'popular')",-0.005686216,-0.059057053,0.65642613,0.53319246,0.2716413,0.192522,-0.0791193
17,0.20285188,0.1946419,"('nasty', 'nice')",0.02253952,0.082048535,-1.0171335,-1.0260019,-0.263914,-0.2497705,0.0141435
18,-0.23963845,-0.21432082,"('disagreeable', 'welcoming')",0.11959552,0.10659343,-0.14401312,-0.29316533,-0.0880187,-0.1336309,-0.0456122
19,-1.4220625,-1.4701737,"('inhospitable', 'hospitable')",-1.3867258,-1.3774936,-0.29576632,-0.26197264,-1.0348516,-1.0365466,-0.001695
20,0.94463235,0.8331865,"('rough', 'thoughtful')",0.72266304,0.6401166,0.24442965,0.18229541,0.6372417,0.5518662,-0.0853755
21,-0.031697918,-0.0777954,"('immoral', 'moral')",0.24499229,0.15614383,-0.8687093,-0.7911274,-0.2184716,-0.237593,-0.0191214
22,-0.3919067,-0.4453784,"('untrustworthy', 'trustworthy')",0.07022255,-0.02666106,-1.1887645,-1.2616066,-0.5034829,-0.577882,-0.0743991
23,-1.0717492,-1.1931419,"('insincere', 'sincere')",-0.61036015,-0.6571677,5.6207223,5.6322017,1.312871,1.2606307,-0.0522403
24,-0.5311859,-0.64305604,"('dishonest', 'honest')",-0.6539771,-0.68480104,0.81807536,0.7555879,-0.1223626,-0.1907564,-0.0683938
25,0.6324108,0.5537109,"('egoistic', 'altruistic')",0.96660703,0.93386686,0.89600974,0.7860194,0.8316758,0.7578657,-0.0738101
26,0.043628804,-0.015019113,"('hardhearted', 'benevolent')",1.3323768,1.3850131,1.3364332,1.2756481,0.9041463,0.8818808,-0.0222655
27,-0.1353326,-0.15567559,"('hardhearted', 'softhearted')",-0.22101532,-0.15401618,1.5129826,1.4134,0.3855449,0.3679028,-0.0176421
28,-0.54853547,-0.66011316,"('disloyal', 'loyal')",0.54633677,0.4582614,0.8979652,0.8541892,0.2985888,0.2174458,-0.081143
29,-0.19997442,-0.21560186,"('unfair', 'fair')",-0.24400611,-0.3108508,-0.5745279,-0.6775602,-0.3395028,-0.4013376,-0.0618348
30,-1.1754383,-1.195653,"('intolerant', 'tolerant')",0.6283924,0.5848663,0.47468215,0.42819315,-0.0241212,-0.0608645,-0.0367433
31,-0.2637431,-0.2745343,"('evil', 'good')",-0.40650102,-0.3877558,-0.54582405,-0.61849815,-0.405356,-0.4269294,-0.0215734
32,-0.116290115,-0.15674779,"('unkind', 'kind')",0.23568785,0.13040571,1.0092379,0.92090225,0.3762119,0.2981867,-0.0780252
33,0.05783587,-0.026689995,"('wrong', 'right')",0.34861633,0.30330336,0.2181049,0.12515703,0.2081857,0.1339235,-0.0742622
