,aes_male,aes_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.67193514,-0.95693,"('unsociable', 'sociable')",-0.088083476,-0.34167168,-0.3800093,-0.6493008,-0.2692915
1,-2.0163405,-1.9768025,"('unfriendly', 'friendly')",1.0910034,1.1253545,-0.4626685,-0.425724,0.0369445
2,0.59177923,0.5232636,"('unlikable', 'likable')",0.638803,0.64463043,0.6152911,0.583947,-0.0313441
3,0.23628922,0.3023033,"('repellent', 'pleasant')",1.1891763,1.083399,0.7127328,0.6928512,-0.0198816
4,-0.5113459,-0.44415253,"('disliked', 'liked')",-6.6827273,-6.5981526,-3.5970366,-3.5211525,0.0758841
5,-1.924518,-1.8280051,"('distant', 'outgoing')",-0.732977,-0.50522846,-1.3287475,-1.1666168,0.1621307
6,-2.1194577,-1.9765792,"('distant', 'open')",-0.8953386,-0.6630383,-1.5073981,-1.3198087,0.1875894
7,0.22714001,0.24296673,"('insensitive', 'sensitive')",0.26018128,0.292987,0.2436606,0.2679769,0.0243163
8,-1.4071947,-1.352616,"('unaffectionate', 'affectionate')",0.2695213,0.36496982,-0.5688367,-0.4938231,0.0750136
9,-1.1909813,-1.1007421,"('unaffectionate', 'caring')",0.9817519,1.1255586,-0.1046147,0.0124083,0.117023
10,-0.50107855,-0.6310041,"('unsympathetic', 'sympathetic')",-0.5276057,-0.5893412,-0.5143421,-0.6101726,-0.0958305
11,0.44466993,0.3611765,"('unhelpful', 'helpful')",1.9676167,2.0255969,1.2061433,1.1933867,-0.0127566
12,-0.21308886,-0.18456672,"('unsupportive', 'supportive')",-2.1856854,-2.1506016,-1.1993871,-1.1675842,0.0318029
13,0.16523325,-0.041883368,"('impolite', 'polite')",-0.37800694,-0.48972446,-0.1063868,-0.2658039,-0.1594171
14,0.58249295,0.37913704,"('antisocial', 'social')",0.11937732,-0.19325851,0.3509351,0.0929393,-0.2579958
15,-0.22087474,-0.30756876,"('boring', 'funny')",-0.15309593,-0.14911297,-0.1869853,-0.2283409,-0.0413556
16,-0.48346627,-0.44152054,"('unpopular', 'popular')",0.8910529,0.83040416,0.2037933,0.1944418,-0.0093515
17,-0.09209712,-0.096694514,"('nasty', 'nice')",-0.51965827,-0.46911156,-0.3058777,-0.282903,0.0229747
18,-0.91231406,-0.9543676,"('disagreeable', 'welcoming')",-0.58516824,-0.6663131,-0.7487411,-0.8103403,-0.0615992
19,-1.4735658,-1.3488864,"('inhospitable', 'hospitable')",-0.755213,-0.52707845,-1.1143894,-0.9379824,0.176407
20,0.8634388,0.8319199,"('rough', 'thoughtful')",0.9417726,0.89244634,0.9026057,0.8621831,-0.0404226
21,0.7013336,0.5311383,"('immoral', 'moral')",-0.13091591,-0.24435648,0.2852088,0.1433909,-0.1418179
22,-0.6229894,-0.7141502,"('untrustworthy', 'trustworthy')",-1.0389949,-1.0579538,-0.8309922,-0.886052,-0.0550598
23,0.2626012,0.20945768,"('insincere', 'sincere')",6.2533493,6.1912956,3.2579753,3.2003767,-0.0575986
24,-0.3066491,-0.35528967,"('dishonest', 'honest')",0.6495212,0.6989643,0.171436,0.1718373,0.0004013
25,-0.4969844,-0.4576101,"('egoistic', 'altruistic')",0.7918737,0.7466241,0.1474447,0.144507,-0.0029377
26,-0.16671062,-0.31382886,"('hardhearted', 'benevolent')",1.3024429,1.1495571,0.5678661,0.4178641,-0.150002
27,-0.6564941,-0.52320033,"('hardhearted', 'softhearted')",0.8371154,0.8251525,0.0903107,0.1509761,0.0606654
28,-0.32947937,-0.30787632,"('disloyal', 'loyal')",1.2568383,1.2247475,0.4636795,0.4584356,-0.0052439
29,-1.378079,-1.3386986,"('unfair', 'fair')",-0.84622955,-0.90180236,-1.1121542,-1.1202505,-0.0080963
30,0.93522125,0.8111749,"('intolerant', 'tolerant')",1.02315,0.9484009,0.9791856,0.8797879,-0.0993977
31,-1.6330277,-1.4896181,"('evil', 'good')",-1.1848522,-1.102851,-1.40894,-1.2962346,0.1127054
32,-0.2754959,-0.39619422,"('unkind', 'kind')",0.8274514,0.583838,0.2759778,0.0938219,-0.1821559
33,-0.2910914,-0.30499336,"('wrong', 'right')",-0.7546913,-0.67334557,-0.5228913,-0.4891695,0.0337218
34,0.26833937,0.34002888,"('mean', 'honorable')",5.809681,5.9845576,3.03901,3.1622932,0.1232832
35,-0.8196811,-0.6962663,"('corrupt', 'incorrupt')",-0.7242906,-0.6521083,-0.7719859,-0.6741873,0.0977986
36,-1.5844201,-1.4789402,"('hostile', 'amicable')",-0.36317798,-0.30847344,-0.973799,-0.8937069,0.0800921
37,0.16772872,0.15102565,"('fake', 'genuine')",-0.30090284,-0.23814382,-0.0665871,-0.0435591,0.023028
38,-0.6772888,-0.6482938,"('untruthful', 'truthful')",0.22568968,0.43179137,-0.2257995,-0.1082512,0.1175483
