,racist_male,racist_female,tuple,average_male,average_female,female-male
0,0.26595062,0.2748148,"('unsociable', 'sociable')",0.2659506,0.2748148,0.0088642
1,1.472455,1.4349338,"('unfriendly', 'friendly')",1.472455,1.4349338,-0.0375212
2,0.6443763,0.73876005,"('unlikable', 'likable')",0.6443763,0.7387601,0.0943838
3,0.8755376,1.031868,"('repellent', 'pleasant')",0.8755376,1.031868,0.1563304
4,-6.994204,-6.945633,"('disliked', 'liked')",-6.994204,-6.9456329,0.0485711
5,-0.22141643,-0.18758744,"('distant', 'outgoing')",-0.2214164,-0.1875874,0.033829
6,-0.10885949,-0.078423105,"('distant', 'open')",-0.1088595,-0.0784231,0.0304364
7,1.5550468,1.6483729,"('insensitive', 'sensitive')",1.5550468,1.6483729,0.0933261
8,1.113036,1.0180063,"('unaffectionate', 'affectionate')",1.113036,1.0180063,-0.0950297
9,1.4230822,1.4495994,"('unaffectionate', 'caring')",1.4230822,1.4495994,0.0265172
10,1.6130898,1.7161047,"('unsympathetic', 'sympathetic')",1.6130898,1.7161047,0.1030149
11,2.1420007,2.1685693,"('unhelpful', 'helpful')",2.1420007,2.1685693,0.0265686
12,-0.79941785,-0.7212525,"('unsupportive', 'supportive')",-0.7994179,-0.7212525,0.0781654
13,0.3851829,0.38335216,"('impolite', 'polite')",0.3851829,0.3833522,-0.0018307
14,0.24763751,0.24661373,"('antisocial', 'social')",0.2476375,0.2466137,-0.0010238
15,0.25128588,0.23101209,"('boring', 'funny')",0.2512859,0.2310121,-0.0202738
16,-0.69119525,-0.59397423,"('unpopular', 'popular')",-0.6911952,-0.5939742,0.097221
17,-0.108841926,-0.093872905,"('nasty', 'nice')",-0.1088419,-0.0938729,0.014969
18,-0.1444051,-0.17227934,"('disagreeable', 'welcoming')",-0.1444051,-0.1722793,-0.0278742
19,-0.15264711,-0.13607365,"('inhospitable', 'hospitable')",-0.1526471,-0.1360736,0.0165735
20,0.7945171,0.67639655,"('rough', 'thoughtful')",0.7945171,0.6763965,-0.1181206
21,0.5494876,0.6952852,"('immoral', 'moral')",0.5494876,0.6952852,0.1457976
22,0.27868572,0.2909534,"('untrustworthy', 'trustworthy')",0.2786857,0.2909534,0.0122677
23,6.631528,6.682437,"('insincere', 'sincere')",6.6315279,6.6824369,0.050909
24,2.325903,2.3743882,"('dishonest', 'honest')",2.3259029,2.3743882,0.0484853
25,0.34501404,0.29172796,"('egoistic', 'altruistic')",0.345014,0.291728,-0.053286
26,0.06366117,0.035139054,"('hardhearted', 'benevolent')",0.0636612,0.0351391,-0.0285221
27,1.3049227,1.2128669,"('hardhearted', 'softhearted')",1.3049227,1.2128669,-0.0920558
28,1.2786942,1.293245,"('disloyal', 'loyal')",1.2786942,1.293245,0.0145508
29,-0.22666727,-0.3187669,"('unfair', 'fair')",-0.2266673,-0.3187669,-0.0920996
30,1.2867979,1.2345486,"('intolerant', 'tolerant')",1.2867979,1.2345486,-0.0522493
31,-1.528838,-1.5616788,"('evil', 'good')",-1.528838,-1.5616788,-0.0328408
32,1.3611647,1.3301004,"('unkind', 'kind')",1.3611647,1.3301004,-0.0310643
33,-0.608216,-0.59848773,"('wrong', 'right')",-0.608216,-0.5984877,0.0097283
34,4.335401,4.493234,"('mean', 'honorable')",4.3354011,4.4932342,0.1578331
35,-1.1500188,-1.2795424,"('corrupt', 'incorrupt')",-1.1500188,-1.2795424,-0.1295236
36,-1.102079,-1.1701732,"('hostile', 'amicable')",-1.102079,-1.1701732,-0.0680942
37,1.1205902,1.1040804,"('fake', 'genuine')",1.1205902,1.1040804,-0.0165098
38,0.2580736,0.25590384,"('untruthful', 'truthful')",0.2580736,0.2559038,-0.0021698
39,0.20848249,0.2006628,"('exploitative', 'cooperative')",0.2084825,0.2006628,-0.0078197
40,-0.95733666,-0.9793315,"('stingy', 'generous')",-0.9573367,-0.9793315,-0.0219948
