,swell_male,swell_female,tuple,average_male,average_female,female-male
0,0.34054837,0.30438742,"('unsociable', 'sociable')",0.3405484,0.3043874,-0.036161
1,1.7355285,1.8605549,"('unfriendly', 'friendly')",1.7355285,1.8605549,0.1250264
2,0.42975003,0.6081837,"('unlikable', 'likable')",0.42975,0.6081837,0.1784337
3,1.3358432,1.3723572,"('repellent', 'pleasant')",1.3358432,1.3723572,0.036514
4,-6.7698236,-6.7689486,"('disliked', 'liked')",-6.7698236,-6.7689486,0.000875
5,-0.0678173,0.11901699,"('distant', 'outgoing')",-0.0678173,0.119017,0.1868343
6,0.35080695,0.51449126,"('distant', 'open')",0.350807,0.5144913,0.1636843
7,1.5927566,1.8779472,"('insensitive', 'sensitive')",1.5927566,1.8779472,0.2851906
8,1.0264322,1.0813317,"('unaffectionate', 'affectionate')",1.0264322,1.0813317,0.0548995
9,1.4738643,1.6273699,"('unaffectionate', 'caring')",1.4738643,1.6273699,0.1535056
10,1.277407,1.3856543,"('unsympathetic', 'sympathetic')",1.2774071,1.3856543,0.1082472
11,2.0637183,2.1606746,"('unhelpful', 'helpful')",2.0637183,2.1606746,0.0969563
12,-1.2144344,-0.8324544,"('unsupportive', 'supportive')",-1.2144344,-0.8324544,0.38198
13,0.20977673,0.071480624,"('impolite', 'polite')",0.2097767,0.0714806,-0.1382961
14,0.0686768,-0.04445715,"('antisocial', 'social')",0.0686768,-0.0444571,-0.1131339
15,0.6259376,0.71766245,"('boring', 'funny')",0.6259376,0.7176625,0.0917249
16,-0.4622777,-0.3625844,"('unpopular', 'popular')",-0.4622777,-0.3625844,0.0996933
17,-0.2171468,-0.24289787,"('nasty', 'nice')",-0.2171468,-0.2428979,-0.0257511
18,-0.14894187,-0.04528316,"('disagreeable', 'welcoming')",-0.1489419,-0.0452832,0.1036587
19,-0.31212503,0.02490376,"('inhospitable', 'hospitable')",-0.312125,0.0249038,0.3370288
20,0.7890836,0.69248736,"('rough', 'thoughtful')",0.7890836,0.6924874,-0.0965962
21,0.41398442,0.65270936,"('immoral', 'moral')",0.4139844,0.6527094,0.238725
22,0.13006845,0.20429026,"('untrustworthy', 'trustworthy')",0.1300685,0.2042903,0.0742218
23,6.742061,6.988372,"('insincere', 'sincere')",6.7420611,6.9883718,0.2463107
24,2.2259085,2.5954618,"('dishonest', 'honest')",2.2259085,2.5954618,0.3695533
25,1.0002447,0.8056982,"('egoistic', 'altruistic')",1.0002447,0.8056982,-0.1945465
26,0.5603641,0.4756405,"('hardhearted', 'benevolent')",0.5603641,0.4756405,-0.0847236
27,2.0479012,1.9436241,"('hardhearted', 'softhearted')",2.0479012,1.9436241,-0.1042771
28,1.2200161,1.157946,"('disloyal', 'loyal')",1.2200161,1.157946,-0.0620701
29,-0.51263463,-0.49264255,"('unfair', 'fair')",-0.5126346,-0.4926426,0.019992
30,0.9223569,1.0037832,"('intolerant', 'tolerant')",0.9223569,1.0037832,0.0814263
31,-1.2796532,-1.1838835,"('evil', 'good')",-1.2796532,-1.1838835,0.0957697
32,1.5901443,1.6507452,"('unkind', 'kind')",1.5901443,1.6507452,0.0606009
33,-0.21896234,-0.10550563,"('wrong', 'right')",-0.2189623,-0.1055056,0.1134567
34,4.561036,4.863562,"('mean', 'honorable')",4.5610361,4.8635621,0.302526
35,-1.1403545,-1.1305628,"('corrupt', 'incorrupt')",-1.1403545,-1.1305628,0.0097917
36,-1.1501243,-1.2403289,"('hostile', 'amicable')",-1.1501243,-1.2403289,-0.0902046
37,1.3271742,1.2596138,"('fake', 'genuine')",1.3271742,1.2596138,-0.0675604
38,0.04342182,0.22274867,"('untruthful', 'truthful')",0.0434218,0.2227487,0.1793269
39,0.20776458,0.27778912,"('exploitative', 'cooperative')",0.2077646,0.2777891,0.0700245
40,-0.46306273,-0.53628945,"('stingy', 'generous')",-0.4630627,-0.5362895,-0.0732268
41,0.03583323,-0.015220434,"('unforgiving', 'forgiving')",0.0358332,-0.0152204,-0.0510536
42,-1.8530625,-1.8804488,"('unreliable', 'reliable')",-1.8530625,-1.8804488,-0.0273863
