,prostacyclin_male,prostacyclin_female,tuple,average_male,average_female,female-male
0,-1.3726664,-1.4050251,"('unsociable', 'sociable')",-1.3726664,-1.4050251,-0.0323587
1,-0.8736188,-0.98614866,"('unfriendly', 'friendly')",-0.8736188,-0.9861487,-0.1125299
2,0.39771616,0.41507268,"('unlikable', 'likable')",0.3977162,0.4150727,0.0173565
3,-1.3030766,-1.1826668,"('repellent', 'pleasant')",-1.3030766,-1.1826668,0.1204098
4,-0.83724177,-0.8699256,"('disliked', 'liked')",-0.8372418,-0.8699256,-0.0326838
5,-0.28883818,-0.21966273,"('distant', 'outgoing')",-0.2888382,-0.2196627,0.0691755
6,-0.015309554,0.03476969,"('distant', 'open')",-0.0153096,0.0347697,0.0500793
7,-1.9473133,-1.9178061,"('insensitive', 'sensitive')",-1.9473133,-1.9178061,0.0295072
8,-1.1149293,-1.3161888,"('unaffectionate', 'affectionate')",-1.1149293,-1.3161888,-0.2012595
9,-1.4289758,-1.5729266,"('unaffectionate', 'caring')",-1.4289758,-1.5729266,-0.1439508
10,-2.279828,-2.2259817,"('unsympathetic', 'sympathetic')",-2.2798281,-2.2259817,0.0538464
11,-0.76662934,-0.79892653,"('unhelpful', 'helpful')",-0.7666293,-0.7989265,-0.0322972
12,-1.0198648,-0.9066903,"('unsupportive', 'supportive')",-1.0198648,-0.9066903,0.1131745
13,-1.5704678,-1.546176,"('impolite', 'polite')",-1.5704678,-1.546176,0.0242918
14,-1.1175246,-1.0645657,"('antisocial', 'social')",-1.1175246,-1.0645657,0.0529589
15,0.4751474,0.39995039,"('boring', 'funny')",0.4751474,0.3999504,-0.075197
16,-0.038596623,-0.04045471,"('unpopular', 'popular')",-0.0385966,-0.0404547,-0.0018581
17,-0.28112704,-0.24621937,"('nasty', 'nice')",-0.281127,-0.2462194,0.0349076
18,-0.2482273,-0.21319228,"('disagreeable', 'welcoming')",-0.2482273,-0.2131923,0.035035
19,-1.05521,-0.96129364,"('inhospitable', 'hospitable')",-1.05521,-0.9612936,0.0939164
20,-0.55938774,-0.5846026,"('rough', 'thoughtful')",-0.5593877,-0.5846026,-0.0252149
21,-0.74400973,-0.65990674,"('immoral', 'moral')",-0.7440097,-0.6599067,0.084103
22,-0.71792483,-0.6930806,"('untrustworthy', 'trustworthy')",-0.7179248,-0.6930806,0.0248442
23,-0.6334235,-0.73830557,"('insincere', 'sincere')",-0.6334235,-0.7383056,-0.1048821
24,-1.0093558,-1.0499845,"('dishonest', 'honest')",-1.0093558,-1.0499845,-0.0406287
25,-0.26316664,-0.27162474,"('egoistic', 'altruistic')",-0.2631666,-0.2716247,-0.0084581
26,0.420805,0.3010933,"('hardhearted', 'benevolent')",0.420805,0.3010933,-0.1197117
27,0.035988495,-0.07875651,"('hardhearted', 'softhearted')",0.0359885,-0.0787565,-0.114745
28,-1.1008159,-1.2705883,"('disloyal', 'loyal')",-1.1008159,-1.2705883,-0.1697724
29,-0.42300466,-0.42237407,"('unfair', 'fair')",-0.4230047,-0.4223741,0.0006306
30,-0.9893488,-1.0173241,"('intolerant', 'tolerant')",-0.9893488,-1.0173241,-0.0279753
31,-0.24580014,-0.095789135,"('evil', 'good')",-0.2458001,-0.0957891,0.150011
32,0.6249677,0.45774096,"('unkind', 'kind')",0.6249677,0.457741,-0.1672267
33,0.11521828,0.07550996,"('wrong', 'right')",0.1152183,0.07551,-0.0397083
34,0.5947929,0.7848641,"('mean', 'honorable')",0.5947929,0.7848641,0.1900712
35,1.2194148,1.1024933,"('corrupt', 'incorrupt')",1.2194148,1.1024933,-0.1169215
36,-0.23587257,-0.25462332,"('hostile', 'amicable')",-0.2358726,-0.2546233,-0.0187507
37,-0.13809416,-0.14662138,"('fake', 'genuine')",-0.1380942,-0.1466214,-0.0085272
38,-0.86671615,-0.8990881,"('untruthful', 'truthful')",-0.8667161,-0.8990881,-0.032372
39,0.019457538,-0.03127071,"('exploitative', 'cooperative')",0.0194575,-0.0312707,-0.0507282
40,-0.069180906,-0.08902199,"('stingy', 'generous')",-0.0691809,-0.089022,-0.0198411
41,-0.4588555,-0.4551453,"('unforgiving', 'forgiving')",-0.4588555,-0.4551453,0.0037102
42,-0.14648242,-0.028190315,"('unreliable', 'reliable')",-0.1464824,-0.0281903,0.1182921
43,-0.99334365,-1.0010817,"('irresponsible', 'responsible')",-0.9933437,-1.0010817,-0.007738
44,0.7896328,0.79321045,"('prejudiced', 'unprejudiced')",0.7896328,0.7932104,0.0035776
45,-1.5354687,-1.4360887,"('incompetent', 'competent')",-1.5354687,-1.4360887,0.09938
46,-1.4139713,-1.2983824,"('uncompetitive', 'competitive')",-1.4139713,-1.2983824,0.1155889
47,0.93501216,0.9285006,"('stupid', 'smart')",0.9350122,0.9285006,-0.0065116
48,-0.55112064,-0.54455304,"('unintelligent', 'intelligent')",-0.5511206,-0.544553,0.0065676
49,0.04542592,0.1100626,"('unable', 'able')",0.0454259,0.1100626,0.0646367
50,0.54809535,0.4391931,"('clumsy', 'skillful')",0.5480953,0.4391931,-0.1089022
51,-0.85858655,-0.8919641,"('uneducated', 'educated')",-0.8585865,-0.8919641,-0.0333776
52,0.5521517,0.29322642,"('irrational', 'rational')",0.5521517,0.2932264,-0.2589253
53,-1.8714254,-1.9088504,"('uncreative', 'creative')",-1.8714254,-1.9088504,-0.037425
54,-0.6921759,-0.7424337,"('incapable', 'capable')",-0.6921759,-0.7424337,-0.0502578
55,-1.4141054,-1.3415518,"('incompetent', 'clever')",-1.4141054,-1.3415518,0.0725536
56,-0.6366536,-0.5655425,"('impractical', 'practical')",-0.6366536,-0.5655425,0.0711111
57,-2.0565588,-1.9622498,"('unimaginative', 'imaginative')",-2.0565588,-1.9622498,0.094309
58,-0.9135791,-0.91823673,"('undiscriminating', 'discriminating')",-0.9135791,-0.9182367,-0.0046576
59,0.9475475,0.78164566,"('foolish', 'wise')",0.9475475,0.7816457,-0.1659018
60,-1.0101187,-0.92484367,"('inefficient', 'efficient')",-1.0101187,-0.9248437,0.085275
61,-1.072934,-1.1884925,"('illogical', 'logical')",-1.072934,-1.1884925,-0.1155585
62,-1.0566343,-1.0130379,"('incompetent', 'brilliant')",-1.0566343,-1.0130379,0.0435964
63,-0.98239857,-0.93356293,"('unperceptive', 'insightful')",-0.9823986,-0.9335629,0.0488357
64,-0.71828747,-0.6706301,"('shy', 'confident')",-0.7182875,-0.6706301,0.0476574
65,-0.9479143,-1.0015918,"('insecure', 'secure')",-0.9479143,-1.0015918,-0.0536775
66,-0.48675436,-0.54563224,"('inactive', 'active')",-0.4867544,-0.5456322,-0.0588778
67,0.15858205,0.18828085,"('doubtful', 'determined')",0.158582,0.1882809,0.0296989
68,-0.02665849,0.011906978,"('dependent', 'independent')",-0.0266585,0.011907,0.0385655
69,1.1941407,1.1803637,"('lazy', 'industrious')",1.1941407,1.1803637,-0.013777
70,-1.5474658,-1.5411106,"('lethargic', 'energetic')",-1.5474658,-1.5411106,0.0063552
71,-0.18489757,-0.15961012,"('diffident', 'self-confident')",-0.1848976,-0.1596101,0.0252875
72,-1.0738899,-1.1213742,"('unambitious', 'ambitious')",-1.0738899,-1.1213742,-0.0474843
73,0.3118072,0.2779664,"('helpless', 'self-reliant')",0.3118072,0.2779664,-0.0338408
74,-0.35710722,-0.33591926,"('undedicated', 'dedicated')",-0.3571072,-0.3359193,0.0211879
75,0.81509733,0.9008562,"('meek', 'impulsive')",0.8150973,0.9008562,0.0857589
76,-0.9928473,-0.98156387,"('anxious', 'daring')",-0.9928473,-0.9815639,0.0112834
77,-0.77436376,-0.61722946,"('unmotivated', 'motivated')",-0.7743638,-0.6172295,0.1571343
78,0.05061586,0.11588691,"('nonresilient', 'resilient')",0.0506159,0.1158869,0.065271
79,0.21417606,0.22940053,"('wavering', 'unwavering')",0.2141761,0.2294005,0.0152244
80,0.072761334,0.05985727,"('dominated', 'dominating')",0.0727613,0.0598573,-0.012904
81,-0.4462703,-0.3895583,"('submissive', 'aggressive')",-0.4462703,-0.3895583,0.056712
82,0.0035179928,0.04953217,"('poor', 'rich')",0.003518,0.0495322,0.0460142
83,-0.19046983,-0.17872806,"('powerless', 'powerful')",-0.1904698,-0.1787281,0.0117417
84,0.013472626,0.014929326,"('inferior', 'superior')",0.0134726,0.0149293,0.0014567
85,0.9676687,0.90772265,"('insignificant', 'prestigious')",0.9676687,0.9077227,-0.059946
86,-1.918822,-1.9654702,"('uninfluential', 'influential')",-1.9188221,-1.9654702,-0.0466481
87,-0.0977375,-0.16123724,"('unsuccessful', 'successful')",-0.0977375,-0.1612372,-0.0634997
88,-0.20632598,-0.2718749,"('low', 'eminent')",-0.206326,-0.2718749,-0.0655489
