,qwest_male,qwest_female,tuple,communications_male,communications_female,intl_male,intl_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.3438302,-1.559499,"('unsociable', 'sociable')",0.19083774,0.0029268563,-1.1504022,-1.3847886,-0.24958625,-0.3766474,-0.6382453,-0.8295021,-0.1912568
1,-0.9623245,-1.15527,"('unfriendly', 'friendly')",0.24323292,0.015285534,-1.5557888,-1.7116907,1.4537958,1.2526611,-0.2052712,-0.3997535,-0.1944823
2,0.45779642,0.5296746,"('unlikable', 'likable')",1.1144078,1.2492596,0.6124694,0.67132574,0.61271805,0.68655866,0.6993479,0.7842047,0.0848568
3,-0.1806333,-0.09222302,"('repellent', 'pleasant')",0.0058847778,0.07849082,0.11034731,0.124476455,0.21764793,0.31014746,0.0383117,0.1052229,0.0669112
4,0.2144004,0.13372616,"('disliked', 'liked')",-0.6733194,-0.7874476,-0.6315294,-0.6472061,-6.680589,-6.6464934,-1.9427594,-1.9868553,-0.0440959
5,-0.19154705,-0.16009085,"('distant', 'outgoing')",-0.88292056,-0.87358177,-0.9641927,-0.9018406,-0.6203514,-0.62060183,-0.6647529,-0.6390288,0.0257241
6,-0.13083817,-0.06708299,"('distant', 'open')",-1.3815242,-1.4755597,-0.7995485,-0.7729897,0.009424293,-0.014552528,-0.5756217,-0.5825462,-0.0069245
7,-0.46459955,-0.4463647,"('insensitive', 'sensitive')",0.35560676,0.5042958,-0.4960703,-0.51879954,0.87055415,0.92318434,0.0663728,0.115579,0.0492062
8,-0.69024444,-0.7321871,"('unaffectionate', 'affectionate')",-0.71089065,-0.7697382,-2.2110512,-2.3073413,0.1407755,-0.004629219,-0.8678527,-0.9534739,-0.0856212
9,-0.4037147,-0.5107653,"('unaffectionate', 'caring')",0.08172322,0.02518548,-2.4823678,-2.6050534,0.98878044,0.8757141,-0.4538947,-0.5537298,-0.0998351
10,-1.4396576,-1.5004157,"('unsympathetic', 'sympathetic')",0.1570135,0.22025555,-1.611864,-1.7193214,0.035582386,-0.029176984,-0.7147314,-0.7571647,-0.0424333
11,-0.4397817,-0.43073583,"('unhelpful', 'helpful')",1.0026475,1.0794969,-1.3710946,-1.3437359,1.8992009,1.847606,0.272743,0.2881578,0.0154148
12,-0.1304483,-0.1429114,"('unsupportive', 'supportive')",0.4824965,0.591016,-2.4308674,-2.4178321,-1.9016246,-1.9276489,-0.995111,-0.9743441,0.0207669
13,-0.094835855,-0.15487814,"('impolite', 'polite')",0.53729904,0.55486125,0.25192934,0.2806888,0.23883367,0.28159708,0.2333066,0.2405673,0.0072607
14,-1.24866,-1.2124738,"('antisocial', 'social')",1.0928658,1.2047805,-0.11302382,-0.15355313,-0.22356956,-0.17144334,-0.1230969,-0.0831724,0.0399245
15,0.5065645,0.46681723,"('boring', 'funny')",-0.6448691,-0.6642853,0.6872571,0.7219284,0.20334926,0.2696464,0.1880755,0.1985267,0.0104512
16,-0.121624395,-0.117577836,"('unpopular', 'popular')",-0.4891106,-0.45046806,0.15293998,0.08928097,0.56418455,0.6525111,0.0265974,0.0434365,0.0168391
17,-0.0113802925,0.07928944,"('nasty', 'nice')",-1.3361268,-1.2842252,-0.7904573,-0.76365894,-0.71529186,-0.6971948,-0.7133141,-0.6664474,0.0468667
18,-0.48134667,-0.5094198,"('disagreeable', 'welcoming')",-0.11832097,-0.18838826,-0.383955,-0.31501767,-0.29539537,-0.3577255,-0.3197545,-0.3426378,-0.0228833
19,-0.3324272,-0.31577978,"('inhospitable', 'hospitable')",-0.4441018,-0.43258893,-0.652306,-0.6591846,-0.58660954,-0.5675556,-0.5038611,-0.4937772,0.0100839
20,-0.99954575,-0.9238734,"('rough', 'thoughtful')",-0.26923278,-0.1358181,-0.27351665,-0.3139317,0.8345512,0.7854135,-0.176936,-0.1470524,0.0298836
21,-1.0626131,-1.109183,"('immoral', 'moral')",0.7023458,0.728679,-0.59062797,-0.6482662,-0.5705607,-0.5393062,-0.380364,-0.3920191,-0.0116551
22,-0.22958426,-0.22543716,"('untrustworthy', 'trustworthy')",0.5638897,0.5400314,-1.1675242,-1.1965413,-1.0200772,-1.0410398,-0.463324,-0.4807467,-0.0174227
23,-0.10628427,-0.13469498,"('insincere', 'sincere')",0.74579763,0.8275194,-0.8891179,-0.9966422,6.073328,5.899386,1.4559308,1.398892,-0.0570388
24,0.29776752,0.30462685,"('dishonest', 'honest')",0.15186168,0.19926405,-0.7384446,-0.8123133,0.9730954,0.85797936,0.17107,0.1373892,-0.0336808
25,-0.2427794,-0.31941202,"('egoistic', 'altruistic')",0.15736392,0.08200871,0.14458215,0.09218374,1.7078717,1.6305478,0.4417596,0.371332,-0.0704276
26,-0.49472192,-0.5642993,"('hardhearted', 'benevolent')",-0.20968589,-0.27692312,0.45294973,0.3162321,1.403358,1.257487,0.287975,0.1831242,-0.1048508
27,-0.17311606,-0.07093765,"('hardhearted', 'softhearted')",-1.0843979,-1.0089316,-0.16742298,-0.2820393,1.1387277,1.0874959,-0.0715523,-0.0686032,0.0029491
28,-0.5266501,-0.6628536,"('disloyal', 'loyal')",-0.27448767,-0.49291745,-1.5889395,-1.7813038,1.0035356,0.75768834,-0.3466354,-0.5448466,-0.1982112
29,0.029942092,0.035319105,"('unfair', 'fair')",-0.7376922,-0.7536628,-0.95747864,-0.96459776,-0.5894222,-0.77024883,-0.5636628,-0.6132976,-0.0496348
30,-0.052139353,-0.0687833,"('intolerant', 'tolerant')",1.6038551,1.6439052,-0.41502944,-0.42285603,1.1869007,1.2080371,0.5808967,0.5900757,0.009179
31,0.032148562,0.06307541,"('evil', 'good')",-1.1720036,-1.3238196,-0.89592004,-0.8653979,-1.3815869,-1.4523923,-0.8543406,-0.8946336,-0.040293
32,-0.15447474,-0.21551019,"('unkind', 'kind')",0.48553473,0.47717202,-0.19016619,-0.29210404,1.0659797,0.9466442,0.3017184,0.2290505,-0.0726679
