,canteen_male,canteen_female,tuple,average_male,average_female,female-male
0,0.2261999,0.071144864,"('unsociable', 'sociable')",0.2261999,0.0711449,-0.155055
1,1.9986417,2.097232,"('unfriendly', 'friendly')",1.9986417,2.0972321,0.0985904
2,-0.0071769245,0.039336506,"('unlikable', 'likable')",-0.0071769,0.0393365,0.0465134
3,-0.26768804,-0.27545384,"('repellent', 'pleasant')",-0.267688,-0.2754538,-0.0077658
4,-6.4031267,-6.164331,"('disliked', 'liked')",-6.4031267,-6.164331,0.2387957
5,0.08217655,0.36505622,"('distant', 'outgoing')",0.0821766,0.3650562,0.2828796
6,0.4405132,0.63899297,"('distant', 'open')",0.4405132,0.638993,0.1984798
7,0.380304,0.3518318,"('insensitive', 'sensitive')",0.380304,0.3518318,-0.0284722
8,1.039983,0.9339612,"('unaffectionate', 'affectionate')",1.039983,0.9339612,-0.1060218
9,1.6790296,1.5879937,"('unaffectionate', 'caring')",1.6790296,1.5879937,-0.0910359
10,-0.08581299,-0.2487795,"('unsympathetic', 'sympathetic')",-0.085813,-0.2487795,-0.1629665
11,1.85951,1.7607204,"('unhelpful', 'helpful')",1.8595099,1.7607204,-0.0987895
12,-1.630499,-1.6278486,"('unsupportive', 'supportive')",-1.630499,-1.6278486,0.0026504
13,-0.30808777,-0.5040654,"('impolite', 'polite')",-0.3080878,-0.5040654,-0.1959776
14,-0.30650115,-0.41282895,"('antisocial', 'social')",-0.3065012,-0.412829,-0.1063278
15,1.3541039,1.3477215,"('boring', 'funny')",1.3541039,1.3477215,-0.0063824
16,-0.060477003,-0.043989964,"('unpopular', 'popular')",-0.060477,-0.04399,0.016487
17,0.00422146,0.05141277,"('nasty', 'nice')",0.0042215,0.0514128,0.0471913
18,-0.9250772,-0.95464313,"('disagreeable', 'welcoming')",-0.9250772,-0.9546431,-0.0295659
19,0.280323,0.34216526,"('inhospitable', 'hospitable')",0.280323,0.3421653,0.0618423
20,0.48727447,0.49854234,"('rough', 'thoughtful')",0.4872745,0.4985423,0.0112678
21,-0.74600184,-0.8449965,"('immoral', 'moral')",-0.7460018,-0.8449965,-0.0989947
22,-1.0859851,-1.1609567,"('untrustworthy', 'trustworthy')",-1.0859851,-1.1609567,-0.0749716
23,6.2849708,6.0474744,"('insincere', 'sincere')",6.2849708,6.0474744,-0.2374964
24,1.0846435,0.97948486,"('dishonest', 'honest')",1.0846435,0.9794849,-0.1051586
