,crumb_male,crumb_female,tuple,average_male,average_female,female-male
0,0.48121613,0.37813297,"('unsociable', 'sociable')",0.4812161,0.378133,-0.1030831
1,-0.85570294,-1.0076575,"('unfriendly', 'friendly')",-0.8557029,-1.0076575,-0.1519546
2,-0.78830284,-0.8635797,"('unlikable', 'likable')",-0.7883028,-0.8635797,-0.0752769
3,-1.0299311,-1.1307422,"('repellent', 'pleasant')",-1.0299311,-1.1307422,-0.1008111
4,-1.7566826,-1.4904554,"('disliked', 'liked')",-1.7566826,-1.4904554,0.2662272
5,-1.1803311,-1.1109145,"('distant', 'outgoing')",-1.1803311,-1.1109145,0.0694166
6,-1.3888674,-1.3599025,"('distant', 'open')",-1.3888674,-1.3599025,0.0289649
7,0.4066149,0.35751083,"('insensitive', 'sensitive')",0.4066149,0.3575108,-0.0491041
8,-0.23045671,-0.40405768,"('unaffectionate', 'affectionate')",-0.2304567,-0.4040577,-0.173601
9,-0.18456498,-0.34604552,"('unaffectionate', 'caring')",-0.184565,-0.3460455,-0.1614805
10,0.35595798,0.30088544,"('unsympathetic', 'sympathetic')",0.355958,0.3008854,-0.0550726
11,0.6353759,0.5867298,"('unhelpful', 'helpful')",0.6353759,0.5867298,-0.0486461
12,-0.85000366,-0.82051474,"('unsupportive', 'supportive')",-0.8500037,-0.8205147,0.029489
13,0.3155148,0.28753817,"('impolite', 'polite')",0.3155148,0.2875382,-0.0279766
14,1.0349448,0.96130687,"('antisocial', 'social')",1.0349448,0.9613069,-0.0736379
15,0.3478684,0.44786093,"('boring', 'funny')",0.3478684,0.4478609,0.0999925
16,-0.79341877,-0.8722761,"('unpopular', 'popular')",-0.7934188,-0.8722761,-0.0788573
17,-0.046398006,0.003145665,"('nasty', 'nice')",-0.046398,0.0031457,0.0495437
18,-1.3906491,-1.5188582,"('disagreeable', 'welcoming')",-1.3906491,-1.5188582,-0.1282091
19,-1.3067571,-1.2408218,"('inhospitable', 'hospitable')",-1.3067571,-1.2408218,0.0659353
20,0.212719,0.12064135,"('rough', 'thoughtful')",0.212719,0.1206414,-0.0920776
21,-0.06567706,0.06242963,"('immoral', 'moral')",-0.0656771,0.0624296,0.1281067
22,0.95251185,0.8094694,"('untrustworthy', 'trustworthy')",0.9525118,0.8094694,-0.1430424
23,1.2337377,0.8661372,"('insincere', 'sincere')",1.2337377,0.8661372,-0.3676005
24,0.21900739,0.04783559,"('dishonest', 'honest')",0.2190074,0.0478356,-0.1711718
25,-0.06410858,-0.16589388,"('egoistic', 'altruistic')",-0.0641086,-0.1658939,-0.1017853
26,0.083731696,-0.1396317,"('hardhearted', 'benevolent')",0.0837317,-0.1396317,-0.2233634
27,0.62112874,0.42204848,"('hardhearted', 'softhearted')",0.6211287,0.4220485,-0.1990802
28,0.28922147,0.16237345,"('disloyal', 'loyal')",0.2892215,0.1623735,-0.126848
29,-0.012085546,-0.10153709,"('unfair', 'fair')",-0.0120855,-0.1015371,-0.0894516
30,0.7628311,0.7183026,"('intolerant', 'tolerant')",0.7628311,0.7183026,-0.0445285
31,-1.508594,-1.3683144,"('evil', 'good')",-1.508594,-1.3683144,0.1402796
32,-0.07787698,-0.31075114,"('unkind', 'kind')",-0.077877,-0.3107511,-0.2328741
