,veil_male,veil_female,tuple,average_male,average_female,female-male
0,0.12577316,0.009152506,"('unsociable', 'sociable')",0.1257732,0.0091525,-0.1166207
1,0.8839171,0.8852068,"('unfriendly', 'friendly')",0.8839171,0.8852068,0.0012897
2,0.18372263,0.39368412,"('unlikable', 'likable')",0.1837226,0.3936841,0.2099615
3,0.96094036,1.0384319,"('repellent', 'pleasant')",0.9609404,1.0384319,0.0774915
4,-6.673234,-6.9016366,"('disliked', 'liked')",-6.673234,-6.9016366,-0.2284026
5,-0.6824077,-0.582511,"('distant', 'outgoing')",-0.6824077,-0.582511,0.0998967
6,-0.0799321,-0.0795854,"('distant', 'open')",-0.0799321,-0.0795854,0.0003467
7,1.1956818,1.1817243,"('insensitive', 'sensitive')",1.1956818,1.1817243,-0.0139575
8,0.7049358,0.6780024,"('unaffectionate', 'affectionate')",0.7049358,0.6780024,-0.0269334
9,1.1423066,1.2290014,"('unaffectionate', 'caring')",1.1423066,1.2290014,0.0866948
10,1.2751136,1.2697,"('unsympathetic', 'sympathetic')",1.2751136,1.2697001,-0.0054135
11,1.4553418,1.4424103,"('unhelpful', 'helpful')",1.4553418,1.4424103,-0.0129315
12,-1.5201961,-1.5494907,"('unsupportive', 'supportive')",-1.5201961,-1.5494907,-0.0292946
13,0.06301138,0.087097555,"('impolite', 'polite')",0.0630114,0.0870976,0.0240862
14,0.13751897,0.032500565,"('antisocial', 'social')",0.137519,0.0325006,-0.1050184
15,0.092046194,0.041915864,"('boring', 'funny')",0.0920462,0.0419159,-0.0501303
16,-0.22412565,-0.18171154,"('unpopular', 'popular')",-0.2241257,-0.1817115,0.0424142
17,-0.09483534,-0.12212092,"('nasty', 'nice')",-0.0948353,-0.1221209,-0.0272856
18,-0.3759285,-0.34832716,"('disagreeable', 'welcoming')",-0.3759285,-0.3483272,0.0276013
19,-0.9044639,-0.82870126,"('inhospitable', 'hospitable')",-0.9044639,-0.8287013,0.0757626
20,1.0363852,1.0011742,"('rough', 'thoughtful')",1.0363852,1.0011742,-0.035211
21,-0.041156255,0.0976682,"('immoral', 'moral')",-0.0411563,0.0976682,0.1388245
22,-0.005935874,-0.06549615,"('untrustworthy', 'trustworthy')",-0.0059359,-0.0654961,-0.0595602
23,5.550136,5.735385,"('insincere', 'sincere')",5.5501361,5.7353849,0.1852488
24,1.46639,1.4630785,"('dishonest', 'honest')",1.46639,1.4630785,-0.0033115
25,0.44024318,0.45825082,"('egoistic', 'altruistic')",0.4402432,0.4582508,0.0180076
26,0.816049,0.54513526,"('hardhearted', 'benevolent')",0.816049,0.5451353,-0.2709137
27,1.7047373,1.5121292,"('hardhearted', 'softhearted')",1.7047373,1.5121292,-0.1926081
28,1.0247761,0.9901631,"('disloyal', 'loyal')",1.0247761,0.9901631,-0.034613
29,-0.40666503,-0.508258,"('unfair', 'fair')",-0.406665,-0.508258,-0.101593
30,0.663507,0.72885704,"('intolerant', 'tolerant')",0.663507,0.728857,0.06535
31,-1.2228659,-1.2867807,"('evil', 'good')",-1.2228659,-1.2867807,-0.0639148
32,1.1603891,1.0429704,"('unkind', 'kind')",1.1603891,1.0429704,-0.1174187
33,-0.5878431,-0.5606001,"('wrong', 'right')",-0.5878431,-0.5606001,0.027243
34,3.9844851,4.1926503,"('mean', 'honorable')",3.9844851,4.1926503,0.2081652
35,-0.98321843,-1.2079272,"('corrupt', 'incorrupt')",-0.9832184,-1.2079272,-0.2247088
36,-0.7229077,-0.7682348,"('hostile', 'amicable')",-0.7229077,-0.7682348,-0.0453271
37,0.9875474,1.0223963,"('fake', 'genuine')",0.9875474,1.0223963,0.0348489
