,pnc_male,pnc_female,tuple,financial_male,financial_female,services_male,services_female,grp_male,grp_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.17973231,-0.34464434,"('unsociable', 'sociable')",-0.43141764,-0.60457736,1.637582,1.4953451,-0.046054997,-0.03939489,-0.12148199,-0.22024298,0.171779,0.0572971,-0.1144819
1,-1.3059254,-1.3014716,"('unfriendly', 'friendly')",1.379286,1.2662688,-1.3685052,-1.4622151,-0.7767583,-0.87375164,1.8673058,1.7641009,-0.0409194,-0.1214137,-0.0804943
2,1.4696269,1.5384358,"('unlikable', 'likable')",2.0359056,2.146615,1.7268624,1.765138,1.6751599,1.7790427,0.8009701,0.90625656,1.541705,1.6270977,0.0853927
3,0.094919145,0.13962753,"('repellent', 'pleasant')",-0.9840985,-0.98772115,1.4950176,1.5664328,0.5911952,0.6750704,0.63922644,0.6830503,0.367252,0.415292,0.04804
4,-0.2623332,-0.28289628,"('disliked', 'liked')",0.284873,0.21634191,-0.9819871,-1.0502288,-0.38464183,-0.477097,-6.195753,-6.3386874,-1.5079684,-1.5865135,-0.0785451
5,-0.72922766,-0.6275157,"('distant', 'outgoing')",1.0295833,1.1109109,-2.1274095,-2.002694,-1.3024149,-1.249192,-0.5536121,-0.50891733,-0.7366161,-0.6554816,0.0811345
6,-1.0263859,-0.86673933,"('distant', 'open')",0.5231682,0.62831646,-2.3917668,-2.2518313,-1.2689836,-1.231499,0.20147786,0.23953162,-0.7924981,-0.6964443,0.0960538
7,0.7525512,0.66552305,"('insensitive', 'sensitive')",0.37818497,0.34436458,1.183885,1.1604723,0.754524,0.8448945,1.1983464,1.2470802,0.8534983,0.852467,-0.0010313
8,-0.96175,-0.8928377,"('unaffectionate', 'affectionate')",0.6636238,0.66505396,-1.4828458,-1.4896342,-1.7538002,-1.6644436,0.64945626,0.6598547,-0.5770632,-0.5444014,0.0326618
9,-0.607392,-0.6468684,"('unaffectionate', 'caring')",1.3911759,1.3290153,0.17701021,0.13042241,-1.0335586,-0.951002,1.389718,1.4236845,0.2633907,0.2570503,-0.0063404
10,-0.10344382,-0.16978374,"('unsympathetic', 'sympathetic')",-1.2908617,-1.3054428,1.5913782,1.5919738,0.5221598,0.55286646,0.53311694,0.46865574,0.2504699,0.2276539,-0.022816
11,0.9106484,0.81792235,"('unhelpful', 'helpful')",0.1078991,0.10546417,2.4472082,2.4404883,0.26817888,0.42160183,2.168133,2.2141364,1.1804135,1.1999226,0.0195091
