,ingersoll_male,ingersoll_female,tuple,rand_male,rand_female,inc_male,inc_female,average_male,average_female,female-male
0,-2.2213387,-2.2671041,"('unsociable', 'sociable')",-0.22376287,-0.29359612,-0.50001746,-0.55456436,-0.9817064,-1.0384215,-0.0567151
1,-1.8536733,-1.9705238,"('unfriendly', 'friendly')",0.93153757,0.82929593,2.0802164,1.9035383,0.3860269,0.2541035,-0.1319234
2,0.26053363,0.28389186,"('unlikable', 'likable')",0.70149684,0.7169518,0.5389999,0.60249895,0.5003435,0.5344475,0.034104
3,-1.7300481,-1.6888931,"('repellent', 'pleasant')",-0.7305686,-0.59027296,0.08819337,0.12968561,-0.7908077,-0.7164934,0.0743143
4,0.8574823,0.827417,"('disliked', 'liked')",-0.48688087,-0.5125606,-6.234115,-6.395586,-1.9545045,-2.0269098,-0.0724053
5,1.0439436,0.9864153,"('distant', 'outgoing')",0.8495478,0.7740446,-0.2406896,-0.27850965,0.550934,0.4939834,-0.0569506
6,0.9490736,0.9088488,"('distant', 'open')",0.7643797,0.69848466,0.5624986,0.4693437,0.7586506,0.6922257,-0.0664249
7,-2.1777694,-2.1835139,"('insensitive', 'sensitive')",-0.34434414,-0.3047185,0.49319908,0.4919601,-0.6763048,-0.6654241,0.0108807
8,0.14665389,0.040341653,"('unaffectionate', 'affectionate')",1.1836039,1.1386223,1.046526,0.85504794,0.7922613,0.6780039,-0.1142574
9,-0.45291495,-0.5734739,"('unaffectionate', 'caring')",1.6621937,1.587321,1.0509989,0.93735784,0.7534259,0.6504017,-0.1030242
10,-3.384512,-3.389934,"('unsympathetic', 'sympathetic')",-1.0484066,-1.0166054,-0.38639048,-0.41046426,-1.6064364,-1.6056679,0.0007685
11,-2.3834856,-2.3847132,"('unhelpful', 'helpful')",-0.7013541,-0.7442018,1.4286801,1.5131505,-0.5520532,-0.5385881,0.0134651
12,-1.5745531,-1.5782049,"('unsupportive', 'supportive')",0.47236937,0.49173298,-1.6808158,-1.6955497,-0.9276665,-0.9273405,0.000326
13,-2.1740596,-2.1805484,"('impolite', 'polite')",-1.001553,-1.0305365,-0.739128,-0.6537839,-1.3049135,-1.2882895,0.016624
14,-1.9523535,-1.8853763,"('antisocial', 'social')",-0.23798141,-0.19160417,-0.8396656,-0.79536366,-1.0100001,-0.9574481,0.052552
15,0.28640094,0.19936927,"('boring', 'funny')",0.5749966,0.4519151,0.38099152,0.38873705,0.4141297,0.3466738,-0.0674559
16,0.82261,0.8240497,"('unpopular', 'popular')",-0.6038339,-0.56349623,0.5370798,0.49832615,0.251952,0.2529599,0.0010079
17,-0.15693022,-0.10540357,"('nasty', 'nice')",-0.49173772,-0.45153347,-0.5472212,-0.45347717,-0.3986297,-0.3368047,0.061825
18,-0.58332825,-0.60301644,"('disagreeable', 'welcoming')",-0.6966754,-0.66015303,-0.39058363,-0.4558663,-0.5568624,-0.573012,-0.0161496
19,0.10741145,0.1437981,"('inhospitable', 'hospitable')",0.154278,0.20111457,0.12325101,0.17246474,0.1283135,0.1724591,0.0441456
20,-0.8004927,-0.7733472,"('rough', 'thoughtful')",0.42657703,0.54636866,1.3508271,1.2938218,0.3256371,0.3556144,0.0299773
21,-2.1994777,-2.1959267,"('immoral', 'moral')",-0.91566765,-0.89735407,-0.93310016,-0.8740027,-1.3494151,-1.3224278,0.0269873
22,-1.4893544,-1.5197239,"('untrustworthy', 'trustworthy')",-1.5742705,-1.59856,-0.92761475,-0.96160483,-1.3304132,-1.3599628,-0.0295496
23,-2.8045282,-2.8708026,"('insincere', 'sincere')",-0.23712875,-0.25176394,5.3859982,5.360237,0.7814471,0.7458901,-0.035557
24,-1.7590637,-1.8183978,"('dishonest', 'honest')",-0.19415465,-0.22312933,0.64398783,0.57043695,-0.4364102,-0.4903634,-0.0539532
