,e_male,e_female,tuple,trade_male,trade_female,financial_male,financial_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.29513222,-0.32022104,"('unsociable', 'sociable')",1.7096012,1.7134023,0.2870158,0.17517763,0.2364414,0.12635542,0.4844815,0.4236786,-0.0608029
1,-1.4621184,-1.405793,"('unfriendly', 'friendly')",-0.9443228,-0.94727385,1.3985448,1.2862072,0.88383377,0.7362936,-0.0310157,-0.0826415,-0.0516258
2,1.0569206,1.1338223,"('unlikable', 'likable')",0.6991785,0.75184715,2.4386456,2.5854843,0.96329904,0.9774503,1.289511,1.362151,0.07264
3,-0.10152727,-0.01550669,"('repellent', 'pleasant')",0.29034096,0.43027556,-0.5164986,-0.43874016,1.1029067,1.1403149,0.1938054,0.2790859,0.0852805
4,-0.35323554,-0.3337045,"('disliked', 'liked')",-0.324072,-0.38135067,0.2782823,0.21406952,-6.248151,-6.419289,-1.6617941,-1.7300687,-0.0682746
5,-0.47171858,-0.3788203,"('distant', 'outgoing')",-1.0175159,-1.0593979,0.7846712,0.77423483,-1.3578898,-1.4296699,-0.5156133,-0.5234133,-0.0078
6,-0.21260181,-0.055766582,"('distant', 'open')",-1.38786,-1.3695909,0.010095045,0.015694596,-1.3472074,-1.4231399,-0.7343935,-0.7082007,0.0261928
7,1.145879,1.1450429,"('insensitive', 'sensitive')",1.1016397,1.152974,0.54731226,0.5555666,0.7988526,0.83156806,0.8984209,0.9212879,0.022867
8,-1.3318846,-1.2600561,"('unaffectionate', 'affectionate')",-1.121821,-1.1595016,0.25332916,0.18233775,-0.1694176,-0.26515856,-0.5924485,-0.6255946,-0.0331461
9,-1.0267339,-0.9105743,"('unaffectionate', 'caring')",-0.017411947,0.00065173954,1.3026178,1.2265408,0.6853056,0.66148967,0.2359444,0.244527,0.0085826
10,0.1544372,0.24769995,"('unsympathetic', 'sympathetic')",0.81546694,0.9231652,-1.1090057,-1.0932547,0.10282723,0.21490464,-0.0090686,0.0731288,0.0821974
11,0.91150033,0.9473204,"('unhelpful', 'helpful')",1.2405741,1.2968115,0.3389414,0.32986027,2.2367537,2.3730755,1.1819423,1.2367668,0.0548245
12,0.7584402,0.9705429,"('unsupportive', 'supportive')",0.9289272,1.0622549,0.92239386,0.9932421,-1.9686724,-1.938257,0.1602722,0.2719457,0.1116735
13,0.89195067,0.8771106,"('impolite', 'polite')",2.083316,2.1171327,0.31135958,0.38538125,-0.44196796,-0.39196423,0.7111646,0.746915,0.0357504
14,1.569125,1.4475683,"('antisocial', 'social')",2.7367442,2.7279227,1.9432982,1.9569892,0.7583812,0.6544548,1.7518872,1.6967337,-0.0551535
15,0.7480292,0.57193035,"('boring', 'funny')",0.3112182,0.16126277,0.71410316,0.6380129,-0.09272222,-0.17724687,0.4201571,0.2984898,-0.1216673
16,-1.5447053,-1.5523275,"('unpopular', 'popular')",-1.0728426,-1.0933808,-0.41560143,-0.43500555,0.17863503,0.13935372,-0.7136286,-0.73534,-0.0217114
17,-0.32762933,-0.2295458,"('nasty', 'nice')",-0.5374454,-0.5135021,-0.2909645,-0.20162717,-0.60764426,-0.53406346,-0.4409209,-0.3696846,0.0712363
18,-0.73151076,-0.6041838,"('disagreeable', 'welcoming')",-0.5958683,-0.55145717,-0.12728429,-0.08005198,-0.83523875,-0.92350197,-0.5724755,-0.5397987,0.0326768
19,-0.59143984,-0.44165105,"('inhospitable', 'hospitable')",-1.2157784,-1.206804,-0.527016,-0.5431714,-1.030234,-0.9628139,-0.841117,-0.7886101,0.0525069
20,-0.19638315,-0.12874334,"('rough', 'thoughtful')",-0.66744816,-0.5856268,-0.10039452,-0.063406594,0.17303123,0.17232531,-0.1977986,-0.1513629,0.0464357
21,0.88006914,0.8706192,"('immoral', 'moral')",1.5188733,1.5964714,0.5908396,0.6273778,-0.011202251,0.113787994,0.7446449,0.8020641,0.0574192
22,0.41753897,0.47974765,"('untrustworthy', 'trustworthy')",0.6846643,0.77479446,-0.036634475,-0.054316968,-0.27977976,-0.2610369,0.1964473,0.2347971,0.0383498
23,0.15461066,0.18227829,"('insincere', 'sincere')",1.0168337,1.091606,0.6905929,0.69244766,6.1410294,6.1318903,2.0007668,2.0245557,0.0237889
24,1.0226104,1.1083729,"('dishonest', 'honest')",0.6609006,0.6941759,0.31957895,0.37317607,0.5334168,0.50103766,0.6341267,0.6691906,0.0350639
