,cerner_male,cerner_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.68859404,-0.93650556,"('unsociable', 'sociable')",-0.3239674,-0.5111062,-0.5062807,-0.7238059,-0.2175252
1,-0.4173726,-0.6333708,"('unfriendly', 'friendly')",1.6028429,1.5834943,0.5927352,0.4750617,-0.1176735
2,1.0114335,0.85332435,"('unlikable', 'likable')",0.9522013,0.87361044,0.9818174,0.8634674,-0.11835
3,-0.35236266,-0.2949091,"('repellent', 'pleasant')",0.9859706,1.0214206,0.316804,0.3632557,0.0464517
4,0.074487224,0.0229972,"('disliked', 'liked')",-6.4646893,-6.67619,-3.195101,-3.3265963,-0.1314953
5,-0.6272224,-0.64427495,"('distant', 'outgoing')",-0.3802371,-0.20370439,-0.5037298,-0.4239897,0.0797401
6,-0.8916932,-0.91384834,"('distant', 'open')",-0.42688766,-0.24314252,-0.6592904,-0.5784954,0.080795
7,-0.1494825,-0.09563657,"('insensitive', 'sensitive')",0.16871239,0.24713516,0.0096149,0.0757493,0.0661344
8,-0.08503337,-0.2654395,"('unaffectionate', 'affectionate')",0.9134731,0.9577,0.4142199,0.3461303,-0.0680896
9,-0.2009264,-0.3073448,"('unaffectionate', 'caring')",1.2216171,1.3454902,0.5103453,0.5190727,0.0087274
10,-1.591939,-1.6815474,"('unsympathetic', 'sympathetic')",-0.77045256,-0.79958653,-1.1811957,-1.240567,-0.0593713
11,0.0038129687,-0.029833522,"('unhelpful', 'helpful')",1.545546,1.7085863,0.7746795,0.8393764,0.0646969
12,0.22160625,0.25915572,"('unsupportive', 'supportive')",-2.1462102,-2.1173363,-0.962302,-0.9290903,0.0332117
13,-0.48116556,-0.63669294,"('impolite', 'polite')",-1.1340626,-1.1320188,-0.8076141,-0.8843559,-0.0767418
14,-0.018609025,-0.025142696,"('antisocial', 'social')",0.070694834,-0.09817143,0.0260429,-0.0616571,-0.0877
15,0.26040155,0.09651229,"('boring', 'funny')",0.07711354,0.08993387,0.1687575,0.0932231,-0.0755344
16,0.010869779,-0.041087642,"('unpopular', 'popular')",0.4799204,0.4684531,0.2453951,0.2136827,-0.0317124
17,0.26686704,0.23918244,"('nasty', 'nice')",-0.35490376,-0.31311962,-0.0440184,-0.0369686,0.0070498
18,0.13326314,0.019395366,"('disagreeable', 'welcoming')",-0.39401108,-0.39553526,-0.130374,-0.1880699,-0.0576959
19,-0.83239484,-0.9600249,"('inhospitable', 'hospitable')",-0.33051762,-0.21602604,-0.5814562,-0.5880255,-0.0065693
20,0.16654125,0.1313099,"('rough', 'thoughtful')",0.90787095,0.84457576,0.5372061,0.4879428,-0.0492633
21,0.022418017,-0.06372345,"('immoral', 'moral')",-0.4536677,-0.5344686,-0.2156248,-0.299096,-0.0834712
22,-0.16806415,-0.27896562,"('untrustworthy', 'trustworthy')",-0.7372008,-0.8313023,-0.4526325,-0.5551339,-0.1025014
23,0.024618736,-0.11592537,"('insincere', 'sincere')",5.7533774,5.9119034,2.888998,2.897989,0.008991
24,-0.3145668,-0.40996808,"('dishonest', 'honest')",0.4102232,0.46807826,0.0478282,0.0290551,-0.0187731
25,0.62892914,0.6544914,"('egoistic', 'altruistic')",1.5439461,1.5926368,1.0864377,1.1235641,0.0371264
26,0.1928485,-0.005306581,"('hardhearted', 'benevolent')",1.8994571,1.6459233,1.0461528,0.8203083,-0.2258445
27,-0.41012678,-0.32229856,"('hardhearted', 'softhearted')",1.1523628,1.174522,0.371118,0.4261118,0.0549938
28,-0.32917333,-0.42334935,"('disloyal', 'loyal')",1.1319721,1.0596977,0.4013994,0.3181742,-0.0832252
29,-0.30368242,-0.29965547,"('unfair', 'fair')",-0.17529935,-0.3447279,-0.2394909,-0.3221917,-0.0827008
30,0.26181173,0.081605166,"('intolerant', 'tolerant')",0.6544007,0.52873135,0.4581062,0.3051683,-0.1529379
31,-0.079439476,-0.05034288,"('evil', 'good')",-0.5420532,-0.54916894,-0.3107463,-0.2997559,0.0109904
32,-0.04477364,-0.24682444,"('unkind', 'kind')",0.99629253,0.72672796,0.4757594,0.2399518,-0.2358076
33,0.7064395,0.5977964,"('wrong', 'right')",-0.51551354,-0.51666844,0.095463,0.040564,-0.054899
34,-0.007050121,0.07078363,"('mean', 'honorable')",5.349993,5.694424,2.6714716,2.8826039,0.2111323
35,0.41973925,0.43305546,"('corrupt', 'incorrupt')",-0.4086376,-0.42881045,0.0055508,0.0021225,-0.0034283
36,-0.084328935,-0.2883819,"('hostile', 'amicable')",-0.09221478,-0.24740191,-0.0882719,-0.2678919,-0.17962
37,-0.14833108,-0.18876117,"('fake', 'genuine')",0.06510366,0.17223398,-0.0416137,-0.0082636,0.0333501
38,-0.010313839,-0.06295783,"('untruthful', 'truthful')",-0.148384,0.009473719,-0.0793489,-0.0267421,0.0526068
39,1.3847941,1.3503215,"('exploitative', 'cooperative')",0.23260187,0.19637464,0.808698,0.7733481,-0.0353499
40,0.97622806,1.0087456,"('stingy', 'generous')",-1.6593803,-1.7041022,-0.3415761,-0.3476783,-0.0061022
41,0.5900838,0.45962733,"('unforgiving', 'forgiving')",0.034331784,-0.07376516,0.3122078,0.1929311,-0.1192767
42,-0.21726228,-0.25570944,"('unreliable', 'reliable')",-3.715407,-3.7392457,-1.9663346,-1.9974775,-0.0311429
43,-0.6292327,-0.7154947,"('irresponsible', 'responsible')",0.17630081,0.16137876,-0.2264659,-0.277058,-0.0505921
44,0.22467665,0.17615683,"('prejudiced', 'unprejudiced')",-1.6841987,-1.757329,-0.7297611,-0.7905861,-0.060825
45,-0.5348046,-0.5978564,"('incompetent', 'competent')",-0.067043014,-0.13542823,-0.3009238,-0.3666423,-0.0657185
46,-0.58170044,-0.61101305,"('uncompetitive', 'competitive')",-1.141361,-1.2256937,-0.8615307,-0.9183534,-0.0568227
47,-0.23686507,-0.18682799,"('stupid', 'smart')",5.159128,5.4252796,2.4611316,2.6192257,0.1580941
48,0.23667717,0.16662554,"('unintelligent', 'intelligent')",0.5033938,0.47493613,0.3700355,0.3207808,-0.0492547
49,0.18698606,0.23100421,"('unable', 'able')",-0.14065093,-0.07651561,0.0231676,0.0772443,0.0540767
50,0.16477329,0.07296652,"('clumsy', 'skillful')",0.071701944,0.035666205,0.1182376,0.0543164,-0.0639212
51,-0.45167202,-0.6011887,"('uneducated', 'educated')",0.62834835,0.50370353,0.0883382,-0.0487426,-0.1370808
52,0.6922983,0.44904286,"('irrational', 'rational')",0.5450583,0.46661833,0.6186783,0.4578306,-0.1608477
53,-0.8151924,-0.9469691,"('uncreative', 'creative')",0.3535931,0.35401365,-0.2307996,-0.2964777,-0.0656781
54,-0.12322661,-0.27344775,"('incapable', 'capable')",0.71515477,0.796388,0.2959641,0.2614701,-0.034494
55,-0.18751767,-0.21999407,"('incompetent', 'clever')",0.2713526,0.22935605,0.0419175,0.004681,-0.0372365
56,-0.310287,-0.39793652,"('impractical', 'practical')",-0.7643217,-0.7500187,-0.5373043,-0.5739776,-0.0366733
57,-0.7737375,-0.95142776,"('unimaginative', 'imaginative')",-2.951566,-3.0709662,-1.8626517,-2.0111971,-0.1485454
58,0.25046507,0.17607304,"('undiscriminating', 'discriminating')",0.19830766,0.18077482,0.2243864,0.1784239,-0.0459625
59,0.58119756,0.5810902,"('foolish', 'wise')",0.27615124,0.37541205,0.4286744,0.4782511,0.0495767
60,-0.111864746,-0.11020344,"('inefficient', 'efficient')",-0.52044547,-0.38348562,-0.3161551,-0.2468445,0.0693106
61,-0.088917576,-0.3139142,"('illogical', 'logical')",0.5607003,0.32794482,0.2358914,0.0070153,-0.2288761
