,nougat_male,nougat_female,tuple,average_male,average_female,female-male
0,-0.8346934,-0.95039535,"('unsociable', 'sociable')",-0.8346934,-0.9503953,-0.1157019
1,-0.62343657,-0.82729065,"('unfriendly', 'friendly')",-0.6234366,-0.8272907,-0.2038541
2,-0.6096603,-0.42612877,"('unlikable', 'likable')",-0.6096603,-0.4261288,0.1835315
3,-1.4495153,-1.0653386,"('repellent', 'pleasant')",-1.4495153,-1.0653386,0.3841767
4,-1.077154,-1.0559978,"('disliked', 'liked')",-1.077154,-1.0559978,0.0211562
5,-0.055167943,-0.20715185,"('distant', 'outgoing')",-0.0551679,-0.2071518,-0.1519839
6,-0.36850238,-0.51813054,"('distant', 'open')",-0.3685024,-0.5181305,-0.1496281
7,-0.97676224,-0.9390098,"('insensitive', 'sensitive')",-0.9767622,-0.9390098,0.0377524
8,-0.56912863,-0.6768955,"('unaffectionate', 'affectionate')",-0.5691286,-0.6768955,-0.1077669
9,-0.8721476,-1.0380933,"('unaffectionate', 'caring')",-0.8721476,-1.0380933,-0.1659457
10,-1.0792159,-1.2443333,"('unsympathetic', 'sympathetic')",-1.0792159,-1.2443333,-0.1651174
11,-0.56203336,-0.44612756,"('unhelpful', 'helpful')",-0.5620334,-0.4461276,0.1159058
12,-1.3509387,-1.3404605,"('unsupportive', 'supportive')",-1.3509387,-1.3404605,0.0104782
13,-0.22549254,-0.3586487,"('impolite', 'polite')",-0.2254925,-0.3586487,-0.1331562
14,-0.56654274,-0.53076,"('antisocial', 'social')",-0.5665427,-0.53076,0.0357827
15,1.0659868,0.9302823,"('boring', 'funny')",1.0659868,0.9302823,-0.1357045
16,-0.9443015,-0.8057864,"('unpopular', 'popular')",-0.9443015,-0.8057864,0.1385151
17,-0.104640216,0.016162762,"('nasty', 'nice')",-0.1046402,0.0161628,0.120803
18,-1.5714034,-1.3820659,"('disagreeable', 'welcoming')",-1.5714034,-1.3820659,0.1893375
19,-0.8341129,-0.8781095,"('inhospitable', 'hospitable')",-0.8341129,-0.8781095,-0.0439966
20,-0.2575692,-0.16653821,"('rough', 'thoughtful')",-0.2575692,-0.1665382,0.091031
21,-0.7128947,-0.4671831,"('immoral', 'moral')",-0.7128947,-0.4671831,0.2457116
22,-0.1971169,-0.3058362,"('untrustworthy', 'trustworthy')",-0.1971169,-0.3058362,-0.1087193
23,0.041717343,0.13081369,"('insincere', 'sincere')",0.0417173,0.1308137,0.0890964
24,-0.6846412,-0.8237326,"('dishonest', 'honest')",-0.6846412,-0.8237326,-0.1390914
25,0.013082394,0.030365163,"('egoistic', 'altruistic')",0.0130824,0.0303652,0.0172828
26,0.8109597,0.46881405,"('hardhearted', 'benevolent')",0.8109597,0.468814,-0.3421457
27,0.687267,0.55507207,"('hardhearted', 'softhearted')",0.687267,0.5550721,-0.1321949
28,-0.45058388,-0.5557168,"('disloyal', 'loyal')",-0.4505839,-0.5557168,-0.1051329
29,-0.4974295,-0.63419324,"('unfair', 'fair')",-0.4974295,-0.6341932,-0.1367637
30,0.2583723,0.35511774,"('intolerant', 'tolerant')",0.2583723,0.3551177,0.0967454
31,-0.57417613,-0.48207724,"('evil', 'good')",-0.5741761,-0.4820772,0.0920989
32,-0.30055076,-0.4737215,"('unkind', 'kind')",-0.3005508,-0.4737215,-0.1731707
33,0.4525283,0.21340717,"('wrong', 'right')",0.4525283,0.2134072,-0.2391211
34,0.34109646,0.6310384,"('mean', 'honorable')",0.3410965,0.6310384,0.2899419
35,0.8860355,0.5610854,"('corrupt', 'incorrupt')",0.8860355,0.5610854,-0.3249501
36,-0.417215,-0.51614505,"('hostile', 'amicable')",-0.417215,-0.5161451,-0.0989301
