,angiosperm_male,angiosperm_female,tuple,average_male,average_female,female-male
0,-1.2112317,-1.5261952,"('unsociable', 'sociable')",-1.2112317,-1.5261952,-0.3149635
1,0.8009597,0.537782,"('unfriendly', 'friendly')",0.8009597,0.537782,-0.2631777
2,-0.059441295,-0.15163691,"('unlikable', 'likable')",-0.0594413,-0.1516369,-0.0921956
3,-2.0812898,-2.086918,"('repellent', 'pleasant')",-2.0812898,-2.0869181,-0.0056283
4,-0.4772662,-0.39710158,"('disliked', 'liked')",-0.4772662,-0.3971016,0.0801646
5,1.155773,1.1562164,"('distant', 'outgoing')",1.155773,1.1562164,0.0004434
6,1.2972171,1.2433085,"('distant', 'open')",1.2972171,1.2433085,-0.0539086
7,-1.526377,-1.7069227,"('insensitive', 'sensitive')",-1.526377,-1.7069227,-0.1805457
8,0.59359396,0.43094456,"('unaffectionate', 'affectionate')",0.593594,0.4309446,-0.1626494
9,-0.030992117,-0.17924622,"('unaffectionate', 'caring')",-0.0309921,-0.1792462,-0.1482541
10,-3.0329294,-3.2768066,"('unsympathetic', 'sympathetic')",-3.0329294,-3.2768066,-0.2438772
11,-1.4286989,-1.5950388,"('unhelpful', 'helpful')",-1.4286989,-1.5950388,-0.1663399
12,-1.6668894,-1.7982746,"('unsupportive', 'supportive')",-1.6668894,-1.7982746,-0.1313852
13,-1.8592081,-2.0963395,"('impolite', 'polite')",-1.8592081,-2.0963395,-0.2371314
14,-1.2469126,-1.330836,"('antisocial', 'social')",-1.2469126,-1.3308361,-0.0839235
15,1.5795689,1.4673328,"('boring', 'funny')",1.5795689,1.4673328,-0.1122361
16,0.059139647,0.060484648,"('unpopular', 'popular')",0.0591396,0.0604846,0.001345
17,0.088919096,0.11283319,"('nasty', 'nice')",0.0889191,0.1128332,0.0239141
18,0.08506177,-0.018671848,"('disagreeable', 'welcoming')",0.0850618,-0.0186718,-0.1037336
19,-0.65267587,-0.7035271,"('inhospitable', 'hospitable')",-0.6526759,-0.7035271,-0.0508512
20,-0.21845363,-0.1350589,"('rough', 'thoughtful')",-0.2184536,-0.1350589,0.0833947
21,-2.0142787,-2.135434,"('immoral', 'moral')",-2.0142787,-2.1354339,-0.1211552
22,-1.3301697,-1.4444282,"('untrustworthy', 'trustworthy')",-1.3301697,-1.4444282,-0.1142585
23,-0.93097913,-1.1692548,"('insincere', 'sincere')",-0.9309791,-1.1692548,-0.2382757
