,condominium_male,condominium_female,tuple,average_male,average_female,female-male
0,0.18041125,0.1313387,"('unsociable', 'sociable')",0.1804112,0.1313387,-0.0490725
1,0.13688436,0.014307565,"('unfriendly', 'friendly')",0.1368844,0.0143076,-0.1225768
2,1.0729362,1.1601956,"('unlikable', 'likable')",1.0729362,1.1601956,0.0872594
3,-0.5821503,-0.44407982,"('repellent', 'pleasant')",-0.5821503,-0.4440798,0.1380705
4,-1.8899039,-1.6626216,"('disliked', 'liked')",-1.8899039,-1.6626216,0.2272823
5,1.2036302,1.1484585,"('distant', 'outgoing')",1.2036302,1.1484585,-0.0551717
6,0.9219056,0.8484625,"('distant', 'open')",0.9219056,0.8484625,-0.0734431
7,0.5916651,0.62282836,"('insensitive', 'sensitive')",0.5916651,0.6228284,0.0311633
8,0.50138265,0.3979236,"('unaffectionate', 'affectionate')",0.5013826,0.3979236,-0.103459
9,0.9086907,0.82211304,"('unaffectionate', 'caring')",0.9086907,0.822113,-0.0865777
10,-0.49811083,-0.5330872,"('unsympathetic', 'sympathetic')",-0.4981108,-0.5330872,-0.0349764
11,0.30235043,0.23123926,"('unhelpful', 'helpful')",0.3023504,0.2312393,-0.0711111
12,-0.24311136,-0.16103324,"('unsupportive', 'supportive')",-0.2431114,-0.1610332,0.0820782
13,0.06334776,0.017105527,"('impolite', 'polite')",0.0633478,0.0171055,-0.0462423
14,0.34333587,0.4041416,"('antisocial', 'social')",0.3433359,0.4041416,0.0608057
15,0.7911161,0.7621994,"('boring', 'funny')",0.7911161,0.7621994,-0.0289167
16,0.9716905,1.0956616,"('unpopular', 'popular')",0.9716905,1.0956616,0.1239711
17,0.39783794,0.5040394,"('nasty', 'nice')",0.3978379,0.5040394,0.1062015
18,0.16649947,0.18462984,"('disagreeable', 'welcoming')",0.1664995,0.1846298,0.0181303
19,-0.750325,-0.7732127,"('inhospitable', 'hospitable')",-0.750325,-0.7732127,-0.0228877
20,-0.45036903,-0.45681527,"('rough', 'thoughtful')",-0.450369,-0.4568153,-0.0064463
21,-0.5586331,-0.50635505,"('immoral', 'moral')",-0.5586331,-0.506355,0.0522781
22,-0.6570549,-0.5937477,"('untrustworthy', 'trustworthy')",-0.6570549,-0.5937477,0.0633072
