,fee_male,fee_female,tuple,average_male,average_female,female-male
0,-0.11226453,-0.08635131,"('unsociable', 'sociable')",-0.1122645,-0.0863513,0.0259132
1,1.2744102,1.2104944,"('unfriendly', 'friendly')",1.2744102,1.2104944,-0.0639158
2,0.1655356,0.27794197,"('unlikable', 'likable')",0.1655356,0.277942,0.1124064
3,0.75987643,0.8810696,"('repellent', 'pleasant')",0.7598764,0.8810696,0.1211932
4,-7.0834,-7.275131,"('disliked', 'liked')",-7.0833998,-7.2751312,-0.1917314
5,-0.44956547,-0.49502438,"('distant', 'outgoing')",-0.4495655,-0.4950244,-0.0454589
6,0.20573886,0.08580623,"('distant', 'open')",0.2057389,0.0858062,-0.1199327
7,1.0316528,1.127762,"('insensitive', 'sensitive')",1.0316528,1.127762,0.0961092
8,1.2390978,1.0818869,"('unaffectionate', 'affectionate')",1.2390978,1.0818869,-0.1572109
9,1.8055438,1.852134,"('unaffectionate', 'caring')",1.8055438,1.852134,0.0465902
10,1.0156804,1.1053554,"('unsympathetic', 'sympathetic')",1.0156804,1.1053554,0.089675
11,1.449184,1.5704789,"('unhelpful', 'helpful')",1.4491839,1.5704789,0.121295
12,-1.7018764,-1.6778603,"('unsupportive', 'supportive')",-1.7018764,-1.6778603,0.0240161
13,-0.28629625,-0.19334374,"('impolite', 'polite')",-0.2862962,-0.1933437,0.0929525
14,-0.35692775,-0.3315299,"('antisocial', 'social')",-0.3569278,-0.3315299,0.0253979
15,0.05034015,0.007271521,"('boring', 'funny')",0.0503401,0.0072715,-0.0430686
16,0.1282959,0.16837509,"('unpopular', 'popular')",0.1282959,0.1683751,0.0400792
17,0.049376257,0.024998441,"('nasty', 'nice')",0.0493763,0.0249984,-0.0243779
18,-0.37479806,-0.3892525,"('disagreeable', 'welcoming')",-0.3747981,-0.3892525,-0.0144544
19,-0.48080388,-0.4393403,"('inhospitable', 'hospitable')",-0.4808039,-0.4393403,0.0414636
20,0.7803157,0.757976,"('rough', 'thoughtful')",0.7803157,0.757976,-0.0223397
21,-0.32763165,-0.03158506,"('immoral', 'moral')",-0.3276317,-0.0315851,0.2960466
22,-0.3959852,-0.4017682,"('untrustworthy', 'trustworthy')",-0.3959852,-0.4017682,-0.005783
23,6.0247736,6.238363,"('insincere', 'sincere')",6.0247736,6.2383628,0.2135892
24,1.5586022,1.5527269,"('dishonest', 'honest')",1.5586022,1.5527269,-0.0058753
25,0.51059496,0.39710104,"('egoistic', 'altruistic')",0.510595,0.397101,-0.113494
26,1.0862457,0.97881794,"('hardhearted', 'benevolent')",1.0862457,0.9788179,-0.1074278
