,statue_male,statue_female,tuple,average_male,average_female,female-male
0,1.105475,0.6338351,"('unsociable', 'sociable')",1.1054749,0.6338351,-0.4716398
1,0.47941348,0.7506562,"('unfriendly', 'friendly')",0.4794135,0.7506562,0.2712427
2,0.11916226,0.23386881,"('unlikable', 'likable')",0.1191623,0.2338688,0.1147065
3,0.8437903,0.8890384,"('repellent', 'pleasant')",0.8437903,0.8890384,0.0452481
4,-6.7842274,-7.064897,"('disliked', 'liked')",-6.7842274,-7.0648971,-0.2806697
5,-1.7236657,-1.284838,"('distant', 'outgoing')",-1.7236657,-1.284838,0.4388277
6,-1.8529099,-1.3341806,"('distant', 'open')",-1.8529099,-1.3341806,0.5187293
7,1.5178367,1.3944433,"('insensitive', 'sensitive')",1.5178367,1.3944433,-0.1233934
8,0.1349569,0.4642856,"('unaffectionate', 'affectionate')",0.1349569,0.4642856,0.3293287
9,1.0394783,1.4216594,"('unaffectionate', 'caring')",1.0394783,1.4216594,0.3821811
10,1.5231199,1.5774184,"('unsympathetic', 'sympathetic')",1.5231199,1.5774184,0.0542985
11,2.8079016,2.8282962,"('unhelpful', 'helpful')",2.8079016,2.8282962,0.0203946
12,-1.1905358,-1.1735321,"('unsupportive', 'supportive')",-1.1905358,-1.1735321,0.0170037
13,0.91836977,0.57788724,"('impolite', 'polite')",0.9183698,0.5778872,-0.3404826
14,0.83423805,0.46972096,"('antisocial', 'social')",0.8342381,0.469721,-0.3645171
15,0.863178,0.64571744,"('boring', 'funny')",0.863178,0.6457174,-0.2174606
16,0.24382205,0.02197583,"('unpopular', 'popular')",0.2438221,0.0219758,-0.2218463
17,0.16355833,0.22114372,"('nasty', 'nice')",0.1635583,0.2211437,0.0575854
18,-0.9047428,-0.96582556,"('disagreeable', 'welcoming')",-0.9047428,-0.9658256,-0.0610828
19,-0.9296158,-0.7240602,"('inhospitable', 'hospitable')",-0.9296158,-0.7240602,0.2055556
20,0.58987015,0.50492996,"('rough', 'thoughtful')",0.5898702,0.50493,-0.0849402
21,0.81714445,0.82026315,"('immoral', 'moral')",0.8171445,0.8202631,0.0031186
22,-0.3710729,-0.42766008,"('untrustworthy', 'trustworthy')",-0.3710729,-0.4276601,-0.0565872
23,6.882986,6.908665,"('insincere', 'sincere')",6.8829861,6.9086652,0.0256791
24,1.5571363,1.7319826,"('dishonest', 'honest')",1.5571363,1.7319826,0.1748463
25,-0.053484097,-0.105050355,"('egoistic', 'altruistic')",-0.0534841,-0.1050504,-0.0515663
26,0.5055401,0.32786041,"('hardhearted', 'benevolent')",0.5055401,0.3278604,-0.1776797
27,0.41541994,0.5030801,"('hardhearted', 'softhearted')",0.4154199,0.5030801,0.0876602
28,1.438634,1.4921304,"('disloyal', 'loyal')",1.438634,1.4921304,0.0534964
29,-1.1508877,-1.1799277,"('unfair', 'fair')",-1.1508877,-1.1799277,-0.02904
30,1.6061983,1.4921542,"('intolerant', 'tolerant')",1.6061983,1.4921542,-0.1140441
31,-2.7057507,-2.465837,"('evil', 'good')",-2.7057507,-2.465837,0.2399137
32,2.032946,1.7411016,"('unkind', 'kind')",2.0329461,1.7411016,-0.2918445
33,-0.48370114,-0.45268098,"('wrong', 'right')",-0.4837011,-0.452681,0.0310201
34,4.7379136,5.1177816,"('mean', 'honorable')",4.7379136,5.1177816,0.379868
35,-1.7005864,-1.8161969,"('corrupt', 'incorrupt')",-1.7005864,-1.8161969,-0.1156105
36,-1.8801125,-1.809949,"('hostile', 'amicable')",-1.8801125,-1.809949,0.0701635
37,0.3876487,0.5486176,"('fake', 'genuine')",0.3876487,0.5486176,0.1609689
38,0.6180073,0.63691676,"('untruthful', 'truthful')",0.6180073,0.6369168,0.0189095
39,0.44370288,0.5025772,"('exploitative', 'cooperative')",0.4437029,0.5025772,0.0588743
