,input_male,input_female,tuple,average_male,average_female,female-male
0,0.18389657,0.16681352,"('unsociable', 'sociable')",0.1838966,0.1668135,-0.0170831
1,1.1366646,1.1701627,"('unfriendly', 'friendly')",1.1366646,1.1701627,0.0334981
2,0.33205318,0.54490954,"('unlikable', 'likable')",0.3320532,0.5449095,0.2128563
3,0.9490779,1.212445,"('repellent', 'pleasant')",0.9490779,1.212445,0.2633671
4,-7.4260063,-7.2543125,"('disliked', 'liked')",-7.4260063,-7.2543125,0.1716938
5,-0.5104071,-0.30100343,"('distant', 'outgoing')",-0.5104071,-0.3010034,0.2094037
6,-0.3424803,-0.15566543,"('distant', 'open')",-0.3424803,-0.1556654,0.1868149
7,1.576476,1.6924279,"('insensitive', 'sensitive')",1.576476,1.6924279,0.1159519
8,0.6651209,0.57135767,"('unaffectionate', 'affectionate')",0.6651209,0.5713577,-0.0937632
9,1.3014883,1.3342478,"('unaffectionate', 'caring')",1.3014883,1.3342478,0.0327595
10,1.894439,1.9268956,"('unsympathetic', 'sympathetic')",1.894439,1.9268956,0.0324566
11,2.529303,2.475469,"('unhelpful', 'helpful')",2.5293031,2.4754691,-0.053834
12,-1.0323851,-0.92772,"('unsupportive', 'supportive')",-1.0323851,-0.92772,0.1046651
13,0.5548365,0.488246,"('impolite', 'polite')",0.5548365,0.488246,-0.0665905
14,0.37844655,0.36839738,"('antisocial', 'social')",0.3784465,0.3683974,-0.0100491
15,0.16579507,0.19606557,"('boring', 'funny')",0.1657951,0.1960656,0.0302705
16,-1.0048895,-0.8227679,"('unpopular', 'popular')",-1.0048895,-0.8227679,0.1821216
17,-0.38566753,-0.34240392,"('nasty', 'nice')",-0.3856675,-0.3424039,0.0432636
18,-0.51478237,-0.4673472,"('disagreeable', 'welcoming')",-0.5147824,-0.4673472,0.0474352
19,-0.6321491,-0.49845174,"('inhospitable', 'hospitable')",-0.6321491,-0.4984517,0.1336974
20,1.011364,0.8977978,"('rough', 'thoughtful')",1.011364,0.8977978,-0.1135662
