,bristol_male,bristol_female,tuple,myers_male,myers_female,squibb_male,squibb_female,co_male,co_female,average_male,average_female,female-male
0,-0.2687701,-0.3996283,"('unsociable', 'sociable')",0.10498427,-0.022390641,-1.7825488,-1.7994783,0.16943641,-0.0034008287,-0.4442245,-0.5562245,-0.112
1,-0.06017763,-0.19144984,"('unfriendly', 'friendly')",1.586737,1.4616511,-0.8331071,-0.8999369,1.2720304,1.0438747,0.4913706,0.3535348,-0.1378358
2,0.651505,0.7417988,"('unlikable', 'likable')",0.38764268,0.5356748,-0.7764276,-0.71291727,0.3225963,0.44708318,0.1463291,0.2529099,0.1065808
3,-1.2195363,-1.0587032,"('repellent', 'pleasant')",-1.6514721,-1.590458,-1.4832226,-1.397237,0.46061337,0.53712636,-0.9734044,-0.877318,0.0960864
4,-0.056213677,0.017690165,"('disliked', 'liked')",-0.18110918,-0.05415848,0.27747494,0.29366302,-7.1850047,-7.2246532,-1.7862132,-1.7418647,0.0443485
5,-0.8891228,-0.7700165,"('distant', 'outgoing')",0.49792385,0.5568045,1.156641,1.1825076,-0.6013762,-0.52226675,0.0410165,0.1117572,0.0707407
6,-1.0059512,-0.8513638,"('distant', 'open')",0.37792602,0.41991684,0.8207302,0.84237677,-0.55852824,-0.5120072,-0.0914558,-0.0252693,0.0661865
7,0.12728615,0.17529774,"('insensitive', 'sensitive')",0.06560236,0.07286777,-1.8577764,-1.7887946,0.011333565,0.05672429,-0.4133886,-0.3709762,0.0424124
8,-0.90042406,-1.0065271,"('unaffectionate', 'affectionate')",-0.019702174,-0.101155125,-1.8060997,-1.8668822,0.06772358,-0.04695984,-0.6646256,-0.7553811,-0.0907555
9,0.38212717,0.1894216,"('unaffectionate', 'caring')",1.1276686,1.0289109,-1.2457771,-1.2872425,1.0461917,0.95910287,0.3275526,0.2225482,-0.1050044
10,-0.123201996,-0.26963824,"('unsympathetic', 'sympathetic')",-0.2658165,-0.4660183,-2.5578053,-2.513292,-0.07492879,-0.107537165,-0.7554381,-0.8391215,-0.0836834
11,0.82799834,0.6865548,"('unhelpful', 'helpful')",0.9333587,0.7796007,-1.1744583,-1.1523852,2.164924,2.1817825,0.6879557,0.6238882,-0.0640675
12,0.32128885,0.43832362,"('unsupportive', 'supportive')",1.3918445,1.4256389,-1.8824148,-1.8097949,-2.027329,-1.934199,-0.5491526,-0.4700078,0.0791448
13,0.13884118,0.036818676,"('impolite', 'polite')",-0.17343265,-0.25017607,-0.9182787,-0.9252977,-0.061464205,-0.07243661,-0.2535836,-0.3027729,-0.0491893
14,-0.12802088,-0.14656323,"('antisocial', 'social')",-0.21393543,-0.34500915,-1.663527,-1.6418709,-0.12998232,-0.14944428,-0.5338664,-0.5707219,-0.0368555
15,0.33620903,0.2020582,"('boring', 'funny')",0.96982825,0.9069661,1.6987387,1.6650568,0.5876295,0.578802,0.8981014,0.8382208,-0.0598806
16,-0.058228087,-0.034569204,"('unpopular', 'popular')",0.41796172,0.5612574,0.6106796,0.676974,0.23366621,0.12920715,0.3010199,0.3332173,0.0321974
17,-0.4356005,-0.31884018,"('nasty', 'nice')",0.250944,0.36842987,0.2105385,0.27770513,-0.478812,-0.3858231,-0.1132325,-0.0146321,0.0986004
18,-0.8545408,-0.6298632,"('disagreeable', 'welcoming')",0.50636095,0.5798062,-0.8158252,-0.8161597,-1.0264708,-1.0176572,-0.547619,-0.4709685,0.0766505
19,-0.867178,-0.76032764,"('inhospitable', 'hospitable')",-0.27196136,-0.19991428,-0.047679663,-0.01638811,-0.49200693,-0.3756662,-0.4197065,-0.3380741,0.0816324
20,-0.037197787,0.058344666,"('rough', 'thoughtful')",0.4643755,0.4569762,-0.20986766,-0.22503848,0.49238968,0.47628587,0.1774249,0.1916421,0.0142172
21,0.78362596,0.7295397,"('immoral', 'moral')",0.28171337,0.24566272,-0.8847255,-0.851148,-0.35268602,-0.31324825,-0.0430181,-0.0472985,-0.0042804
22,0.33275872,0.32551956,"('untrustworthy', 'trustworthy')",-0.45553592,-0.51157415,-0.76443285,-0.7606307,-0.45374233,-0.47970626,-0.3352381,-0.3565979,-0.0213598
23,0.86617726,0.6941503,"('insincere', 'sincere')",0.8290867,0.5942233,-1.3702881,-1.4030951,6.0818343,5.9717917,1.6017026,1.4642676,-0.137435
24,0.55982697,0.549225,"('dishonest', 'honest')",-0.14409737,-0.17792857,-1.0115342,-1.0340197,0.6426443,0.5702764,0.0117099,-0.0231117,-0.0348216
25,-1.4627767,-1.3127295,"('egoistic', 'altruistic')",0.021215916,0.12892535,0.18576041,0.17185348,1.0345722,0.93731487,-0.055307,-0.018659,0.036648
26,0.29289573,0.19231898,"('hardhearted', 'benevolent')",1.1900827,1.0484844,-0.3904532,-0.45911524,1.2740549,1.086033,0.591645,0.4669303,-0.1247147
27,-0.31967556,-0.2815517,"('hardhearted', 'softhearted')",0.6713302,0.67704195,0.21416864,0.23957783,0.6234159,0.5472481,0.2973098,0.295579,-0.0017308
28,-0.90404296,-1.119715,"('disloyal', 'loyal')",-0.3285771,-0.5588438,-1.4446735,-1.5166951,0.86818707,0.64979434,-0.4522766,-0.6363649,-0.1840883
29,-0.10714884,-0.13438973,"('unfair', 'fair')",-0.097309865,-0.17625755,0.04776336,0.040414214,-0.6765214,-0.7483108,-0.2083042,-0.254636,-0.0463318
30,0.38048854,0.41195795,"('intolerant', 'tolerant')",0.043515667,0.028746277,-0.80222076,-0.74868107,0.5224415,0.5562313,0.0360562,0.0620636,0.0260074
31,-1.1524575,-0.87613106,"('evil', 'good')",-0.35254622,-0.09534125,0.33918345,0.42801687,-1.3476791,-1.3467567,-0.6283748,-0.472553,0.1558218
32,1.1123306,0.8619967,"('unkind', 'kind')",0.80530477,0.6020941,-0.6673242,-0.6795408,1.1258051,0.977579,0.5940291,0.4405323,-0.1534968
33,-0.022116534,-0.081212126,"('wrong', 'right')",0.29647315,0.30221272,0.8061922,0.76272106,-0.59588516,-0.6113801,0.1211659,0.0930854,-0.0280805
34,0.07963294,0.29589888,"('mean', 'honorable')",0.22299974,0.3762159,-0.30392262,-0.22567482,5.2595463,5.328993,1.3145641,1.4438581,0.129294
35,-0.907327,-0.96767277,"('corrupt', 'incorrupt')",-0.10234086,-0.094641924,1.955611,1.8727921,-1.0696939,-1.1062595,-0.0309377,-0.0739455,-0.0430078
36,-0.7700472,-0.74202555,"('hostile', 'amicable')",0.1265431,0.14699447,0.48710945,0.44855165,-0.45631546,-0.6276513,-0.1531775,-0.1935327,-0.0403552
37,0.29012316,0.19407392,"('fake', 'genuine')",0.47869146,0.37588105,-0.47558424,-0.45981163,-0.098022245,-0.079037264,0.048802,0.0077765,-0.0410255
38,0.11144244,0.06201586,"('untruthful', 'truthful')",0.29576778,0.28701648,-1.0215138,-0.9892214,-0.060083218,-0.062169407,-0.1685967,-0.1755896,-0.0069929
39,1.3269826,1.3633819,"('exploitative', 'cooperative')",1.0012593,0.9911974,0.60389644,0.57393354,0.6301801,0.66142654,0.8905796,0.8974848,0.0069052
40,-0.48267826,-0.37954623,"('stingy', 'generous')",-0.2426736,-0.21536909,-1.0181309,-1.0348178,-2.9325213,-2.9798994,-1.1690011,-1.1524081,0.016593
41,-0.12642197,-0.044354025,"('unforgiving', 'forgiving')",0.16119091,0.21311338,-1.8171623,-1.8102107,-0.11445744,-0.1764156,-0.4742127,-0.4544667,0.019746
