,amgen_male,amgen_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-1.2366278,-1.4823397,"('unsociable', 'sociable')",-0.39895475,-0.62344444,-0.8177913,-1.0528921,-0.2351008
1,-0.40801853,-0.48554218,"('unfriendly', 'friendly')",1.6357878,1.4836602,0.6138847,0.499059,-0.1148257
2,0.9179785,0.91048497,"('unlikable', 'likable')",0.8855092,0.94696814,0.9017439,0.9287266,0.0269827
3,-0.19946757,-0.13568094,"('repellent', 'pleasant')",0.30190018,0.33953327,0.0512163,0.1019262,0.0507099
4,0.07623638,0.0032272507,"('disliked', 'liked')",-6.2997503,-6.335275,-3.111757,-3.166024,-0.054267
5,-0.35023963,-0.28960726,"('distant', 'outgoing')",-0.43259272,-0.39937598,-0.3914162,-0.3444916,0.0469246
6,-0.38551652,-0.30298167,"('distant', 'open')",0.038120814,0.069343746,-0.1736979,-0.116819,0.0568789
7,-0.49809694,-0.4876383,"('insensitive', 'sensitive')",0.30596608,0.27202106,-0.0960654,-0.1078086,-0.0117432
8,0.014779564,-0.021650087,"('unaffectionate', 'affectionate')",0.6782532,0.63628584,0.3465164,0.3073179,-0.0391985
9,-0.34932834,-0.44964147,"('unaffectionate', 'caring')",0.8193448,0.78738624,0.2350082,0.1688724,-0.0661358
10,-1.1853857,-1.227149,"('unsympathetic', 'sympathetic')",-0.2864424,-0.3651583,-0.7359141,-0.7961537,-0.0602396
11,-0.36959708,-0.4037476,"('unhelpful', 'helpful')",1.9230956,1.9573416,0.7767493,0.776797,4.77e-05
12,-0.58535904,-0.49785203,"('unsupportive', 'supportive')",-1.9802247,-1.9450043,-1.2827919,-1.2214282,0.0613637
13,-0.80167764,-0.86636835,"('impolite', 'polite')",-0.4956591,-0.4765852,-0.6486684,-0.6714768,-0.0228084
14,-0.6759483,-0.7425408,"('antisocial', 'social')",-0.361745,-0.49720556,-0.5188466,-0.6198732,-0.1010266
15,0.36305997,0.30052912,"('boring', 'funny')",0.6333665,0.5816809,0.4982132,0.441105,-0.0571082
