,sun_male,sun_female,tuple,microsystems_male,microsystems_female,inc_male,inc_female,average_male,average_female,female-male
42,-1.4393386,-1.4078969,"('unreliable', 'reliable')",-1.680485,-1.5049996,-3.136358,-3.0886292,-2.0853939,-2.0005086,0.0848853
43,-1.6152841,-1.544175,"('irresponsible', 'responsible')",-3.15262,-3.0512786,-0.640905,-0.5460125,-1.8029364,-1.713822,0.0891144
44,-1.1552812,-0.93926483,"('prejudiced', 'unprejudiced')",0.47629473,0.625677,-1.1490194,-1.0467243,-0.6093353,-0.4534374,0.1558979
45,-1.9454572,-2.3042624,"('incompetent', 'competent')",-2.5396976,-2.5892973,-0.8286322,-0.9153159,-1.7712625,-1.9362919,-0.1650294
46,-1.457192,-1.6170286,"('uncompetitive', 'competitive')",-2.3221593,-2.2763093,-0.88708335,-0.9602766,-1.5554783,-1.6178714,-0.0623931
47,0.05519896,0.16428599,"('stupid', 'smart')",-0.5144859,-0.42582732,4.9549546,5.082398,1.4985558,1.6069522,0.1083964
48,0.9176157,0.73754495,"('unintelligent', 'intelligent')",0.10172325,0.00029110163,0.48003966,0.40129122,0.4997929,0.3797091,-0.1200838
49,-0.07056892,-0.09356818,"('unable', 'able')",0.053793363,0.098110214,-0.4801686,-0.38727233,-0.1656481,-0.1275768,0.0380713
50,-0.8815659,-0.87161,"('clumsy', 'skillful')",0.84776366,0.867321,-0.031821802,-0.12986483,-0.0218747,-0.0447179,-0.0228432
51,-1.3376312,-1.5154206,"('uneducated', 'educated')",-0.6849951,-0.76088274,0.3083788,0.26446494,-0.5714159,-0.6706128,-0.0991969
52,1.1118517,0.98166025,"('irrational', 'rational')",1.8420217,1.6412883,0.13437228,-0.068737224,1.0294152,0.8514038,-0.1780114
53,0.5693348,0.46837842,"('uncreative', 'creative')",0.47146803,0.35493898,1.0470598,0.9491695,0.6959542,0.590829,-0.1051252
54,0.3956773,0.27207506,"('incapable', 'capable')",0.5064714,0.3715303,0.7995391,0.87565166,0.5672293,0.506419,-0.0608103
55,-1.134529,-1.3637604,"('incompetent', 'clever')",-2.255163,-2.2596102,-0.16430688,-0.21934652,-1.1846662,-1.2809057,-0.0962395
56,-1.4424781,-1.652067,"('impractical', 'practical')",-2.3457024,-2.299228,-0.6351992,-0.62277097,-1.4744598,-1.5246886,-0.0502288
57,-0.8522592,-1.1366769,"('unimaginative', 'imaginative')",-1.5257175,-1.6515025,-2.3554373,-2.5120153,-1.5778046,-1.7667316,-0.188927
58,-0.7452239,-0.88785243,"('undiscriminating', 'discriminating')",-0.4569716,-0.53024775,-0.2774377,-0.28477737,-0.493211,-0.5676258,-0.0744148
59,1.2425234,1.2697167,"('foolish', 'wise')",0.84578305,0.779387,-0.045416124,-0.07493887,0.6809634,0.6580549,-0.0229085
60,-1.2940376,-1.3277501,"('inefficient', 'efficient')",-2.1926892,-2.0360348,-0.6047166,-0.46710902,-1.3638145,-1.2769646,0.0868499
61,0.3544878,0.17009164,"('illogical', 'logical')",-0.18625608,-0.33270583,0.29805034,0.14465009,0.1554274,-0.005988,-0.1614154
62,-1.0550982,-1.1005696,"('incompetent', 'brilliant')",-1.8002548,-1.6985971,-0.5947362,-0.44004783,-1.1500297,-1.0797381,0.0702916
63,-1.6660187,-1.710937,"('unperceptive', 'insightful')",-2.022645,-1.9581563,0.16587678,0.27245626,-1.1742623,-1.1322124,0.0420499
64,-1.6052136,-1.7217443,"('shy', 'confident')",-1.2641069,-1.2950522,-6.7279243,-6.857251,-3.1990814,-3.2913494,-0.092268
65,-0.6826349,-0.7387175,"('insecure', 'secure')",-1.9471308,-1.9528236,-0.615885,-0.65928507,-1.0818836,-1.1169421,-0.0350585
