,colgate_male,colgate_female,tuple,palmolive_male,palmolive_female,co_male,co_female,average_male,average_female,female-male
0,-1.1541481,-1.3061087,"('unsociable', 'sociable')",-0.9080518,-1.0529559,0.08617761,-0.003534657,-0.6586741,-0.787533,-0.1288589
1,-1.7265499,-1.8848993,"('unfriendly', 'friendly')",-0.19416872,-0.39095128,1.6323601,1.441698,-0.0961195,-0.2780509,-0.1819314
2,0.34933585,0.49292248,"('unlikable', 'likable')",0.8043326,0.87412953,0.8652901,1.112661,0.6729862,0.826571,0.1535848
3,-0.6228831,-0.54644156,"('repellent', 'pleasant')",-1.3815811,-1.3067898,0.47496852,0.56048477,-0.5098319,-0.4309155,0.0789164
4,0.20238347,0.025963187,"('disliked', 'liked')",0.31839034,0.29991043,-7.0832887,-6.9661603,-2.1875049,-2.2134288,-0.0259239
5,0.29793784,0.21277548,"('distant', 'outgoing')",0.7470031,0.7222739,-0.42978576,-0.35246763,0.2050517,0.1941939,-0.0108578
6,-0.07874066,-0.1623886,"('distant', 'open')",1.0617971,1.0195165,-0.21915713,-0.24689758,0.2546331,0.2034101,-0.051223
7,-0.7928318,-0.67338926,"('insensitive', 'sensitive')",-0.68315685,-0.662079,0.46137586,0.48016348,-0.3382043,-0.2851016,0.0531027
8,-1.001515,-1.1735169,"('unaffectionate', 'affectionate')",-0.14100046,-0.29430953,0.55170196,0.3201544,-0.1969379,-0.3825573,-0.1856194
9,-1.2258685,-1.3524107,"('unaffectionate', 'caring')",-0.61539686,-0.7552933,1.0181985,0.8777019,-0.2743556,-0.4100007,-0.1356451
10,-1.7178621,-1.7115935,"('unsympathetic', 'sympathetic')",-1.46671,-1.5174223,0.3542835,0.19757414,-0.9434295,-1.0104806,-0.0670511
11,-0.76676166,-0.7161374,"('unhelpful', 'helpful')",-1.9386594,-1.933853,2.1281853,2.1129367,-0.1924119,-0.1790179,0.013394
12,-0.9918199,-0.9614956,"('unsupportive', 'supportive')",-1.0837471,-1.0534992,-1.8945729,-1.7869903,-1.32338,-1.2673284,0.0560516
13,-0.8296987,-0.7578094,"('impolite', 'polite')",-0.7255382,-0.75160295,0.04006581,0.112241805,-0.505057,-0.4657235,0.0393335
14,-0.085560784,0.055114895,"('antisocial', 'social')",-0.017496672,-0.0044234544,0.1501257,0.25491607,0.0156894,0.1018692,0.0861798
15,0.181093,0.15607719,"('boring', 'funny')",0.7558706,0.7133745,0.47196054,0.5355778,0.4696414,0.4683432,-0.0012982
16,-0.81380445,-0.7850214,"('unpopular', 'popular')",0.4340703,0.5116165,-0.17241505,-0.13379006,-0.1840497,-0.1357317,0.048318
17,0.045497727,0.006470185,"('nasty', 'nice')",0.024579778,0.066330865,-0.3826842,-0.3941252,-0.1042022,-0.107108,-0.0029058
18,-0.58037466,-0.47522396,"('disagreeable', 'welcoming')",0.016551286,0.11401463,-1.0468123,-1.0022205,-0.5368785,-0.4544766,0.0824019
19,-0.0869344,-0.21334574,"('inhospitable', 'hospitable')",-0.65814203,-0.6780336,-0.62346494,-0.58027434,-0.4561805,-0.4905512,-0.0343707
20,-0.3243571,-0.25855035,"('rough', 'thoughtful')",-0.11572435,-0.092871405,0.51044863,0.59153074,0.0234557,0.0800363,0.0565806
21,-1.2072204,-0.96270883,"('immoral', 'moral')",-0.9865582,-0.9022294,-0.8336794,-0.60081655,-1.0091527,-0.8219182,0.1872345
22,0.18499006,0.20609698,"('untrustworthy', 'trustworthy')",-0.19502263,-0.17314868,-0.32123196,-0.3194451,-0.1104215,-0.0954989,0.0149226
23,-1.4991862,-1.5195203,"('insincere', 'sincere')",-1.769678,-1.7457781,5.840767,5.718483,0.8573009,0.8177282,-0.0395727
24,-0.71095484,-0.6830378,"('dishonest', 'honest')",-0.78298455,-0.7994933,1.1782832,1.0729446,-0.1052187,-0.1365288,-0.0313101
25,-0.10052486,-0.047572732,"('egoistic', 'altruistic')",0.6674796,0.7121938,0.9449824,0.86858904,0.503979,0.51107,0.007091
26,0.2002368,0.07263245,"('hardhearted', 'benevolent')",0.2125031,0.048389897,1.7610353,1.5855832,0.7245917,0.5688685,-0.1557232
