,entergy_male,entergy_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.89428234,-1.0297682,"('unsociable', 'sociable')",-0.49346566,-0.6556451,-0.693874,-0.8427067,-0.1488327
1,-1.3154405,-1.3399714,"('unfriendly', 'friendly')",1.6734836,1.5884528,0.1790215,0.1242407,-0.0547808
2,0.47531062,0.42249635,"('unlikable', 'likable')",0.76462585,0.71256316,0.6199682,0.5675297,-0.0524385
3,-0.73461014,-0.7398449,"('repellent', 'pleasant')",0.78945553,0.8628754,0.0274227,0.0615152,0.0340925
4,0.09003421,0.08166379,"('disliked', 'liked')",-6.815059,-6.7189074,-3.3625126,-3.3186219,0.0438907
5,0.55281794,0.70899,"('distant', 'outgoing')",-0.14514294,0.02363823,0.2038375,0.3663141,0.1624766
6,0.26046705,0.44715855,"('distant', 'open')",-0.24770181,-0.12360539,0.0063826,0.1617766,0.155394
7,-0.6437365,-0.61229795,"('insensitive', 'sensitive')",0.31436303,0.34219927,-0.1646867,-0.1350493,0.0296374
8,-1.0930765,-1.1274796,"('unaffectionate', 'affectionate')",1.0846848,1.0174155,-0.0041958,-0.055032,-0.0508362
9,-1.1657286,-1.1570873,"('unaffectionate', 'caring')",1.3841273,1.4664081,0.1091993,0.1546604,0.0454611
10,-1.8348182,-1.951535,"('unsympathetic', 'sympathetic')",-0.81269115,-0.882289,-1.3237547,-1.416912,-0.0931573
11,0.3130464,0.27859193,"('unhelpful', 'helpful')",1.5205094,1.6443869,0.9167778,0.9614894,0.0447116
12,-0.008958659,0.050830353,"('unsupportive', 'supportive')",-2.079959,-2.0012908,-1.0444587,-0.9752302,0.0692285
13,-0.52893066,-0.64380515,"('impolite', 'polite')",-0.9551114,-1.0522606,-0.742021,-0.8480329,-0.1060119
14,-0.026579913,-0.0811363,"('antisocial', 'social')",-0.3003063,-0.46478412,-0.1634431,-0.2729602,-0.1095171
15,0.36778173,0.3124864,"('boring', 'funny')",0.0008542761,-0.041527662,0.184318,0.1354794,-0.0488386
16,-0.62529117,-0.59790665,"('unpopular', 'popular')",0.36513668,0.4017359,-0.1300772,-0.0980854,0.0319918
17,-0.57052183,-0.48273036,"('nasty', 'nice')",-0.33500227,-0.30912504,-0.4527621,-0.3959277,0.0568344
18,-0.3334934,-0.35045326,"('disagreeable', 'welcoming')",-0.26220813,-0.24937205,-0.2978508,-0.2999127,-0.0020619
19,-0.6164534,-0.59307534,"('inhospitable', 'hospitable')",-0.12885673,-0.027531935,-0.3726551,-0.3103036,0.0623515
20,-0.24238393,-0.21073188,"('rough', 'thoughtful')",0.5527001,0.6049688,0.1551581,0.1971185,0.0419604
21,-0.31499493,-0.48687306,"('immoral', 'moral')",-0.653196,-0.6600738,-0.4840955,-0.5734735,-0.089378
22,-0.95644855,-0.9999597,"('untrustworthy', 'trustworthy')",-1.0544535,-1.0106465,-1.005451,-1.0053031,0.0001479
23,-0.45073318,-0.582691,"('insincere', 'sincere')",5.938081,5.8915677,2.7436738,2.6544383,-0.0892355
