,panther_male,panther_female,tuple,average_male,average_female,female-male
0,0.14660011,-0.04793579,"('unsociable', 'sociable')",0.1466001,-0.0479358,-0.1945359
1,1.7128565,1.7421702,"('unfriendly', 'friendly')",1.7128565,1.7421702,0.0293137
2,0.021214155,0.16587935,"('unlikable', 'likable')",0.0212142,0.1658794,0.1446652
3,0.88163495,0.92049915,"('repellent', 'pleasant')",0.881635,0.9204991,0.0388641
4,-7.2441053,-7.2522836,"('disliked', 'liked')",-7.2441053,-7.2522836,-0.0081783
5,-0.11576,0.17208263,"('distant', 'outgoing')",-0.11576,0.1720826,0.2878426
6,0.22480822,0.45483834,"('distant', 'open')",0.2248082,0.4548383,0.2300301
7,1.15585,1.2161776,"('insensitive', 'sensitive')",1.1558501,1.2161776,0.0603275
8,1.6047995,1.6245928,"('unaffectionate', 'affectionate')",1.6047995,1.6245928,0.0197933
9,2.0193765,2.2308273,"('unaffectionate', 'caring')",2.0193765,2.2308273,0.2114508
10,0.9120214,0.8919484,"('unsympathetic', 'sympathetic')",0.9120214,0.8919484,-0.020073
11,1.7566447,1.9698461,"('unhelpful', 'helpful')",1.7566447,1.9698461,0.2132014
12,-1.3647827,-1.1694744,"('unsupportive', 'supportive')",-1.3647827,-1.1694744,0.1953083
13,-0.14987117,-0.24015617,"('impolite', 'polite')",-0.1498712,-0.2401562,-0.090285
14,-0.15419507,-0.3963183,"('antisocial', 'social')",-0.1541951,-0.3963183,-0.2421232
15,0.6831914,0.6385291,"('boring', 'funny')",0.6831914,0.6385291,-0.0446623
16,-0.62569785,-0.54815716,"('unpopular', 'popular')",-0.6256979,-0.5481572,0.0775407
17,-0.48090872,-0.42821136,"('nasty', 'nice')",-0.4809087,-0.4282114,0.0526973
18,-0.068525955,-0.07709068,"('disagreeable', 'welcoming')",-0.068526,-0.0770907,-0.0085647
19,-0.47414878,-0.11593698,"('inhospitable', 'hospitable')",-0.4741488,-0.115937,0.3582118
20,0.3882812,0.1545143,"('rough', 'thoughtful')",0.3882812,0.1545143,-0.2337669
21,-0.11120556,0.018531151,"('immoral', 'moral')",-0.1112056,0.0185312,0.1297368
22,-0.82856125,-0.6742264,"('untrustworthy', 'trustworthy')",-0.8285612,-0.6742264,0.1543348
