,action_male,action_female,tuple,average_male,average_female,female-male
0,0.40417978,0.2753922,"('unsociable', 'sociable')",0.4041798,0.2753922,-0.1287876
1,0.20162776,0.16246927,"('unfriendly', 'friendly')",0.2016278,0.1624693,-0.0391585
2,0.31887037,0.39485064,"('unlikable', 'likable')",0.3188704,0.3948506,0.0759802
3,0.5757603,0.60673916,"('repellent', 'pleasant')",0.5757603,0.6067392,0.0309789
4,-7.3944955,-7.4248815,"('disliked', 'liked')",-7.3944955,-7.4248815,-0.030386
5,-1.2753593,-1.247552,"('distant', 'outgoing')",-1.2753593,-1.247552,0.0278073
6,-0.756341,-0.785863,"('distant', 'open')",-0.756341,-0.785863,-0.029522
7,1.3628278,1.3151747,"('insensitive', 'sensitive')",1.3628278,1.3151747,-0.0476531
8,0.7419765,0.72957337,"('unaffectionate', 'affectionate')",0.7419765,0.7295734,-0.0124031
9,1.4238819,1.4571666,"('unaffectionate', 'caring')",1.4238819,1.4571666,0.0332847
10,1.8519272,1.7224823,"('unsympathetic', 'sympathetic')",1.8519272,1.7224823,-0.1294449
11,2.4090848,2.421466,"('unhelpful', 'helpful')",2.4090848,2.4214661,0.0123813
12,-1.5860113,-1.5827628,"('unsupportive', 'supportive')",-1.5860113,-1.5827628,0.0032485
13,0.053177938,0.052960277,"('impolite', 'polite')",0.0531779,0.0529603,-0.0002176
14,0.71021265,0.68638295,"('antisocial', 'social')",0.7102126,0.6863829,-0.0238297
15,0.6963082,0.6931922,"('boring', 'funny')",0.6963082,0.6931922,-0.003116
16,-1.1855571,-1.107374,"('unpopular', 'popular')",-1.1855571,-1.107374,0.0781831
17,-0.41713756,-0.48346758,"('nasty', 'nice')",-0.4171376,-0.4834676,-0.06633
18,-1.0566964,-1.0611442,"('disagreeable', 'welcoming')",-1.0566964,-1.0611442,-0.0044478
19,-0.91961896,-0.92430735,"('inhospitable', 'hospitable')",-0.919619,-0.9243073,-0.0046883
20,0.69891226,0.6231651,"('rough', 'thoughtful')",0.6989123,0.6231651,-0.0757472
21,0.6933564,0.7431188,"('immoral', 'moral')",0.6933564,0.7431188,0.0497624
22,0.25652397,0.18455428,"('untrustworthy', 'trustworthy')",0.256524,0.1845543,-0.0719697
23,6.401919,6.414766,"('insincere', 'sincere')",6.4019189,6.4147658,0.0128469
24,1.9224565,1.864237,"('dishonest', 'honest')",1.9224565,1.864237,-0.0582195
25,-0.23914227,-0.24639307,"('egoistic', 'altruistic')",-0.2391423,-0.2463931,-0.0072508
26,0.7000581,0.63059044,"('hardhearted', 'benevolent')",0.7000581,0.6305904,-0.0694677
27,1.5143882,1.311605,"('hardhearted', 'softhearted')",1.5143882,1.311605,-0.2027832
28,1.0285298,0.89484346,"('disloyal', 'loyal')",1.0285298,0.8948435,-0.1336863
29,-0.4557812,-0.62208533,"('unfair', 'fair')",-0.4557812,-0.6220853,-0.1663041
30,1.4924039,1.4349606,"('intolerant', 'tolerant')",1.4924039,1.4349606,-0.0574433
31,-2.1179266,-2.2039466,"('evil', 'good')",-2.1179266,-2.2039466,-0.08602
32,1.3563899,1.2707291,"('unkind', 'kind')",1.3563899,1.2707291,-0.0856608
33,-0.8422053,-0.80878896,"('wrong', 'right')",-0.8422053,-0.808789,0.0334163
34,4.3900356,4.574104,"('mean', 'honorable')",4.3900356,4.5741038,0.1840682
35,-1.5183693,-1.6907922,"('corrupt', 'incorrupt')",-1.5183693,-1.6907922,-0.1724229
36,-1.2923844,-1.4167858,"('hostile', 'amicable')",-1.2923844,-1.4167858,-0.1244014
37,0.847909,0.77002084,"('fake', 'genuine')",0.847909,0.7700208,-0.0778882
38,-0.31260362,-0.2922787,"('untruthful', 'truthful')",-0.3126036,-0.2922787,0.0203249
39,-0.24058324,-0.24227664,"('exploitative', 'cooperative')",-0.2405832,-0.2422766,-0.0016934
40,-2.1462226,-2.3491101,"('stingy', 'generous')",-2.1462226,-2.3491101,-0.2028875
41,0.07283865,-0.11714882,"('unforgiving', 'forgiving')",0.0728386,-0.1171488,-0.1899874
42,-1.7380855,-1.8112066,"('unreliable', 'reliable')",-1.7380855,-1.8112066,-0.0731211
43,1.592283,1.6136043,"('irresponsible', 'responsible')",1.592283,1.6136043,0.0213213
44,-1.3640255,-1.3756595,"('prejudiced', 'unprejudiced')",-1.3640255,-1.3756595,-0.011634
45,0.7657801,0.6005499,"('incompetent', 'competent')",0.7657801,0.6005499,-0.1652302
46,0.079730675,0.03805397,"('uncompetitive', 'competitive')",0.0797307,0.038054,-0.0416767
47,5.338639,5.4832163,"('stupid', 'smart')",5.3386388,5.4832163,0.1445775
48,0.971546,0.92569065,"('unintelligent', 'intelligent')",0.971546,0.9256907,-0.0458553
49,-0.20703647,-0.06157223,"('unable', 'able')",-0.2070365,-0.0615722,0.1454643
50,-0.61748,-0.6342735,"('clumsy', 'skillful')",-0.61748,-0.6342735,-0.0167935
51,0.5045064,0.5130516,"('uneducated', 'educated')",0.5045064,0.5130516,0.0085452
52,-1.1126411,-1.2658466,"('irrational', 'rational')",-1.1126411,-1.2658466,-0.1532055
53,-0.3279081,-0.38343152,"('uncreative', 'creative')",-0.3279081,-0.3834315,-0.0555234
54,0.8825225,0.9742561,"('incapable', 'capable')",0.8825225,0.9742561,0.0917336
55,1.1678317,1.1799359,"('incompetent', 'clever')",1.1678317,1.1799359,0.0121042
56,1.3689536,1.409558,"('impractical', 'practical')",1.3689536,1.4095581,0.0406045
57,-2.2482624,-2.3344562,"('unimaginative', 'imaginative')",-2.2482624,-2.3344562,-0.0861938
58,-0.09261974,-0.19899197,"('undiscriminating', 'discriminating')",-0.0926197,-0.198992,-0.1063723
59,-0.58068264,-0.5511196,"('foolish', 'wise')",-0.5806826,-0.5511196,0.029563
60,1.1893921,1.3156433,"('inefficient', 'efficient')",1.1893921,1.3156433,0.1262512
61,0.5892633,0.34712622,"('illogical', 'logical')",0.5892633,0.3471262,-0.2421371
62,1.3540578,1.4224243,"('incompetent', 'brilliant')",1.3540578,1.4224243,0.0683665
63,0.6128494,0.60803217,"('unperceptive', 'insightful')",0.6128494,0.6080322,-0.0048172
64,-5.5080333,-5.482239,"('shy', 'confident')",-5.5080333,-5.4822388,0.0257945
65,1.112441,1.0202554,"('insecure', 'secure')",1.1124409,1.0202554,-0.0921855
66,-0.13951072,-0.21527773,"('inactive', 'active')",-0.1395107,-0.2152777,-0.075767
67,-0.24934645,-0.12213322,"('doubtful', 'determined')",-0.2493464,-0.1221332,0.1272132
68,-0.6842554,-0.7434298,"('dependent', 'independent')",-0.6842554,-0.7434298,-0.0591744
69,-2.0917442,-2.0620368,"('lazy', 'industrious')",-2.0917442,-2.0620368,0.0297074
70,2.037546,1.9757974,"('lethargic', 'energetic')",2.0375459,1.9757974,-0.0617485
71,-0.5181392,-0.40912563,"('diffident', 'self-confident')",-0.5181392,-0.4091256,0.1090136
72,0.80857503,0.85564274,"('unambitious', 'ambitious')",0.808575,0.8556427,0.0470677
73,-3.416919,-3.3619,"('helpless', 'self-reliant')",-3.416919,-3.3619001,0.0550189
74,0.0646856,-0.0028666072,"('undedicated', 'dedicated')",0.0646856,-0.0028666,-0.0675522
75,-0.838404,-0.75785685,"('meek', 'impulsive')",-0.838404,-0.7578568,0.0805472
76,1.137511,1.1402146,"('anxious', 'daring')",1.137511,1.1402146,0.0027036
77,-0.58089256,-0.5002301,"('unmotivated', 'motivated')",-0.5808926,-0.5002301,0.0806625
78,-0.8813457,-0.85852456,"('nonresilient', 'resilient')",-0.8813457,-0.8585246,0.0228211
79,-0.50968707,-0.57251865,"('wavering', 'unwavering')",-0.5096871,-0.5725186,-0.0628315
80,0.31506902,0.28461573,"('dominated', 'dominating')",0.315069,0.2846157,-0.0304533
81,1.181206,1.2126515,"('submissive', 'aggressive')",1.181206,1.2126515,0.0314455
82,5.8641677,5.9377804,"('poor', 'rich')",5.8641677,5.9377804,0.0736127
83,-0.3383586,-0.30138463,"('powerless', 'powerful')",-0.3383586,-0.3013846,0.036974
84,0.072689764,0.041990343,"('inferior', 'superior')",0.0726898,0.0419903,-0.0306995
85,-2.1184726,-2.1338859,"('insignificant', 'prestigious')",-2.1184726,-2.1338859,-0.0154133
86,0.7737114,0.68903255,"('uninfluential', 'influential')",0.7737114,0.6890326,-0.0846788
87,-0.094415575,-0.0017688796,"('unsuccessful', 'successful')",-0.0944156,-0.0017689,0.0926467
88,0.10098696,0.15796651,"('low', 'eminent')",0.100987,0.1579665,0.0569795
