,davita_male,davita_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.09809357,-0.04473398,"('unsociable', 'sociable')",-0.25574386,-0.33438006,-0.1769187,-0.189557,-0.0126383
1,-0.31103137,-0.5101425,"('unfriendly', 'friendly')",1.6690685,1.5223794,0.6790186,0.5061184,-0.1729002
2,1.0153538,0.9843107,"('unlikable', 'likable')",0.38945103,0.42911363,0.7024024,0.7067121,0.0043097
3,-0.343536,-0.20112292,"('repellent', 'pleasant')",0.17007399,0.1921156,-0.086731,-0.0045037,0.0822273
4,-0.20878577,-0.3676262,"('disliked', 'liked')",-6.649774,-6.715952,-3.4292798,-3.5417891,-0.1125093
5,-0.023946417,-0.3764733,"('distant', 'outgoing')",-0.18071027,-0.279159,-0.1023283,-0.3278162,-0.2254879
6,-0.6000561,-0.904498,"('distant', 'open')",0.10914777,-0.017882183,-0.2454542,-0.4611901,-0.2157359
7,-0.23346844,-0.09320067,"('insensitive', 'sensitive')",0.38490924,0.47270203,0.0757204,0.1897507,0.1140303
8,-0.19398206,-0.40281555,"('unaffectionate', 'affectionate')",0.8850503,0.7943832,0.3455341,0.1957838,-0.1497503
9,-0.26595056,-0.4522443,"('unaffectionate', 'caring')",1.0059811,0.9653833,0.3700153,0.2565695,-0.1134458
10,-0.28091514,-0.16824555,"('unsympathetic', 'sympathetic')",-0.45888975,-0.44197872,-0.3699024,-0.3051121,0.0647903
11,-0.31124908,-0.14647485,"('unhelpful', 'helpful')",1.4493195,1.6006026,0.5690352,0.7270639,0.1580287
12,0.1434345,0.1731308,"('unsupportive', 'supportive')",-1.879772,-1.8296412,-0.8681687,-0.8282552,0.0399135
13,-0.62165624,-0.5538815,"('impolite', 'polite')",-0.8388452,-0.77885044,-0.7302507,-0.666366,0.0638847
14,0.6490319,0.818227,"('antisocial', 'social')",-0.13088934,-0.09618396,0.2590713,0.3610215,0.1019502
15,0.58370394,0.3945687,"('boring', 'funny')",0.62542915,0.57368517,0.6045666,0.4841269,-0.1204397
16,-0.80208874,-0.87437624,"('unpopular', 'popular')",0.39431715,0.40631145,-0.2038858,-0.2340324,-0.0301466
17,-0.65441537,-0.5986186,"('nasty', 'nice')",-0.25279185,-0.2319392,-0.4536036,-0.4152789,0.0383247
18,-0.0017279685,0.07960195,"('disagreeable', 'welcoming')",-0.39371395,-0.42379653,-0.197721,-0.1720973,0.0256237
19,-0.36467624,-0.53975064,"('inhospitable', 'hospitable')",-0.3035088,-0.2997674,-0.3340925,-0.419759,-0.0856665
20,0.48892844,0.47414678,"('rough', 'thoughtful')",1.4563903,1.4156485,0.9726593,0.9448977,-0.0277616
21,0.62621003,0.6645492,"('immoral', 'moral')",-0.34561232,-0.28100103,0.1402989,0.1917741,0.0514752
22,0.71638864,0.8292412,"('untrustworthy', 'trustworthy')",-1.0237725,-1.0263455,-0.1536919,-0.0985521,0.0551398
23,0.39488867,0.4872219,"('insincere', 'sincere')",5.5992737,5.6121902,2.9970813,3.049706,0.0526247
24,0.44580635,0.37107712,"('dishonest', 'honest')",0.63589174,0.5653237,0.540849,0.4682004,-0.0726486
25,0.1661843,-0.13370429,"('egoistic', 'altruistic')",1.6680478,1.5451903,0.917116,0.705743,-0.211373
26,0.88530445,0.6882911,"('hardhearted', 'benevolent')",1.9402056,1.8665372,1.412755,1.2774141,-0.1353409
27,0.245505,0.12400587,"('hardhearted', 'softhearted')",1.5293694,1.4190345,0.8874372,0.7715202,-0.115917
28,0.042441856,0.005420333,"('disloyal', 'loyal')",1.0888053,1.0114524,0.5656236,0.5084364,-0.0571872
29,0.058802426,0.00011402182,"('unfair', 'fair')",-0.2932845,-0.45214784,-0.117241,-0.2260169,-0.1087759
30,0.6795965,0.91149116,"('intolerant', 'tolerant')",1.4711506,1.5213106,1.0753735,1.2164009,0.1410274
31,-0.6947413,-0.78517157,"('evil', 'good')",-0.64153486,-0.7391044,-0.6681381,-0.762138,-0.0939999
