,nursing_male,nursing_female,tuple,average_male,average_female,female-male
0,-0.23979527,-0.36305702,"('unsociable', 'sociable')",-0.2397953,-0.363057,-0.1232617
1,1.9652355,1.9039551,"('unfriendly', 'friendly')",1.9652355,1.9039551,-0.0612804
2,0.4661467,0.68672997,"('unlikable', 'likable')",0.4661467,0.68673,0.2205833
3,0.015791902,0.059870906,"('repellent', 'pleasant')",0.0157919,0.0598709,0.044079
4,-7.33155,-7.3034444,"('disliked', 'liked')",-7.3315501,-7.3034444,0.0281057
5,0.34912062,0.25599393,"('distant', 'outgoing')",0.3491206,0.2559939,-0.0931267
6,0.5036669,0.3644207,"('distant', 'open')",0.5036669,0.3644207,-0.1392462
7,0.7140193,0.7300012,"('insensitive', 'sensitive')",0.7140193,0.7300012,0.0159819
8,1.7442149,1.681638,"('unaffectionate', 'affectionate')",1.7442149,1.681638,-0.0625769
9,2.3917751,2.483959,"('unaffectionate', 'caring')",2.3917751,2.483959,0.0921839
10,0.24623959,0.3081295,"('unsympathetic', 'sympathetic')",0.2462396,0.3081295,0.0618899
11,2.0097332,2.0208917,"('unhelpful', 'helpful')",2.0097332,2.0208917,0.0111585
12,-1.1716896,-1.1821709,"('unsupportive', 'supportive')",-1.1716896,-1.1821709,-0.0104813
13,-0.0841644,-0.16297948,"('impolite', 'polite')",-0.0841644,-0.1629795,-0.0788151
14,-0.2797325,-0.29576826,"('antisocial', 'social')",-0.2797325,-0.2957683,-0.0160358
15,0.52721,0.38357365,"('boring', 'funny')",0.52721,0.3835737,-0.1436363
16,-0.21889928,-0.0676257,"('unpopular', 'popular')",-0.2188993,-0.0676257,0.1512736
17,0.32223576,0.34249035,"('nasty', 'nice')",0.3222358,0.3424903,0.0202545
18,-0.16549402,-0.15820473,"('disagreeable', 'welcoming')",-0.165494,-0.1582047,0.0072893
19,-0.14955874,-0.122040026,"('inhospitable', 'hospitable')",-0.1495587,-0.12204,0.0275187
20,0.63340145,0.47031954,"('rough', 'thoughtful')",0.6334015,0.4703195,-0.163082
21,-0.6470314,-0.54257727,"('immoral', 'moral')",-0.6470314,-0.5425773,0.1044541
22,-0.852853,-0.78263354,"('untrustworthy', 'trustworthy')",-0.852853,-0.7826335,0.0702195
23,7.0593805,7.0300436,"('insincere', 'sincere')",7.0593805,7.0300436,-0.0293369
24,1.5584795,1.6267248,"('dishonest', 'honest')",1.5584795,1.6267248,0.0682453
25,0.91769177,0.90748,"('egoistic', 'altruistic')",0.9176918,0.90748,-0.0102118
26,1.2223463,1.1570594,"('hardhearted', 'benevolent')",1.2223463,1.1570594,-0.0652869
27,1.4325491,1.3551542,"('hardhearted', 'softhearted')",1.4325491,1.3551542,-0.0773949
28,1.2533146,1.2043892,"('disloyal', 'loyal')",1.2533146,1.2043892,-0.0489254
29,-0.2175532,-0.4424447,"('unfair', 'fair')",-0.2175532,-0.4424447,-0.2248915
