,trimble_male,trimble_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.78697985,-0.9978133,"('unsociable', 'sociable')",-0.32940072,-0.53932124,-0.5581903,-0.7685673,-0.210377
1,-0.67686415,-0.8403859,"('unfriendly', 'friendly')",2.0910625,2.0240397,0.7070992,0.5918269,-0.1152723
2,-0.12324234,-0.12941812,"('unlikable', 'likable')",0.34137627,0.51331055,0.109067,0.1919462,0.0828792
3,-0.80303633,-0.58396983,"('repellent', 'pleasant')",-0.15834871,-0.11351147,-0.4806925,-0.3487406,0.1319519
4,-0.012729137,-0.045380976,"('disliked', 'liked')",-6.1702538,-6.308131,-3.0914915,-3.1767561,-0.0852646
5,0.003811786,-0.12008119,"('distant', 'outgoing')",0.08068296,0.2196607,0.0422474,0.0497898,0.0075424
6,-0.15573107,-0.26604795,"('distant', 'open')",0.5006258,0.6249288,0.1724474,0.1794404,0.006993
7,0.2739886,0.27631462,"('insensitive', 'sensitive')",0.5005774,0.52653354,0.387283,0.4014241,0.0141411
8,-1.286916,-1.2585547,"('unaffectionate', 'affectionate')",1.1201549,1.1345401,-0.0833806,-0.0620073,0.0213733
9,-0.9447821,-0.96014476,"('unaffectionate', 'caring')",1.4202057,1.4965383,0.2377118,0.2681968,0.030485
10,-0.09672071,-0.12336476,"('unsympathetic', 'sympathetic')",-0.27797765,-0.4069401,-0.1873492,-0.2651524,-0.0778032
11,-0.5372536,-0.4682723,"('unhelpful', 'helpful')",1.862664,1.978446,0.6627052,0.7550868,0.0923816
12,-0.15894224,-0.0843762,"('unsupportive', 'supportive')",-1.6350446,-1.6409907,-0.8969934,-0.8626835,0.0343099
13,0.1410319,-0.033047497,"('impolite', 'polite')",-0.41660675,-0.42547792,-0.1377874,-0.2292627,-0.0914753
14,-0.49867833,-0.48116332,"('antisocial', 'social')",-0.75914454,-0.87052697,-0.6289114,-0.6758451,-0.0469337
15,-0.40661284,-0.58425593,"('boring', 'funny')",0.45433518,0.4491785,0.0238612,-0.0675387,-0.0913999
16,-0.594003,-0.5050488,"('unpopular', 'popular')",0.6147872,0.62387043,0.0103921,0.0594108,0.0490187
17,-0.11107089,-0.039219454,"('nasty', 'nice')",-0.16301215,-0.09443076,-0.1370415,-0.0668251,0.0702164
