,m&t_male,m&t_female,tuple,bank_male,bank_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.6828327,-0.8129117,"('unsociable', 'sociable')",-1.524154,-1.7080364,-0.094849944,-0.23823142,-0.7672788,-0.9197265,-0.1524477
1,-1.6986762,-1.6446403,"('unfriendly', 'friendly')",-0.7586061,-0.67127043,-0.71205753,-0.82359815,-1.0564466,-1.046503,0.0099436
2,1.5331633,1.5946627,"('unlikable', 'likable')",1.7338061,1.851783,1.6078067,1.6214952,1.6249253,1.6893136,0.0643883
3,0.88216364,0.8810772,"('repellent', 'pleasant')",-1.4024562,-1.3833858,-0.76215494,-0.75922835,-0.4274825,-0.4205123,0.0069702
4,1.6986725,1.728136,"('disliked', 'liked')",0.73573655,0.7970998,0.70222306,0.7466983,1.0455441,1.0906447,0.0451006
5,0.8249228,0.9443564,"('distant', 'outgoing')",1.1368519,1.2887546,0.32744926,0.45213246,0.7630746,0.8950811,0.1320065
6,0.4413746,0.58262306,"('distant', 'open')",1.1797501,1.4177086,-0.24521753,-0.09507567,0.4586357,0.6350853,0.1764496
7,-0.41031507,-0.49420512,"('insensitive', 'sensitive')",-1.2315068,-1.2977105,-0.35085702,-0.4377485,-0.6642263,-0.7432214,-0.0789951
8,-1.769104,-1.661397,"('unaffectionate', 'affectionate')",-0.02863156,0.1398367,0.15291578,0.08653655,-0.5482732,-0.4783413,0.0699319
9,-1.0767947,-1.0612166,"('unaffectionate', 'caring')",-0.44490242,-0.38307112,0.6265895,0.5330523,-0.2983692,-0.3037452,-0.005376
10,-1.0094112,-1.159054,"('unsympathetic', 'sympathetic')",-1.6535952,-1.7276276,-0.4371938,-0.60897666,-1.0334001,-1.1652194,-0.1318193
11,0.17231004,0.10186237,"('unhelpful', 'helpful')",-1.2557403,-1.3819792,1.046347,0.99653316,-0.0123611,-0.0945279,-0.0821668
12,-0.15302488,-0.11218647,"('unsupportive', 'supportive')",-0.6932587,-0.5667086,1.0912601,1.2003065,0.0816588,0.1738038,0.092145
13,-0.5958677,-0.6812399,"('impolite', 'polite')",-1.2229176,-1.3233242,-0.009481162,-0.0036094226,-0.6094221,-0.6693912,-0.0599691
14,0.22102247,0.12591474,"('antisocial', 'social')",-0.7844669,-0.9341952,0.574364,0.5199484,0.0036399,-0.0961107,-0.0997506
15,0.9122559,0.81029046,"('boring', 'funny')",1.2989577,1.1545202,1.226779,1.0589374,1.1459975,1.007916,-0.1380815
16,1.0988775,1.1594756,"('unpopular', 'popular')",0.47902215,0.60322547,-0.28810233,-0.29348496,0.4299324,0.4897387,0.0598063
17,0.7070227,0.7434501,"('nasty', 'nice')",-0.39397174,-0.28835088,0.26040927,0.31292146,0.1911534,0.2560069,0.0648535
18,-0.8138586,-0.65032685,"('disagreeable', 'welcoming')",0.25597733,0.45130223,-0.40735644,-0.36551395,-0.3217459,-0.1881795,0.1335664
19,0.1973546,0.26940092,"('inhospitable', 'hospitable')",0.44422477,0.5984819,-0.12104806,-0.08235252,0.1735104,0.2618434,0.088333
20,-0.8368583,-0.8092987,"('rough', 'thoughtful')",-0.8787334,-0.8057581,-1.1584373,-1.1343694,-0.9580096,-0.9164754,0.0415342
21,0.21277612,0.15613864,"('immoral', 'moral')",-0.31000894,-0.38112342,0.132133,0.060939245,0.0116334,-0.0546818,-0.0663152
22,-1.0090032,-0.96912706,"('untrustworthy', 'trustworthy')",-0.39325437,-0.3465377,-0.5558094,-0.49091652,-0.652689,-0.6021938,0.0504952
23,-0.92804843,-0.97255963,"('insincere', 'sincere')",-1.578724,-1.6781876,0.32501325,0.20751919,-0.7272531,-0.8144093,-0.0871562
24,-1.3409352,-1.3268443,"('dishonest', 'honest')",-0.5774037,-0.5964388,0.8318253,0.7868407,-0.3621713,-0.3788141,-0.0166428
25,-0.30029088,-0.29988754,"('egoistic', 'altruistic')",-0.2728242,-0.28712422,-0.14843184,-0.26829976,-0.2405156,-0.2851038,-0.0445882
26,-0.5449475,-0.54273105,"('hardhearted', 'benevolent')",1.0977898,1.1305512,0.07247683,0.11536131,0.2084397,0.2343938,0.0259541
27,-1.3160356,-1.3143692,"('hardhearted', 'softhearted')",-1.3516423,-1.2997152,-0.50317204,-0.4326485,-1.0569499,-1.0155776,0.0413723
28,-0.70138925,-0.8489726,"('disloyal', 'loyal')",-0.5201483,-0.5984671,-0.036556616,-0.25416768,-0.4193647,-0.5672024,-0.1478377
29,0.69095993,0.6991676,"('unfair', 'fair')",0.37094346,0.3805478,-0.1909581,-0.11546707,0.2903151,0.3214161,0.031101
30,0.29962784,0.28235984,"('intolerant', 'tolerant')",-0.74692446,-0.8220331,0.2757057,0.27475518,-0.057197,-0.088306,-0.031109
31,-0.65769696,-0.46248323,"('evil', 'good')",0.56548554,0.86028785,-0.51969844,-0.3140739,-0.20397,0.0279102,0.2318802
32,-0.73297906,-0.8180003,"('unkind', 'kind')",-0.023234095,-0.09079432,0.7222908,0.5658247,-0.0113074,-0.1143233,-0.1030159
33,0.13497509,0.1542966,"('wrong', 'right')",0.40301093,0.387085,0.20742077,0.20863256,0.2484689,0.2500047,0.0015358
34,-0.81180644,-0.6571418,"('mean', 'honorable')",-0.9549378,-0.8904001,0.41086543,0.5091005,-0.4519596,-0.3461471,0.1058125
35,0.2901827,0.23789008,"('corrupt', 'incorrupt')",1.0071185,0.9469977,0.03771954,-0.103657395,0.4450069,0.3604101,-0.0845968
36,0.52800894,0.6141361,"('hostile', 'amicable')",-0.41973487,-0.33839566,0.26621032,0.121399716,0.1248281,0.13238,0.0075519
