,weatherford_male,weatherford_female,tuple,international_male,international_female,plc_male,plc_female,average_male,average_female,female-male
0,-0.7127462,-0.79730904,"('unsociable', 'sociable')",-0.010606177,-0.1375413,-0.9042593,-0.9477419,-0.5425372,-0.6275307,-0.0849935
1,-1.6582304,-1.8989278,"('unfriendly', 'friendly')",0.3761331,0.16590008,2.1009903,1.8107371,0.2729643,0.0259031,-0.2470612
2,-0.4348226,-0.43227416,"('unlikable', 'likable')",0.9601871,1.0819046,0.34862787,0.38909602,0.2913308,0.3462422,0.0549114
3,-0.6492694,-0.5612225,"('repellent', 'pleasant')",-0.68974835,-0.61763215,-0.5354844,-0.4445109,-0.6248341,-0.5411219,0.0837122
4,0.20708466,0.16896449,"('disliked', 'liked')",0.25509882,0.23484366,-3.2369561,-2.92851,-0.9249242,-0.8415673,0.0833569
5,-0.424841,-0.39655608,"('distant', 'outgoing')",0.08100426,0.14789139,0.76759386,0.6771632,0.1412524,0.1428328,0.0015804
6,-1.231587,-1.1941003,"('distant', 'open')",-0.011744633,0.023102269,0.6401147,0.513395,-0.2010723,-0.219201,-0.0181287
7,0.19979876,0.2107588,"('insensitive', 'sensitive')",0.10666402,0.05789379,0.52762866,0.4854382,0.2780305,0.2513636,-0.0266669
8,-1.3833483,-1.5075036,"('unaffectionate', 'affectionate')",-0.3865383,-0.5026229,0.8657077,0.6123042,-0.301393,-0.4659408,-0.1645478
9,-1.2681326,-1.3863869,"('unaffectionate', 'caring')",0.07100046,-0.02128844,1.1257161,0.9162633,-0.0238053,-0.163804,-0.1399987
10,-0.90237296,-0.8622417,"('unsympathetic', 'sympathetic')",-1.4743527,-1.4925777,-1.2134213,-1.1785425,-1.1967157,-1.1777873,0.0189284
11,-0.626999,-0.59901565,"('unhelpful', 'helpful')",-0.2775103,-0.27741793,0.5644423,0.42953235,-0.1133557,-0.1489671,-0.0356114
12,-0.057528768,-0.056523897,"('unsupportive', 'supportive')",0.2904004,0.36808318,-0.8309606,-0.7164906,-0.199363,-0.1349771,0.0643859
13,-0.2589072,-0.24361053,"('impolite', 'polite')",0.49049267,0.51263803,-1.0842428,-0.99728924,-0.2842191,-0.2427539,0.0414652
14,0.47706613,0.51383406,"('antisocial', 'social')",1.1224254,1.1851214,0.51558656,0.6810095,0.7050261,0.7933217,0.0882956
15,-0.7448276,-0.7780693,"('boring', 'funny')",0.29536477,0.20354134,0.14124699,0.05949865,-0.1027386,-0.1716764,-0.0689378
16,-0.529068,-0.52237904,"('unpopular', 'popular')",0.18342908,0.21497115,-0.17010742,-0.19142132,-0.1719155,-0.1662764,0.0056391
17,0.051163442,0.1400015,"('nasty', 'nice')",-0.9683282,-0.9008484,-1.0415909,-1.0630548,-0.6529186,-0.6079672,0.0449514
18,-1.2484777,-1.2292101,"('disagreeable', 'welcoming')",0.6625901,0.7364665,-0.8876696,-0.8792386,-0.4911857,-0.4573274,0.0338583
19,-0.87528706,-0.8559016,"('inhospitable', 'hospitable')",-0.86936265,-0.92062354,-0.19198301,-0.31040415,-0.6455442,-0.6956431,-0.0500989
20,-0.5693256,-0.4988351,"('rough', 'thoughtful')",0.2575686,0.30091184,1.1795696,1.098169,0.2892709,0.3000819,0.010811
21,-0.50630766,-0.48080286,"('immoral', 'moral')",-0.5364751,-0.5188198,-1.6332206,-1.524892,-0.8920012,-0.8415049,0.0504963
22,0.25687638,0.19382681,"('untrustworthy', 'trustworthy')",0.24485202,0.21212545,-0.27156404,-0.24337822,0.0767215,0.0541914,-0.0225301
23,-0.5333263,-0.6002407,"('insincere', 'sincere')",-0.3868823,-0.45875457,3.2425797,2.8100243,0.7741237,0.5836763,-0.1904474
24,-0.3924297,-0.4543288,"('dishonest', 'honest')",-0.16249254,-0.1824285,0.35258904,0.26754895,-0.0674444,-0.1230695,-0.0556251
25,-0.9523266,-1.0768447,"('egoistic', 'altruistic')",0.54206145,0.47352487,1.872654,1.7435453,0.4874629,0.3800751,-0.1073878
26,-0.57281065,-0.7124379,"('hardhearted', 'benevolent')",1.8683172,1.820745,2.8848202,2.794143,1.3934423,1.3008167,-0.0926256
27,-0.7804213,-0.7969878,"('hardhearted', 'softhearted')",-0.32350054,-0.42735636,0.049351376,-0.27129006,-0.3515235,-0.4985447,-0.1470212
28,-0.76796,-0.87424904,"('disloyal', 'loyal')",-0.49351192,-0.6291765,0.7741202,0.54250056,-0.1624506,-0.3203083,-0.1578577
29,0.36105424,0.30833134,"('unfair', 'fair')",-0.041165456,-0.11116141,-0.01933793,-0.16233903,0.1001836,0.0116103,-0.0885733
30,-0.081003025,-0.09158549,"('intolerant', 'tolerant')",0.3003546,0.29394746,0.006831482,0.044373482,0.0753944,0.0822452,0.0068508
31,-0.6327755,-0.65274185,"('evil', 'good')",0.02001136,0.025329258,0.67084265,0.66064715,0.0193595,0.0110782,-0.0082813
