,laundry_male,laundry_female,tuple,average_male,average_female,female-male
0,-0.0062121525,-0.007882584,"('unsociable', 'sociable')",-0.0062122,-0.0078826,-0.0016704
1,0.9359744,1.0506797,"('unfriendly', 'friendly')",0.9359744,1.0506797,0.1147053
2,0.24612908,0.39458388,"('unlikable', 'likable')",0.2461291,0.3945839,0.1484548
3,0.45448884,0.6270347,"('repellent', 'pleasant')",0.4544888,0.6270347,0.1725459
4,-7.735333,-7.703392,"('disliked', 'liked')",-7.735333,-7.703392,0.031941
5,-0.6187159,-0.6262258,"('distant', 'outgoing')",-0.6187159,-0.6262258,-0.0075099
6,-0.1251263,-0.17509319,"('distant', 'open')",-0.1251263,-0.1750932,-0.0499669
7,0.93235636,1.0347111,"('insensitive', 'sensitive')",0.9323564,1.0347111,0.1023547
8,1.1262914,1.1233852,"('unaffectionate', 'affectionate')",1.1262914,1.1233852,-0.0029062
9,1.3595709,1.4140806,"('unaffectionate', 'caring')",1.3595709,1.4140806,0.0545097
10,0.52747357,0.60669863,"('unsympathetic', 'sympathetic')",0.5274736,0.6066986,0.079225
11,1.3129972,1.474929,"('unhelpful', 'helpful')",1.3129972,1.474929,0.1619318
12,-1.7698712,-1.6251838,"('unsupportive', 'supportive')",-1.7698712,-1.6251838,0.1446874
13,-0.47344977,-0.3409046,"('impolite', 'polite')",-0.4734498,-0.3409046,0.1325452
14,0.31804794,0.42344335,"('antisocial', 'social')",0.3180479,0.4234433,0.1053954
15,0.368705,0.23091939,"('boring', 'funny')",0.368705,0.2309194,-0.1377856
16,-0.77765524,-0.7283184,"('unpopular', 'popular')",-0.7776552,-0.7283184,0.0493368
17,-0.020546846,-0.03516813,"('nasty', 'nice')",-0.0205468,-0.0351681,-0.0146213
18,-1.2342963,-1.0407319,"('disagreeable', 'welcoming')",-1.2342963,-1.0407319,0.1935644
19,-0.57874024,-0.5363552,"('inhospitable', 'hospitable')",-0.5787402,-0.5363552,0.042385
20,0.5857241,0.54139477,"('rough', 'thoughtful')",0.5857241,0.5413948,-0.0443293
21,-0.6339445,-0.39503872,"('immoral', 'moral')",-0.6339445,-0.3950387,0.2389058
22,-0.64510506,-0.6347462,"('untrustworthy', 'trustworthy')",-0.6451051,-0.6347462,0.0103589
23,6.5505195,6.8038197,"('insincere', 'sincere')",6.5505195,6.8038197,0.2533002
24,1.276033,1.2958405,"('dishonest', 'honest')",1.276033,1.2958405,0.0198075
25,0.95759916,0.98282766,"('egoistic', 'altruistic')",0.9575992,0.9828277,0.0252285
26,1.8485514,1.8460661,"('hardhearted', 'benevolent')",1.8485514,1.8460661,-0.0024853
27,1.50571,1.2737019,"('hardhearted', 'softhearted')",1.50571,1.2737019,-0.2320081
28,1.2568958,1.2045798,"('disloyal', 'loyal')",1.2568958,1.2045798,-0.052316
29,-0.23016468,-0.4095084,"('unfair', 'fair')",-0.2301647,-0.4095084,-0.1793437
30,0.7402705,0.8526288,"('intolerant', 'tolerant')",0.7402705,0.8526288,0.1123583
31,-1.0000044,-1.0201825,"('evil', 'good')",-1.0000044,-1.0201825,-0.0201781
32,1.0875572,1.1061573,"('unkind', 'kind')",1.0875572,1.1061573,0.0186001
33,-0.20780063,-0.2427582,"('wrong', 'right')",-0.2078006,-0.2427582,-0.0349576
34,4.704823,4.958887,"('mean', 'honorable')",4.704823,4.9588871,0.2540641
35,-0.62954104,-0.9984019,"('corrupt', 'incorrupt')",-0.629541,-0.9984019,-0.3688609
36,-0.5240374,-0.70332927,"('hostile', 'amicable')",-0.5240374,-0.7033293,-0.1792919
37,0.5426595,0.47983748,"('fake', 'genuine')",0.5426595,0.4798375,-0.062822
38,-0.039964333,0.17202613,"('untruthful', 'truthful')",-0.0399643,0.1720261,0.2119904
39,0.020063326,0.0739471,"('exploitative', 'cooperative')",0.0200633,0.0739471,0.0538838
40,-1.9779596,-2.008582,"('stingy', 'generous')",-1.9779596,-2.0085821,-0.0306225
41,0.43962738,0.49064052,"('unforgiving', 'forgiving')",0.4396274,0.4906405,0.0510131
