,cooperation_male,cooperation_female,tuple,average_male,average_female,female-male
0,1.0217154,0.8038819,"('unsociable', 'sociable')",1.0217154,0.8038819,-0.2178335
1,0.46377587,0.5605121,"('unfriendly', 'friendly')",0.4637759,0.5605121,0.0967362
2,0.7519408,0.7327929,"('unlikable', 'likable')",0.7519408,0.7327929,-0.0191479
3,0.71725327,0.8947648,"('repellent', 'pleasant')",0.7172533,0.8947648,0.1775115
4,-6.786222,-6.990577,"('disliked', 'liked')",-6.786222,-6.9905772,-0.2043552
5,-1.6594795,-1.2586018,"('distant', 'outgoing')",-1.6594795,-1.2586018,0.4008777
6,-1.5276065,-1.1385494,"('distant', 'open')",-1.5276065,-1.1385494,0.3890571
7,1.0490341,1.3375314,"('insensitive', 'sensitive')",1.0490341,1.3375314,0.2884973
8,0.30461314,0.42194232,"('unaffectionate', 'affectionate')",0.3046131,0.4219423,0.1173292
9,1.3442624,1.4356393,"('unaffectionate', 'caring')",1.3442624,1.4356393,0.0913769
10,1.490808,1.7579298,"('unsympathetic', 'sympathetic')",1.490808,1.7579298,0.2671218
11,3.4309535,3.166223,"('unhelpful', 'helpful')",3.4309535,3.166223,-0.2647305
12,-1.0577849,-0.95627624,"('unsupportive', 'supportive')",-1.0577849,-0.9562762,0.1015087
13,1.0801361,0.9067641,"('impolite', 'polite')",1.0801361,0.9067641,-0.173372
14,1.2162924,1.075541,"('antisocial', 'social')",1.2162924,1.075541,-0.1407514
15,0.66962296,0.55057776,"('boring', 'funny')",0.669623,0.5505778,-0.1190452
16,-0.2851823,-0.47039983,"('unpopular', 'popular')",-0.2851823,-0.4703998,-0.1852175
17,-0.006324243,-0.12206971,"('nasty', 'nice')",-0.0063242,-0.1220697,-0.1157455
18,-1.1140174,-0.9655319,"('disagreeable', 'welcoming')",-1.1140174,-0.9655319,0.1484855
19,-0.80528873,-0.757062,"('inhospitable', 'hospitable')",-0.8052887,-0.757062,0.0482267
20,1.0617146,0.7784743,"('rough', 'thoughtful')",1.0617146,0.7784743,-0.2832403
21,0.9135643,0.90932775,"('immoral', 'moral')",0.9135643,0.9093277,-0.0042366
22,0.60926193,0.5239274,"('untrustworthy', 'trustworthy')",0.6092619,0.5239274,-0.0853345
23,6.6901326,6.8188257,"('insincere', 'sincere')",6.6901326,6.8188257,0.1286931
24,1.7425382,2.015863,"('dishonest', 'honest')",1.7425382,2.0158629,0.2733247
25,0.013293784,-0.119075015,"('egoistic', 'altruistic')",0.0132938,-0.119075,-0.1323688
26,0.5165318,0.18811199,"('hardhearted', 'benevolent')",0.5165318,0.188112,-0.3284198
27,0.6184774,0.8163611,"('hardhearted', 'softhearted')",0.6184774,0.8163611,0.1978837
28,1.5276921,1.4417855,"('disloyal', 'loyal')",1.5276921,1.4417855,-0.0859066
29,-0.46809113,-0.29036027,"('unfair', 'fair')",-0.4680911,-0.2903603,0.1777308
30,1.5713485,1.5297165,"('intolerant', 'tolerant')",1.5713485,1.5297165,-0.041632
31,-2.692343,-2.5173728,"('evil', 'good')",-2.692343,-2.5173728,0.1749702
32,1.5261366,1.368944,"('unkind', 'kind')",1.5261366,1.368944,-0.1571926
33,-0.67712116,-0.7935081,"('wrong', 'right')",-0.6771212,-0.7935081,-0.1163869
34,4.2767262,4.5391006,"('mean', 'honorable')",4.2767262,4.5391006,0.2623744
35,-2.0010233,-1.8877498,"('corrupt', 'incorrupt')",-2.0010233,-1.8877498,0.1132735
36,-1.0161337,-1.2366139,"('hostile', 'amicable')",-1.0161337,-1.2366139,-0.2204802
37,0.8725945,1.0216299,"('fake', 'genuine')",0.8725945,1.0216299,0.1490354
38,0.89753234,0.6456263,"('untruthful', 'truthful')",0.8975323,0.6456263,-0.251906
39,1.3913592,1.1972946,"('exploitative', 'cooperative')",1.3913592,1.1972946,-0.1940646
40,-2.2460964,-1.8640501,"('stingy', 'generous')",-2.2460964,-1.8640501,0.3820463
41,0.61994815,0.31913906,"('unforgiving', 'forgiving')",0.6199481,0.3191391,-0.300809
42,-1.5951798,-1.4715495,"('unreliable', 'reliable')",-1.5951798,-1.4715495,0.1236303
43,1.914919,1.8573992,"('irresponsible', 'responsible')",1.914919,1.8573992,-0.0575198
44,-1.0802444,-1.2769579,"('prejudiced', 'unprejudiced')",-1.0802444,-1.2769579,-0.1967135
45,1.0192169,0.92936856,"('incompetent', 'competent')",1.0192169,0.9293686,-0.0898483
46,0.14379491,0.21031697,"('uncompetitive', 'competitive')",0.1437949,0.210317,0.0665221
47,5.173093,5.5384192,"('stupid', 'smart')",5.1730928,5.5384192,0.3653264
48,1.0361263,0.98419017,"('unintelligent', 'intelligent')",1.0361263,0.9841902,-0.0519361
49,0.377738,0.40992206,"('unable', 'able')",0.377738,0.4099221,0.0321841
50,0.088114336,0.1693553,"('clumsy', 'skillful')",0.0881143,0.1693553,0.081241
51,1.1173149,1.1299617,"('uneducated', 'educated')",1.1173149,1.1299617,0.0126468
52,-0.5255128,-0.71608984,"('irrational', 'rational')",-0.5255128,-0.7160898,-0.190577
53,-0.03240075,0.0980183,"('uncreative', 'creative')",-0.0324007,0.0980183,0.130419
54,0.73808444,0.80339813,"('incapable', 'capable')",0.7380844,0.8033981,0.0653137
55,1.5904822,1.5834954,"('incompetent', 'clever')",1.5904822,1.5834954,-0.0069868
56,1.7182138,1.582919,"('impractical', 'practical')",1.7182138,1.582919,-0.1352948
57,-2.3113577,-2.2807982,"('unimaginative', 'imaginative')",-2.3113577,-2.2807982,0.0305595
58,0.21054754,0.08812207,"('undiscriminating', 'discriminating')",0.2105475,0.0881221,-0.1224254
59,-0.22531933,-0.018822372,"('foolish', 'wise')",-0.2253193,-0.0188224,0.2064969
60,1.7541131,1.8284634,"('inefficient', 'efficient')",1.7541131,1.8284634,0.0743503
61,0.80042654,0.61978483,"('illogical', 'logical')",0.8004265,0.6197848,-0.1806417
62,1.7240294,1.9009713,"('incompetent', 'brilliant')",1.7240294,1.9009713,0.1769419
63,1.441431,1.4525127,"('unperceptive', 'insightful')",1.441431,1.4525127,0.0110817
64,-4.381106,-4.347268,"('shy', 'confident')",-4.3811059,-4.3472681,0.0338378
65,1.9104968,1.9317931,"('insecure', 'secure')",1.9104968,1.9317931,0.0212963
66,-0.29705277,-0.21669719,"('inactive', 'active')",-0.2970528,-0.2166972,0.0803556
67,-0.23060507,-0.37723812,"('doubtful', 'determined')",-0.2306051,-0.3772381,-0.146633
68,-0.88090426,-0.52546954,"('dependent', 'independent')",-0.8809043,-0.5254695,0.3554348
69,-1.583963,-1.5922914,"('lazy', 'industrious')",-1.583963,-1.5922914,-0.0083284
70,1.6956112,1.8623347,"('lethargic', 'energetic')",1.6956112,1.8623347,0.1667235
71,-0.14818835,-0.047344044,"('diffident', 'self-confident')",-0.1481884,-0.047344,0.1008444
72,0.6113711,0.83700573,"('unambitious', 'ambitious')",0.6113711,0.8370057,0.2256346
73,-3.5479798,-3.294762,"('helpless', 'self-reliant')",-3.5479798,-3.2947619,0.2532179
74,0.26257497,0.24226609,"('undedicated', 'dedicated')",0.262575,0.2422661,-0.0203089
75,-1.5086955,-1.3994364,"('meek', 'impulsive')",-1.5086955,-1.3994364,0.1092591
76,0.8469999,0.8438831,"('anxious', 'daring')",0.8469999,0.8438831,-0.0031168
