,nougat_male,nougat_female,tuple,average_male,average_female,female-male
0,-0.6729553,-0.91517013,"('unsociable', 'sociable')",-0.6729553,-0.9151701,-0.2422148
1,-1.1773353,-1.2619287,"('unfriendly', 'friendly')",-1.1773353,-1.2619287,-0.0845934
2,-0.16304806,-0.09560102,"('unlikable', 'likable')",-0.1630481,-0.095601,0.0674471
3,-1.1953545,-0.8324535,"('repellent', 'pleasant')",-1.1953545,-0.8324535,0.362901
4,-1.2653081,-0.98684144,"('disliked', 'liked')",-1.2653081,-0.9868414,0.2784667
5,-0.57049596,-0.52915156,"('distant', 'outgoing')",-0.570496,-0.5291516,0.0413444
6,-0.88827926,-0.85810465,"('distant', 'open')",-0.8882793,-0.8581046,0.0301747
7,-0.75796294,-0.79255885,"('insensitive', 'sensitive')",-0.7579629,-0.7925588,-0.0345959
8,-1.1105074,-1.1261767,"('unaffectionate', 'affectionate')",-1.1105074,-1.1261767,-0.0156693
9,-1.31757,-1.3492807,"('unaffectionate', 'caring')",-1.31757,-1.3492807,-0.0317107
10,-0.90089303,-1.0645028,"('unsympathetic', 'sympathetic')",-0.900893,-1.0645028,-0.1636098
11,0.08667458,0.077069506,"('unhelpful', 'helpful')",0.0866746,0.0770695,-0.0096051
12,-1.4048423,-1.2558144,"('unsupportive', 'supportive')",-1.4048423,-1.2558144,0.1490279
13,0.26375785,-0.010089109,"('impolite', 'polite')",0.2637579,-0.0100891,-0.273847
14,-0.14047232,-0.28559405,"('antisocial', 'social')",-0.1404723,-0.285594,-0.1451217
15,0.90801865,0.7386766,"('boring', 'funny')",0.9080186,0.7386766,-0.169342
16,-0.82170194,-0.5823869,"('unpopular', 'popular')",-0.8217019,-0.5823869,0.239315
17,-0.12346181,-0.023050604,"('nasty', 'nice')",-0.1234618,-0.0230506,0.1004112
18,-1.5005344,-1.3673606,"('disagreeable', 'welcoming')",-1.5005344,-1.3673606,0.1331738
19,-1.1689271,-1.1084139,"('inhospitable', 'hospitable')",-1.1689271,-1.1084139,0.0605132
20,-0.04352373,0.112528384,"('rough', 'thoughtful')",-0.0435237,0.1125284,0.1560521
21,-0.20415263,-0.10225223,"('immoral', 'moral')",-0.2041526,-0.1022522,0.1019004
22,-0.05224421,-0.23606999,"('untrustworthy', 'trustworthy')",-0.0522442,-0.23607,-0.1838258
23,0.25003085,0.0927681,"('insincere', 'sincere')",0.2500308,0.0927681,-0.1572627
24,-0.6961196,-0.9258623,"('dishonest', 'honest')",-0.6961196,-0.9258623,-0.2297427
25,-0.31265816,-0.22668803,"('egoistic', 'altruistic')",-0.3126582,-0.226688,0.0859702
26,0.43118566,0.13588583,"('hardhearted', 'benevolent')",0.4311857,0.1358858,-0.2952999
27,0.30350405,0.32620543,"('hardhearted', 'softhearted')",0.303504,0.3262054,0.0227014
28,-0.5821382,-0.6740458,"('disloyal', 'loyal')",-0.5821382,-0.6740458,-0.0919076
29,-0.6675178,-0.7039919,"('unfair', 'fair')",-0.6675178,-0.7039919,-0.0364741
30,0.5115218,0.37676156,"('intolerant', 'tolerant')",0.5115218,0.3767616,-0.1347602
31,-1.0751065,-0.8772059,"('evil', 'good')",-1.0751065,-0.8772059,0.1979006
32,-0.04956003,-0.3077068,"('unkind', 'kind')",-0.04956,-0.3077068,-0.2581468
33,0.08605375,-0.036644895,"('wrong', 'right')",0.0860538,-0.0366449,-0.1226987
34,0.5168061,0.65553063,"('mean', 'honorable')",0.5168061,0.6555306,0.1387245
35,0.42259163,0.2945919,"('corrupt', 'incorrupt')",0.4225916,0.2945919,-0.1279997
36,-0.8506367,-0.7738491,"('hostile', 'amicable')",-0.8506367,-0.7738491,0.0767876
37,-0.0597954,-0.18178372,"('fake', 'genuine')",-0.0597954,-0.1817837,-0.1219883
38,-0.107191965,-0.18980378,"('untruthful', 'truthful')",-0.107192,-0.1898038,-0.0826118
39,0.50926024,0.64174634,"('exploitative', 'cooperative')",0.5092602,0.6417463,0.1324861
