,deed_male,deed_female,tuple,average_male,average_female,female-male
0,-0.24142154,-0.2500519,"('unsociable', 'sociable')",-0.2414215,-0.2500519,-0.0086304
1,0.8662297,0.8240484,"('unfriendly', 'friendly')",0.8662297,0.8240484,-0.0421813
2,0.28395185,0.38331714,"('unlikable', 'likable')",0.2839518,0.3833171,0.0993653
3,0.013149763,0.18971153,"('repellent', 'pleasant')",0.0131498,0.1897115,0.1765617
4,-6.811723,-6.8875084,"('disliked', 'liked')",-6.8117232,-6.8875084,-0.0757852
5,-0.98565173,-1.0165769,"('distant', 'outgoing')",-0.9856517,-1.0165769,-0.0309252
6,-0.32422054,-0.44189075,"('distant', 'open')",-0.3242205,-0.4418907,-0.1176702
7,1.0155292,1.1217693,"('insensitive', 'sensitive')",1.0155292,1.1217693,0.1062401
8,1.3001255,1.2396069,"('unaffectionate', 'affectionate')",1.3001255,1.2396069,-0.0605186
9,1.541557,1.6322742,"('unaffectionate', 'caring')",1.541557,1.6322742,0.0907172
10,0.50984985,0.65883756,"('unsympathetic', 'sympathetic')",0.5098498,0.6588376,0.1489878
11,1.1833916,1.3622326,"('unhelpful', 'helpful')",1.1833916,1.3622326,0.178841
12,-1.9227264,-1.7114465,"('unsupportive', 'supportive')",-1.9227264,-1.7114465,0.2112799
13,-0.43121094,-0.15886998,"('impolite', 'polite')",-0.4312109,-0.15887,0.2723409
14,-0.0511451,0.025591578,"('antisocial', 'social')",-0.0511451,0.0255916,0.0767367
15,1.0470048,0.9884579,"('boring', 'funny')",1.0470048,0.9884579,-0.0585469
16,-0.76979923,-0.82802206,"('unpopular', 'popular')",-0.7697992,-0.8280221,-0.0582229
17,0.14676721,0.18045717,"('nasty', 'nice')",0.1467672,0.1804572,0.03369
18,-0.8967167,-0.75333893,"('disagreeable', 'welcoming')",-0.8967167,-0.7533389,0.1433778
19,0.014681147,0.042237893,"('inhospitable', 'hospitable')",0.0146811,0.0422379,0.0275568
20,0.32285452,0.19587845,"('rough', 'thoughtful')",0.3228545,0.1958784,-0.1269761
21,-0.48474488,-0.17248935,"('immoral', 'moral')",-0.4847449,-0.1724893,0.3122556
22,-0.68853265,-0.57309496,"('untrustworthy', 'trustworthy')",-0.6885327,-0.573095,0.1154377
23,6.4034896,6.5508037,"('insincere', 'sincere')",6.4034896,6.5508037,0.1473141
24,1.0999906,1.1492476,"('dishonest', 'honest')",1.0999906,1.1492476,0.049257
25,0.97253543,0.8747197,"('egoistic', 'altruistic')",0.9725354,0.8747197,-0.0978157
26,1.5068527,1.2573457,"('hardhearted', 'benevolent')",1.5068527,1.2573457,-0.249507
27,1.788702,1.5274372,"('hardhearted', 'softhearted')",1.788702,1.5274372,-0.2612648
