,unum_male,unum_female,tuple,group_male,group_female,average_male,average_female,female-male
0,-1.3968645,-1.3808925,"('unsociable', 'sociable')",0.73765,0.5513006,-0.3296073,-0.414796,-0.0851887
1,-0.84469986,-0.80184263,"('unfriendly', 'friendly')",0.99210966,0.8482506,0.0737049,0.023204,-0.0505009
2,0.42482606,0.527967,"('unlikable', 'likable')",0.9722451,1.0779496,0.6985356,0.8029583,0.1044227
3,-0.33612952,-0.18108247,"('repellent', 'pleasant')",0.85591215,0.8930522,0.2598913,0.3559849,0.0960936
4,0.016271388,0.02670755,"('disliked', 'liked')",-5.7590127,-5.7787914,-2.8713706,-2.8760419,-0.0046713
5,-0.39639068,-0.32908836,"('distant', 'outgoing')",-1.5084174,-1.4108275,-0.952404,-0.8699579,0.0824461
6,-0.6247537,-0.47937495,"('distant', 'open')",-1.6435659,-1.5654167,-1.1341598,-1.0223958,0.111764
7,-0.8806808,-0.80914056,"('insensitive', 'sensitive')",0.33799064,0.3850955,-0.2713451,-0.2120225,0.0593226
8,-0.38544363,-0.48867103,"('unaffectionate', 'affectionate')",0.5142257,0.527271,0.064391,0.0193,-0.045091
9,-0.6821281,-0.73497987,"('unaffectionate', 'caring')",0.9427603,0.83218014,0.1303161,0.0486001,-0.081716
10,-1.6337795,-1.5357006,"('unsympathetic', 'sympathetic')",0.28207415,0.3405233,-0.6758527,-0.5975887,0.078264
11,-0.7046475,-0.7514823,"('unhelpful', 'helpful')",2.0184937,2.050243,0.6569231,0.6493803,-0.0075428
12,-1.4878222,-1.3808056,"('unsupportive', 'supportive')",-1.3647238,-1.2744509,-1.426273,-1.3276283,0.0986447
13,-1.1930019,-1.1867803,"('impolite', 'polite')",0.24489877,0.15015201,-0.4740515,-0.5183142,-0.0442627
14,0.32589158,0.37820813,"('antisocial', 'social')",1.1271911,1.1050568,0.7265413,0.7416325,0.0150912
15,0.64301383,0.5059492,"('boring', 'funny')",-0.20286939,-0.2437517,0.2200722,0.1310987,-0.0889735
16,-0.5680945,-0.58092993,"('unpopular', 'popular')",0.26938182,0.2612869,-0.1493563,-0.1598215,-0.0104652
17,-0.2700897,-0.14876835,"('nasty', 'nice')",-0.5671495,-0.5605733,-0.4186196,-0.3546708,0.0639488
