,edison_male,edison_female,tuple,international_male,international_female,average_male,average_female,female-male
0,-0.41435844,-0.5681566,"('unsociable', 'sociable')",-0.0038584508,-0.116468534,-0.2091084,-0.3423126,-0.1332042
1,0.613525,0.45405692,"('unfriendly', 'friendly')",1.17121,1.0628743,0.8923675,0.7584656,-0.1339019
2,0.33558327,0.2890991,"('unlikable', 'likable')",0.46989325,0.45471767,0.4027383,0.3719084,-0.0308299
3,-1.5088943,-1.3608614,"('repellent', 'pleasant')",0.29649144,0.31338513,-0.6062014,-0.5237381,0.0824633
4,0.5046624,0.3907019,"('disliked', 'liked')",-7.273475,-7.365131,-3.3844063,-3.4872146,-0.1028083
5,0.3771509,0.22475564,"('distant', 'outgoing')",-0.54192615,-0.6133309,-0.0823876,-0.1942876,-0.1119
6,0.12382856,-0.004998371,"('distant', 'open')",-0.15104261,-0.22317913,-0.013607,-0.1140888,-0.1004818
7,0.17560205,0.21650968,"('insensitive', 'sensitive')",0.40535134,0.4487551,0.2904767,0.3326324,0.0421557
8,0.6868122,0.61049396,"('unaffectionate', 'affectionate')",0.75922793,0.68479365,0.7230201,0.6476438,-0.0753763
9,1.072561,1.0467616,"('unaffectionate', 'caring')",1.5390964,1.4978505,1.3058287,1.2723061,-0.0335226
10,-0.7050572,-0.7339363,"('unsympathetic', 'sympathetic')",0.066663936,0.09974332,-0.3191966,-0.3170965,0.0021001
11,-0.26849666,-0.2549616,"('unhelpful', 'helpful')",2.621825,2.6499295,1.1766641,1.197484,0.0208199
12,0.5677158,0.58520454,"('unsupportive', 'supportive')",-1.384609,-1.3974063,-0.4084466,-0.4061009,0.0023457
13,-0.44926372,-0.4489408,"('impolite', 'polite')",0.41511992,0.38871378,-0.0170719,-0.0301135,-0.0130416
14,-0.18174656,-0.22774285,"('antisocial', 'social')",0.29425183,0.21864717,0.0562526,-0.0045478,-0.0608004
15,0.99685186,0.8366788,"('boring', 'funny')",0.31971607,0.22646143,0.6582839,0.5315701,-0.1267138
16,-1.115156,-1.1833535,"('unpopular', 'popular')",0.14893845,0.080232665,-0.4831088,-0.5515605,-0.0684517
17,-0.02725919,0.0193642,"('nasty', 'nice')",-0.6209445,-0.60395324,-0.3241018,-0.2922945,0.0318073
18,-0.5054852,-0.52305794,"('disagreeable', 'welcoming')",-0.16554171,-0.20935811,-0.3355134,-0.366208,-0.0306946
19,-0.600164,-0.6610589,"('inhospitable', 'hospitable')",-0.29880562,-0.32900518,-0.4494848,-0.495032,-0.0455472
20,-0.50644636,-0.5055752,"('rough', 'thoughtful')",0.6442307,0.6334485,0.0688922,0.0639367,-0.0049555
21,-0.099744275,-0.10358652,"('immoral', 'moral')",0.21621166,0.30421942,0.0582337,0.1003164,0.0420827
22,-1.1834781,-1.2403672,"('untrustworthy', 'trustworthy')",-0.7414374,-0.759624,-0.9624578,-0.9999956,-0.0375378
23,-0.68219954,-0.74769044,"('insincere', 'sincere')",6.8491063,6.8354845,3.0834534,3.0438972,-0.0395562
24,0.23335835,0.2936033,"('dishonest', 'honest')",1.1766751,1.1469209,0.7050167,0.7202621,0.0152454
25,0.6621387,0.6575283,"('egoistic', 'altruistic')",0.44889855,0.45462996,0.5555186,0.5560791,0.0005605
26,3.075711,2.9368098,"('hardhearted', 'benevolent')",1.341386,1.3057336,2.2085485,2.1212716,-0.0872769
27,0.68934685,0.8141152,"('hardhearted', 'softhearted')",1.0226939,0.94824433,0.8560203,0.8811798,0.0251595
28,-0.0052505545,-0.13946062,"('disloyal', 'loyal')",1.2538857,1.1384343,0.6243176,0.4994868,-0.1248308
29,-1.1360723,-1.1981012,"('unfair', 'fair')",-0.69772923,-0.79150605,-0.9169008,-0.9948036,-0.0779028
30,0.08865271,0.047397204,"('intolerant', 'tolerant')",0.8730685,0.8172813,0.4808606,0.4323393,-0.0485213
31,-0.4299519,-0.42422262,"('evil', 'good')",-1.6414613,-1.6789565,-1.0357065,-1.0515896,-0.0158831
32,0.33472818,0.25053737,"('unkind', 'kind')",0.8624592,0.7733219,0.5985937,0.5119296,-0.0866641
33,0.8826339,0.7565552,"('wrong', 'right')",0.023601826,-0.08083214,0.4531179,0.3378615,-0.1152564
34,0.044896115,0.14898841,"('mean', 'honorable')",5.7167077,5.759165,2.8808019,2.9540765,0.0732746
35,-0.13629717,-0.31231877,"('corrupt', 'incorrupt')",-0.51125205,-0.6865231,-0.3237746,-0.4994209,-0.1756463
36,0.52218384,0.35938516,"('hostile', 'amicable')",0.056528836,-0.16701658,0.2893564,0.0961843,-0.1931721
37,-0.00026347116,0.004604578,"('fake', 'genuine')",0.45054895,0.47298035,0.2251427,0.2387925,0.0136498
38,0.13455218,0.10956642,"('untruthful', 'truthful')",0.85654455,0.8677336,0.4955484,0.48865,-0.0068984
39,0.12157528,0.30389804,"('exploitative', 'cooperative')",0.45129728,0.46298566,0.2864363,0.3834419,0.0970056
40,0.26337972,0.29147843,"('stingy', 'generous')",-2.483316,-2.518131,-1.1099681,-1.1133263,-0.0033582
