,live_male,live_female,tuple,nation_male,nation_female,entertainment_male,entertainment_female,inc_male,inc_female,average_male,average_female,female-male
0,0.5744167,0.48070493,"('unsociable', 'sociable')",0.28063267,0.18163307,1.0654345,0.83737504,-0.44625506,-0.584748,0.3685572,0.2287413,-0.1398159
1,0.9340155,0.8531336,"('unfriendly', 'friendly')",-0.65143335,-0.6908858,0.2371394,0.15873322,1.9103807,1.649123,0.6075256,0.492526,-0.1149996
2,0.8898138,0.97442037,"('unlikable', 'likable')",0.16623989,0.3239178,1.1819776,1.335298,0.9149354,1.041971,0.7882417,0.9189017,0.13066
3,-0.57770216,-0.49967164,"('repellent', 'pleasant')",-0.45036823,-0.29037115,0.11007272,0.23634529,-0.10830855,0.01961416,-0.2565766,-0.1335208,0.1230558
4,0.015427971,-0.0100239925,"('disliked', 'liked')",-0.21238177,-0.23565736,-0.25774404,-0.17142779,-5.4892383,-5.553426,-1.4859841,-1.4926337,-0.0066496
5,0.5725904,0.7022944,"('distant', 'outgoing')",0.7142583,0.6776296,0.052771512,0.110346556,0.14082068,0.10998331,0.3701103,0.4000635,0.0299532
6,0.51133245,0.6162765,"('distant', 'open')",-0.15139061,-0.16785343,-0.7472522,-0.7188554,0.46971637,0.39384806,0.0206015,0.0308539,0.0102524
7,0.58090854,0.54894614,"('insensitive', 'sensitive')",-0.2907465,-0.19905455,0.043245636,0.06422156,0.4562555,0.43076038,0.1974158,0.2112184,0.0138026
8,-0.052450802,-0.008932911,"('unaffectionate', 'affectionate')",-0.8352232,-0.7938403,-0.22347052,-0.17397183,0.015060993,-0.10516223,-0.2740209,-0.2704768,0.0035441
9,0.877046,0.9024306,"('unaffectionate', 'caring')",-0.7226132,-0.6976101,0.5586671,0.5267087,0.7650217,0.68366843,0.3695304,0.3537994,-0.015731
10,-1.0762998,-1.1474601,"('unsympathetic', 'sympathetic')",-1.4175428,-1.2876899,-0.72864276,-0.67827296,-0.70336837,-0.737646,-0.9814634,-0.9627672,0.0186962
11,0.09671382,0.1431039,"('unhelpful', 'helpful')",0.38189948,0.4142695,0.8682663,0.8643931,1.657244,1.6666062,0.7510309,0.7720932,0.0210623
12,1.2147759,1.2946093,"('unsupportive', 'supportive')",0.4639426,0.63831544,0.4397269,0.5458322,-1.5524907,-1.5260673,0.1414887,0.2381724,0.0966837
13,1.2911563,1.2400726,"('impolite', 'polite')",0.3791058,0.28249562,0.60400414,0.46942273,-0.090602055,-0.1599296,0.545916,0.4580153,-0.0879007
14,0.83184946,0.8710855,"('antisocial', 'social')",0.36455864,0.44864506,1.5286654,1.5122309,-1.0050403,-0.91658145,0.4300083,0.478845,0.0488367
15,0.88570094,0.9139674,"('boring', 'funny')",0.31680083,0.2851787,0.8896325,0.8922057,0.55953616,0.53237414,0.6629176,0.6559315,-0.0069861
16,0.016995165,0.09688172,"('unpopular', 'popular')",-0.0722927,-0.083606675,0.26993996,0.44064853,0.9328957,0.9480193,0.2868845,0.3504857,0.0636012
17,-0.84917605,-0.71095157,"('nasty', 'nice')",-1.1638994,-1.0337613,-1.0043256,-0.828847,-0.5460937,-0.40000546,-0.8908737,-0.7433913,0.1474824
18,0.08346261,0.10999739,"('disagreeable', 'welcoming')",0.31573486,0.37697056,0.6957259,0.7130632,-0.06817165,-0.09621483,0.2566879,0.2759541,0.0192662
19,-0.45898986,-0.4166609,"('inhospitable', 'hospitable')",0.23810795,0.25898105,-0.8492452,-0.7457288,0.105682924,0.14280441,-0.2411111,-0.1901511,0.05096
20,-0.9996231,-0.89952224,"('rough', 'thoughtful')",-0.702419,-0.4956493,-0.6705189,-0.5860347,0.4057688,0.3991893,-0.491698,-0.3955042,0.0961938
21,-0.00825258,-0.10493279,"('immoral', 'moral')",-0.39181712,-0.3611532,0.9514262,0.9518759,-0.73862064,-0.6691424,-0.046816,-0.0458381,0.0009779
22,0.33711275,0.3823728,"('untrustworthy', 'trustworthy')",0.20758905,0.31266063,-0.5620372,-0.5778563,-1.3517202,-1.3406669,-0.3422639,-0.3058724,0.0363915
23,0.036485687,0.01579929,"('insincere', 'sincere')",0.27817082,0.27668393,0.16019659,0.15335767,5.131296,5.0382643,1.4015373,1.3710263,-0.030511
24,0.9900339,0.9697492,"('dishonest', 'honest')",-0.01235294,0.024455274,-0.010778863,-0.033282433,0.7221609,0.6489945,0.4222658,0.4024791,-0.0197867
25,0.1655577,0.17940286,"('egoistic', 'altruistic')",0.05245655,0.018393088,0.1429376,0.12642244,1.5185394,1.4888289,0.4698728,0.4532618,-0.016611
26,-0.342331,-0.31735867,"('hardhearted', 'benevolent')",-0.37702683,-0.34516189,0.79513496,0.8277045,1.4124409,1.2770851,0.3720545,0.3605673,-0.0114872
27,-1.192918,-1.0621332,"('hardhearted', 'softhearted')",-1.046479,-0.88067394,-0.35110536,-0.31773677,1.4628146,1.3135728,-0.281922,-0.2367428,0.0451792
28,0.31458214,0.15258545,"('disloyal', 'loyal')",0.0051647127,-0.16264024,-0.25180945,-0.35320294,0.8652639,0.59709555,0.2333003,0.0584595,-0.1748408
