,hanesbrands_male,hanesbrands_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.46475092,-0.64468694,"('unsociable', 'sociable')",-0.22282673,-0.44017547,-0.3437888,-0.5424312,-0.1986424
1,-1.5055467,-1.4674788,"('unfriendly', 'friendly')",1.5312698,1.4494228,0.0128615,-0.009028,-0.0218895
2,0.90416306,0.9345035,"('unlikable', 'likable')",0.82710713,0.95804584,0.8656351,0.9462746,0.0806395
3,-0.9613149,-0.91790426,"('repellent', 'pleasant')",-0.048110787,-0.08794391,-0.5047129,-0.5029241,0.0017888
4,0.09562489,0.1466696,"('disliked', 'liked')",-5.8352413,-5.7149158,-2.8698082,-2.7841232,0.085685
5,-0.58043224,-0.45686066,"('distant', 'outgoing')",-0.10921608,0.05538301,-0.3448242,-0.2007388,0.1440854
6,-0.6299312,-0.46567497,"('distant', 'open')",0.28209797,0.3680747,-0.1739166,-0.0488001,0.1251165
7,-0.5520196,-0.49791417,"('insensitive', 'sensitive')",0.11288924,0.087836705,-0.2195652,-0.2050387,0.0145265
8,-0.7640861,-0.72030735,"('unaffectionate', 'affectionate')",0.73744196,0.70402586,-0.0133221,-0.0081407,0.0051814
9,-0.963045,-0.9087395,"('unaffectionate', 'caring')",1.0706303,1.0741032,0.0537927,0.0826819,0.0288892
10,-1.0417564,-1.1014059,"('unsympathetic', 'sympathetic')",-0.32438588,-0.44381297,-0.6830711,-0.7726094,-0.0895383
11,-0.7104298,-0.7724326,"('unhelpful', 'helpful')",1.7353716,1.7685784,0.5124709,0.4980729,-0.014398
12,-0.5805236,-0.4416728,"('unsupportive', 'supportive')",-1.6307883,-1.5065136,-1.1056559,-0.9740932,0.1315627
13,0.3536498,0.2273825,"('impolite', 'polite')",-0.23671664,-0.33983207,0.0584666,-0.0562248,-0.1146914
14,-0.019137278,-0.10391323,"('antisocial', 'social')",-0.7646734,-0.8890084,-0.3919053,-0.4964608,-0.1045555
15,0.24811228,0.20185831,"('boring', 'funny')",0.3142712,0.3157316,0.2811917,0.258795,-0.0223967
16,-0.39176854,-0.29808363,"('unpopular', 'popular')",0.845803,0.81851417,0.2270172,0.2602153,0.0331981
17,-0.078968704,0.02318312,"('nasty', 'nice')",-0.41929543,-0.38653028,-0.2491321,-0.1816736,0.0674585
18,-0.33741575,-0.21620063,"('disagreeable', 'welcoming')",-0.4362919,-0.43336973,-0.3868538,-0.3247852,0.0620686
19,-0.2830208,-0.21578512,"('inhospitable', 'hospitable')",-0.09785277,0.11288708,-0.1904368,-0.051449,0.1389878
20,0.17772561,0.24512163,"('rough', 'thoughtful')",1.2779042,1.2078977,0.7278149,0.7265096,-0.0013053
21,0.12140575,0.007962043,"('immoral', 'moral')",-0.56931984,-0.671777,-0.223957,-0.3319075,-0.1079505
22,-0.2516799,-0.270519,"('untrustworthy', 'trustworthy')",-0.9677877,-1.0709467,-0.6097338,-0.6707329,-0.0609991
23,-0.5399064,-0.6569158,"('insincere', 'sincere')",5.063126,4.8750963,2.2616098,2.1090903,-0.1525195
24,-0.55058676,-0.5810032,"('dishonest', 'honest')",0.5949282,0.50575465,0.0221707,-0.0376243,-0.059795
25,-0.21826927,-0.1852412,"('egoistic', 'altruistic')",1.1622795,1.109621,0.4720051,0.4621899,-0.0098152
26,-0.36541858,-0.3399943,"('hardhearted', 'benevolent')",1.7895715,1.6568583,0.7120765,0.658432,-0.0536445
27,-0.12548082,0.017357199,"('hardhearted', 'softhearted')",1.1830981,1.1237065,0.5288087,0.5705318,0.0417231
28,-0.8519927,-0.9857075,"('disloyal', 'loyal')",0.75184107,0.57809937,-0.0500758,-0.2038041,-0.1537283
29,-0.83548886,-0.7874104,"('unfair', 'fair')",-0.5660484,-0.6738497,-0.7007686,-0.73063,-0.0298614
30,0.5531641,0.46493623,"('intolerant', 'tolerant')",1.0450857,0.9494303,0.7991249,0.7071832,-0.0919417
31,-1.0485239,-0.821139,"('evil', 'good')",-0.8332903,-0.8191381,-0.9409071,-0.8201386,0.1207685
32,-0.72465205,-0.8437866,"('unkind', 'kind')",0.75597674,0.5960864,0.0156623,-0.1238501,-0.1395124
33,0.35658216,0.3461613,"('wrong', 'right')",-0.25392368,-0.24306059,0.0513292,0.0515504,0.0002212
34,0.24454597,0.3706061,"('mean', 'honorable')",5.937755,5.9818134,3.0911505,3.1762097,0.0850592
35,0.30576488,0.32602766,"('corrupt', 'incorrupt')",-0.16275096,-0.2664397,0.071507,0.029794,-0.041713
36,-1.0060539,-0.8977297,"('hostile', 'amicable')",0.34698024,0.17384589,-0.3295369,-0.3619419,-0.032405
37,0.48114783,0.47010854,"('fake', 'genuine')",0.1501117,0.18051201,0.3156298,0.3253103,0.0096805
38,-0.41467166,-0.38123438,"('untruthful', 'truthful')",0.26823133,0.33028644,-0.0732202,-0.025474,0.0477462
39,0.9743413,0.9020788,"('exploitative', 'cooperative')",0.19398609,0.11335293,0.5841637,0.5077159,-0.0764478
40,-0.24896443,-0.23416427,"('stingy', 'generous')",-1.4321299,-1.522553,-0.8405471,-0.8783586,-0.0378115
41,-0.059021417,0.010939734,"('unforgiving', 'forgiving')",0.29421714,0.21110557,0.1175979,0.1110227,-0.0065752
42,0.888396,0.96656114,"('unreliable', 'reliable')",-2.8635654,-2.6851537,-0.9875847,-0.8592963,0.1282884
43,-0.078401275,-0.061082527,"('irresponsible', 'responsible')",0.2708963,0.30067685,0.0962475,0.1197972,0.0235497
44,0.18280652,0.16552715,"('prejudiced', 'unprejudiced')",-1.5319741,-1.4769317,-0.6745838,-0.6557023,0.0188815
45,-0.23611723,-0.22427833,"('incompetent', 'competent')",-0.10494993,-0.13868676,-0.1705336,-0.1814826,-0.010949
46,-0.0253678,-0.08269056,"('uncompetitive', 'competitive')",-0.3244289,-0.3918799,-0.1748983,-0.2372852,-0.0623869
47,0.342802,0.39656425,"('stupid', 'smart')",5.0827155,5.068436,2.7127588,2.7325001,0.0197413
48,-0.5624114,-0.6010351,"('unintelligent', 'intelligent')",0.73388267,0.63831294,0.0857356,0.0186389,-0.0670967
49,0.11151012,0.25161472,"('unable', 'able')",-0.07996373,0.06871413,0.0157732,0.1601644,0.1443912
50,0.5401166,0.6398871,"('clumsy', 'skillful')",0.610508,0.6297271,0.5753123,0.6348071,0.0594948
51,-0.17741543,-0.37891465,"('uneducated', 'educated')",0.4123834,0.31098592,0.117484,-0.0339644,-0.1514484
52,-0.4766558,-0.5618181,"('irrational', 'rational')",0.4394783,0.31728372,-0.0185888,-0.1222672,-0.1036784
53,-1.2352931,-1.1805644,"('uncreative', 'creative')",0.70908266,0.70882726,-0.2631052,-0.2358686,0.0272366
54,-0.25368905,-0.22854285,"('incapable', 'capable')",0.90131056,1.0006605,0.3238108,0.3860588,0.062248
55,-0.11528843,-0.17869782,"('incompetent', 'clever')",-0.012750093,-0.098902,-0.0640193,-0.1387999,-0.0747806
56,0.6140037,0.49743348,"('impractical', 'practical')",0.009809755,0.043496918,0.3119067,0.2704652,-0.0414415
57,-1.2040365,-1.2810637,"('unimaginative', 'imaginative')",-2.38742,-2.4237406,-1.7957282,-1.8524022,-0.056674
58,-0.6131874,-0.5889224,"('undiscriminating', 'discriminating')",-0.11747231,-0.10676772,-0.3653298,-0.347845,0.0174848
59,0.056751087,0.06508405,"('foolish', 'wise')",0.5503607,0.5456671,0.3035559,0.3053756,0.0018197
60,0.5961597,0.5419271,"('inefficient', 'efficient')",0.049233284,0.11553768,0.3226965,0.3287324,0.0060359
