,rectangle_male,rectangle_female,tuple,average_male,average_female,female-male
0,0.18528868,0.2043578,"('unsociable', 'sociable')",0.1852887,0.2043578,0.0190691
1,0.90476143,0.70872575,"('unfriendly', 'friendly')",0.9047614,0.7087258,-0.1960356
2,0.49275145,0.49309117,"('unlikable', 'likable')",0.4927514,0.4930912,0.0003398
3,0.22780271,0.559035,"('repellent', 'pleasant')",0.2278027,0.559035,0.3312323
4,-3.691988,-3.825638,"('disliked', 'liked')",-3.691988,-3.8256381,-0.1336501
5,-0.22374329,-0.4290757,"('distant', 'outgoing')",-0.2237433,-0.4290757,-0.2053324
6,-0.30423874,-0.523435,"('distant', 'open')",-0.3042387,-0.523435,-0.2191963
7,0.9398277,1.3071741,"('insensitive', 'sensitive')",0.9398277,1.3071741,0.3673464
8,0.44207153,0.18701287,"('unaffectionate', 'affectionate')",0.4420715,0.1870129,-0.2550586
9,0.8520723,0.8471037,"('unaffectionate', 'caring')",0.8520723,0.8471037,-0.0049686
10,-0.108143285,0.13876061,"('unsympathetic', 'sympathetic')",-0.1081433,0.1387606,0.2469039
11,1.074631,1.3416734,"('unhelpful', 'helpful')",1.074631,1.3416734,0.2670424
12,-0.78550845,-0.5946658,"('unsupportive', 'supportive')",-0.7855085,-0.5946658,0.1908427
13,-0.3320144,-0.32880372,"('impolite', 'polite')",-0.3320144,-0.3288037,0.0032107
14,0.4269744,0.68796396,"('antisocial', 'social')",0.4269744,0.687964,0.2609896
15,0.12778355,-0.10094704,"('boring', 'funny')",0.1277836,-0.100947,-0.2287306
16,-0.40064532,-0.39943424,"('unpopular', 'popular')",-0.4006453,-0.3994342,0.0012111
17,0.025055438,0.016609434,"('nasty', 'nice')",0.0250554,0.0166094,-0.008446
18,-0.26915532,-0.27272016,"('disagreeable', 'welcoming')",-0.2691553,-0.2727202,-0.0035649
19,-0.8329195,-0.9827139,"('inhospitable', 'hospitable')",-0.8329195,-0.9827139,-0.1497944
20,0.6899931,0.8534378,"('rough', 'thoughtful')",0.6899931,0.8534378,0.1634447
21,0.05613845,0.35988623,"('immoral', 'moral')",0.0561384,0.3598862,0.3037478
22,-0.14755838,0.027180627,"('untrustworthy', 'trustworthy')",-0.1475584,0.0271806,0.174739
23,3.7081332,3.9882045,"('insincere', 'sincere')",3.7081332,3.9882045,0.2800713
24,0.8394272,0.94126475,"('dishonest', 'honest')",0.8394272,0.9412647,0.1018375
25,0.9368636,0.8255735,"('egoistic', 'altruistic')",0.9368636,0.8255735,-0.1112901
26,0.71440953,0.38020772,"('hardhearted', 'benevolent')",0.7144095,0.3802077,-0.3342018
27,1.4202151,1.4361498,"('hardhearted', 'softhearted')",1.4202151,1.4361498,0.0159347
28,0.10908574,0.18734872,"('disloyal', 'loyal')",0.1090857,0.1873487,0.078263
29,-0.09409236,-0.09022991,"('unfair', 'fair')",-0.0940924,-0.0902299,0.0038625
30,0.89204055,0.9497516,"('intolerant', 'tolerant')",0.8920406,0.9497516,0.057711
31,-0.7222127,-1.0331903,"('evil', 'good')",-0.7222127,-1.0331903,-0.3109776
32,0.79884756,0.73804665,"('unkind', 'kind')",0.7988476,0.7380466,-0.060801
33,0.105090536,-0.02114782,"('wrong', 'right')",0.1050905,-0.0211478,-0.1262383
34,3.044099,3.2712612,"('mean', 'honorable')",3.0440991,3.2712612,0.2271621
35,-0.4165412,-0.6710879,"('corrupt', 'incorrupt')",-0.4165412,-0.6710879,-0.2545467
36,-0.25152922,-0.6100775,"('hostile', 'amicable')",-0.2515292,-0.6100775,-0.3585483
37,0.7674156,0.7585963,"('fake', 'genuine')",0.7674156,0.7585963,-0.0088193
38,0.5782819,0.64360934,"('untruthful', 'truthful')",0.5782819,0.6436093,0.0653274
39,1.1511904,1.2182465,"('exploitative', 'cooperative')",1.1511904,1.2182465,0.0670561
40,-0.54147875,-0.53191537,"('stingy', 'generous')",-0.5414788,-0.5319154,0.0095634
41,0.6551691,0.5571846,"('unforgiving', 'forgiving')",0.6551691,0.5571846,-0.0979845
42,-1.7347134,-1.5512846,"('unreliable', 'reliable')",-1.7347134,-1.5512846,0.1834288
43,0.16282056,0.35578555,"('irresponsible', 'responsible')",0.1628206,0.3557855,0.1929649
44,-0.5480242,-0.68191993,"('prejudiced', 'unprejudiced')",-0.5480242,-0.6819199,-0.1338957
45,0.096852124,0.30226886,"('incompetent', 'competent')",0.0968521,0.3022689,0.2054168
46,-0.43407562,-0.16964121,"('uncompetitive', 'competitive')",-0.4340756,-0.1696412,0.2644344
47,3.2098613,3.378097,"('stupid', 'smart')",3.2098613,3.3780971,0.1682358
48,0.08569581,0.16766347,"('unintelligent', 'intelligent')",0.0856958,0.1676635,0.0819677
49,-0.16022031,0.043614928,"('unable', 'able')",-0.1602203,0.0436149,0.2038352
50,-0.26634037,-0.28697172,"('clumsy', 'skillful')",-0.2663404,-0.2869717,-0.0206313
51,0.062302697,0.12064627,"('uneducated', 'educated')",0.0623027,0.1206463,0.0583436
52,-0.20258641,-0.49449873,"('irrational', 'rational')",-0.2025864,-0.4944987,-0.2919123
53,-0.35534847,-0.3534511,"('uncreative', 'creative')",-0.3553485,-0.3534511,0.0018974
54,0.24184178,0.2871407,"('incapable', 'capable')",0.2418418,0.2871407,0.0452989
55,0.23241518,0.51533693,"('incompetent', 'clever')",0.2324152,0.5153369,0.2829217
56,0.29342023,0.55073524,"('impractical', 'practical')",0.2934202,0.5507352,0.257315
57,-2.0167303,-1.9659104,"('unimaginative', 'imaginative')",-2.0167303,-1.9659104,0.0508199
58,0.5109593,0.54271907,"('undiscriminating', 'discriminating')",0.5109593,0.5427191,0.0317598
59,-0.36071494,-0.43659496,"('foolish', 'wise')",-0.3607149,-0.436595,-0.0758801
60,1.0394667,1.3216448,"('inefficient', 'efficient')",1.0394667,1.3216448,0.2821781
61,0.72628814,0.7245374,"('illogical', 'logical')",0.7262881,0.7245374,-0.0017507
