,strudel_male,strudel_female,tuple,average_male,average_female,female-male
0,-0.8135551,-0.99312764,"('unsociable', 'sociable')",-0.8135551,-0.9931276,-0.1795725
1,-1.5606121,-1.68117,"('unfriendly', 'friendly')",-1.5606121,-1.68117,-0.1205579
2,-0.28527603,-0.3002248,"('unlikable', 'likable')",-0.285276,-0.3002248,-0.0149488
3,-0.6664798,-0.6707174,"('repellent', 'pleasant')",-0.6664798,-0.6707174,-0.0042376
4,-1.7036797,-1.783812,"('disliked', 'liked')",-1.7036797,-1.783812,-0.0801323
5,-1.2872256,-1.2454256,"('distant', 'outgoing')",-1.2872256,-1.2454256,0.0418
6,-1.5059911,-1.4712554,"('distant', 'open')",-1.5059911,-1.4712554,0.0347357
7,-0.4439238,-0.39159697,"('insensitive', 'sensitive')",-0.4439238,-0.391597,0.0523268
8,-0.58684504,-0.6677434,"('unaffectionate', 'affectionate')",-0.586845,-0.6677434,-0.0808984
9,-1.0665398,-1.0924516,"('unaffectionate', 'caring')",-1.0665398,-1.0924516,-0.0259118
10,-0.8357614,-0.7815068,"('unsympathetic', 'sympathetic')",-0.8357614,-0.7815068,0.0542546
11,0.33941242,0.4258636,"('unhelpful', 'helpful')",0.3394124,0.4258636,0.0864512
12,-1.7189342,-1.6406283,"('unsupportive', 'supportive')",-1.7189342,-1.6406283,0.0783059
13,-0.103874125,-0.16304836,"('impolite', 'polite')",-0.1038741,-0.1630484,-0.0591743
14,0.5430785,0.40977967,"('antisocial', 'social')",0.5430785,0.4097797,-0.1332988
15,0.27178383,0.22631997,"('boring', 'funny')",0.2717838,0.22632,-0.0454638
16,-0.16996989,-0.19488645,"('unpopular', 'popular')",-0.1699699,-0.1948864,-0.0249165
17,-0.4582387,-0.3867981,"('nasty', 'nice')",-0.4582387,-0.3867981,0.0714406
18,-1.0359949,-1.102852,"('disagreeable', 'welcoming')",-1.0359949,-1.102852,-0.0668571
19,-0.69050074,-0.6033112,"('inhospitable', 'hospitable')",-0.6905007,-0.6033112,0.0871895
20,0.2906008,0.27373883,"('rough', 'thoughtful')",0.2906008,0.2737388,-0.016862
21,0.19352466,0.18674307,"('immoral', 'moral')",0.1935247,0.1867431,-0.0067816
22,-0.28306887,-0.3099639,"('untrustworthy', 'trustworthy')",-0.2830689,-0.3099639,-0.026895
23,0.9422736,0.9137216,"('insincere', 'sincere')",0.9422736,0.9137216,-0.028552
24,-0.6215029,-0.66000366,"('dishonest', 'honest')",-0.6215029,-0.6600037,-0.0385008
25,-0.3584418,-0.5118411,"('egoistic', 'altruistic')",-0.3584418,-0.5118411,-0.1533993
26,-0.52030563,-0.6801101,"('hardhearted', 'benevolent')",-0.5203056,-0.6801101,-0.1598045
27,-0.3934055,-0.3997364,"('hardhearted', 'softhearted')",-0.3934055,-0.3997364,-0.0063309
28,-0.48735175,-0.5897069,"('disloyal', 'loyal')",-0.4873517,-0.5897069,-0.1023552
29,-0.7642011,-0.74345565,"('unfair', 'fair')",-0.7642011,-0.7434556,0.0207455
30,0.3756085,0.33837762,"('intolerant', 'tolerant')",0.3756085,0.3383776,-0.0372309
31,-1.8611678,-1.7928934,"('evil', 'good')",-1.8611678,-1.7928934,0.0682744
32,-0.35857186,-0.51846814,"('unkind', 'kind')",-0.3585719,-0.5184681,-0.1598962
33,-0.3375867,-0.41193166,"('wrong', 'right')",-0.3375867,-0.4119317,-0.074345
34,0.94217575,1.139271,"('mean', 'honorable')",0.9421757,1.139271,0.1970953
35,-0.36073434,-0.4257574,"('corrupt', 'incorrupt')",-0.3607343,-0.4257574,-0.0650231
