,bank_male,bank_female,tuple,of_male,of_female,new_male,new_female,york_male,york_female,mellon_male,mellon_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.098597884,-0.11027142,"('unsociable', 'sociable')",-0.7030139,-0.8239836,-1.3254136,-1.3673589,-1.0804586,-1.2309363,-1.3627654,-1.443258,-0.5019822,-0.6296359,-0.845372,-0.9342407,-0.0888687
1,1.0934689,0.9786836,"('unfriendly', 'friendly')",-0.9971373,-1.0687132,-0.47431576,-0.72330475,-0.6838346,-0.89356506,2.4956436,2.2815936,1.7119098,1.5922724,0.5242891,0.3611611,-0.163128
2,1.874229,1.9628959,"('unlikable', 'likable')",0.83550096,1.0147537,0.6440358,0.653909,1.7039273,1.7638222,1.7124861,1.757807,0.59439695,0.69972664,1.2274294,1.3088191,0.0813897
3,-0.2740245,-0.13399595,"('repellent', 'pleasant')",-0.46986958,-0.3039152,-1.4710405,-1.3632617,-0.69697785,-0.53934896,-1.922963,-1.82507,0.7356694,0.7102362,-0.683201,-0.5758926,0.1073084
4,-0.36236027,-0.41559273,"('disliked', 'liked')",0.83955723,0.8398023,0.6518347,0.7538129,-0.4808696,-0.43786052,0.25683543,0.23119563,-7.429635,-7.5332975,-1.0874396,-1.0936566,-0.006217
5,0.7711311,0.72883016,"('distant', 'outgoing')",-0.84076554,-0.87551844,1.3256513,1.2838483,0.376516,0.35613498,2.8023095,2.7869756,-0.5061964,-0.3798123,0.6547743,0.6500764,-0.0046979
6,0.5527374,0.57211876,"('distant', 'open')",-1.3062903,-1.2635136,1.2952914,1.2612029,0.315898,0.286057,3.105041,3.0607803,-0.13179314,-0.03141258,0.6384807,0.6475388,0.0090581
7,0.38616294,0.60549754,"('insensitive', 'sensitive')",-0.2620457,-0.15522742,-1.3210403,-1.3735342,-1.0389694,-0.99278235,-0.7654092,-0.6577905,0.6655978,0.65297896,-0.389284,-0.320143,0.069141
8,0.9534259,0.84284335,"('unaffectionate', 'affectionate')",-0.3999091,-0.33972526,-0.06455904,-0.14005485,-0.06625193,-0.13253793,3.2407522,3.0953643,1.0345335,0.9991975,0.7829986,0.7208478,-0.0621508
9,1.4661218,1.3988831,"('unaffectionate', 'caring')",-0.9379152,-0.998853,-0.22680213,-0.38905942,0.15968427,0.017123155,3.3865647,3.2865827,1.5459137,1.5628992,0.8989278,0.8129293,-0.0859985
10,-0.8071936,-0.61634356,"('unsympathetic', 'sympathetic')",-1.1088712,-1.1839869,-2.0025904,-2.0288508,-0.94689375,-0.9747663,-2.255644,-2.2391093,-0.078362964,-0.1321474,-1.199926,-1.1958673,0.0040587
11,0.36451063,0.45752898,"('unhelpful', 'helpful')",-0.32140318,-0.414302,-1.0460522,-1.1852586,0.41170037,0.31254175,-0.16025203,-0.11423707,2.210082,2.3150847,0.2430976,0.2285596,-0.014538
12,0.8756169,1.0155365,"('unsupportive', 'supportive')",0.04122401,0.19414781,0.13346103,0.14628947,0.7873155,0.87193143,0.94830036,1.0068499,-1.7790093,-1.7727926,0.1678181,0.2436604,0.0758423
13,0.4734391,0.55435187,"('impolite', 'polite')",-0.21614179,-0.22338063,-0.6098873,-0.67699546,-0.52631384,-0.60477996,-1.0084505,-0.97415864,-0.92389965,-0.88007665,-0.4685423,-0.4675066,0.0010357
14,0.703687,0.85067004,"('antisocial', 'social')",0.5335244,0.67090845,-0.31702965,-0.28958791,0.0045119724,0.055003718,-0.7880314,-0.7078553,-0.32179725,-0.363695,-0.0308558,0.0359073,0.0667631
15,1.3809595,1.2845535,"('boring', 'funny')",1.0291996,0.78525674,1.0730828,0.98058814,0.5275429,0.4333921,1.494218,1.481359,0.121633686,0.21265216,0.9377728,0.862967,-0.0748058
16,-0.38457483,-0.3829135,"('unpopular', 'popular')",-0.8728222,-1.0052061,-0.8115606,-0.8051166,-1.3495542,-1.3258165,-0.9601298,-1.0171695,-0.5778662,-0.5844713,-0.8260846,-0.8534489,-0.0273643
17,0.25249752,0.33328003,"('nasty', 'nice')",-0.07414246,-0.11032206,0.083276786,0.2249397,-0.2829971,-0.15985337,0.08660126,0.14393425,-0.8376557,-0.72584116,-0.1287366,-0.0489771,0.0797595
18,-0.1429873,-0.117913954,"('disagreeable', 'welcoming')",0.37453192,0.73630714,1.088473,1.1956953,0.30812985,0.507728,0.62696487,0.68253964,-0.5717054,-0.57640785,0.2805678,0.404658,0.1240902
19,0.07791095,0.022478016,"('inhospitable', 'hospitable')",-0.7230348,-0.78809184,0.16703339,0.14325708,0.4569677,0.41122073,1.3388965,1.2511767,-0.6070353,-0.55614954,0.1184564,0.0806485,-0.0378079
20,-0.24947383,-0.122359,"('rough', 'thoughtful')",-0.8201921,-0.73709774,-0.4469094,-0.419613,-0.50942796,-0.38650084,0.037891228,0.12810074,0.6031023,0.59391385,-0.230835,-0.1572593,0.0735757
21,0.22101685,0.3113476,"('immoral', 'moral')",-0.18272474,-0.06792174,-1.1291876,-1.1222545,-0.7898242,-0.75120354,-1.5343335,-1.5106311,-1.1185129,-1.1065419,-0.7555943,-0.7078675,0.0477268
