,spouse_male,spouse_female,tuple,average_male,average_female,female-male
0,-0.054191794,-0.2449669,"('unsociable', 'sociable')",-0.0541918,-0.2449669,-0.1907751
1,1.5109267,1.2990648,"('unfriendly', 'friendly')",1.5109267,1.2990648,-0.2118619
2,0.11429754,0.08528726,"('unlikable', 'likable')",0.1142975,0.0852873,-0.0290102
3,0.7044488,0.5289676,"('repellent', 'pleasant')",0.7044488,0.5289676,-0.1754812
4,-7.1223903,-7.4388614,"('disliked', 'liked')",-7.1223903,-7.4388614,-0.3164711
5,-0.5927332,-0.8395986,"('distant', 'outgoing')",-0.5927332,-0.8395986,-0.2468654
6,0.028402023,-0.24662004,"('distant', 'open')",0.028402,-0.24662,-0.275022
7,1.0152823,0.93125015,"('insensitive', 'sensitive')",1.0152823,0.9312502,-0.0840321
8,1.4022858,1.2598172,"('unaffectionate', 'affectionate')",1.4022858,1.2598172,-0.1424686
9,1.4910614,1.6723659,"('unaffectionate', 'caring')",1.4910614,1.6723659,0.1813045
10,1.0585471,0.8791801,"('unsympathetic', 'sympathetic')",1.0585471,0.8791801,-0.179367
11,1.450951,1.615739,"('unhelpful', 'helpful')",1.450951,1.615739,0.164788
12,-1.7383409,-1.9043632,"('unsupportive', 'supportive')",-1.7383409,-1.9043632,-0.1660223
13,-0.2385304,-0.39335725,"('impolite', 'polite')",-0.2385304,-0.3933572,-0.1548268
14,0.1158861,-0.08196221,"('antisocial', 'social')",0.1158861,-0.0819622,-0.1978483
15,0.18243648,0.15940747,"('boring', 'funny')",0.1824365,0.1594075,-0.023029
16,-0.4755957,-0.5164431,"('unpopular', 'popular')",-0.4755957,-0.5164431,-0.0408474
17,-0.38245496,-0.18652044,"('nasty', 'nice')",-0.382455,-0.1865204,0.1959346
18,-0.1467154,-0.38549817,"('disagreeable', 'welcoming')",-0.1467154,-0.3854982,-0.2387828
19,-0.5229563,-0.54293627,"('inhospitable', 'hospitable')",-0.5229563,-0.5429363,-0.01998
20,0.88201326,0.8742925,"('rough', 'thoughtful')",0.8820133,0.8742925,-0.0077208
21,-0.49960065,-0.46400732,"('immoral', 'moral')",-0.4996006,-0.4640073,0.0355933
