,politician_male,politician_female,tuple,average_male,average_female,female-male
0,1.7415937,1.4146372,"('unsociable', 'sociable')",1.7415937,1.4146372,-0.3269565
1,0.13697888,0.031928837,"('unfriendly', 'friendly')",0.1369789,0.0319288,-0.1050501
2,0.09129679,0.2681083,"('unlikable', 'likable')",0.0912968,0.2681083,0.1768115
3,0.84573096,0.990228,"('repellent', 'pleasant')",0.845731,0.990228,0.144497
4,-5.4705167,-5.733842,"('disliked', 'liked')",-5.4705167,-5.7338419,-0.2633252
5,-1.8968201,-1.627527,"('distant', 'outgoing')",-1.8968201,-1.627527,0.2692931
6,-2.1369233,-1.839773,"('distant', 'open')",-2.1369233,-1.8397731,0.2971502
7,1.7078204,1.4860405,"('insensitive', 'sensitive')",1.7078204,1.4860405,-0.2217799
8,-0.4216101,-0.31406137,"('unaffectionate', 'affectionate')",-0.4216101,-0.3140614,0.1075487
9,1.1247854,1.2090354,"('unaffectionate', 'caring')",1.1247854,1.2090354,0.08425
10,1.6564791,1.6411984,"('unsympathetic', 'sympathetic')",1.6564791,1.6411984,-0.0152807
11,3.4064872,3.2131937,"('unhelpful', 'helpful')",3.4064872,3.2131937,-0.1932935
12,-0.94981927,-1.0536902,"('unsupportive', 'supportive')",-0.9498193,-1.0536902,-0.1038709
13,1.2618997,1.1329134,"('impolite', 'polite')",1.2618997,1.1329134,-0.1289863
14,1.3388882,1.2194968,"('antisocial', 'social')",1.3388882,1.2194968,-0.1193914
15,0.7462276,0.57545304,"('boring', 'funny')",0.7462276,0.575453,-0.1707746
16,0.15804526,0.18050632,"('unpopular', 'popular')",0.1580453,0.1805063,0.022461
17,-0.5452636,-0.55083656,"('nasty', 'nice')",-0.5452636,-0.5508366,-0.005573
18,-1.2144932,-1.277534,"('disagreeable', 'welcoming')",-1.2144932,-1.277534,-0.0630408
19,-1.3274807,-1.2458975,"('inhospitable', 'hospitable')",-1.3274807,-1.2458975,0.0815832
20,0.8467944,0.86794376,"('rough', 'thoughtful')",0.8467944,0.8679438,0.0211494
21,1.3458863,1.2883878,"('immoral', 'moral')",1.3458863,1.2883878,-0.0574985
22,0.4718668,0.2923889,"('untrustworthy', 'trustworthy')",0.4718668,0.2923889,-0.1794779
23,6.161294,6.041107,"('insincere', 'sincere')",6.161294,6.0411072,-0.1201868
24,1.006706,0.9787238,"('dishonest', 'honest')",1.006706,0.9787238,-0.0279822
25,0.16758657,0.12490012,"('egoistic', 'altruistic')",0.1675866,0.1249001,-0.0426865
26,0.5262214,0.3960719,"('hardhearted', 'benevolent')",0.5262214,0.3960719,-0.1301495
27,-0.37938422,-0.3308276,"('hardhearted', 'softhearted')",-0.3793842,-0.3308276,0.0485566
28,1.0776033,1.0344982,"('disloyal', 'loyal')",1.0776033,1.0344982,-0.0431051
29,-1.2425951,-1.2948847,"('unfair', 'fair')",-1.2425951,-1.2948847,-0.0522896
30,1.5768547,1.5186672,"('intolerant', 'tolerant')",1.5768547,1.5186672,-0.0581875
31,-3.2905009,-3.1348763,"('evil', 'good')",-3.2905009,-3.1348763,0.1556246
32,1.9816175,1.8049779,"('unkind', 'kind')",1.9816175,1.8049779,-0.1766396
33,-1.0195507,-0.93665856,"('wrong', 'right')",-1.0195507,-0.9366586,0.0828921
34,4.138941,4.2807364,"('mean', 'honorable')",4.1389408,4.2807364,0.1417956
35,-2.1337206,-2.1004083,"('corrupt', 'incorrupt')",-2.1337206,-2.1004083,0.0333123
36,-1.9037637,-1.8711225,"('hostile', 'amicable')",-1.9037637,-1.8711225,0.0326412
37,0.25540656,0.2678211,"('fake', 'genuine')",0.2554066,0.2678211,0.0124145
38,0.6747505,0.5541207,"('untruthful', 'truthful')",0.6747505,0.5541207,-0.1206298
39,0.15272133,0.13359202,"('exploitative', 'cooperative')",0.1527213,0.133592,-0.0191293
40,-2.316468,-2.3857467,"('stingy', 'generous')",-2.316468,-2.3857467,-0.0692787
41,0.01149643,-0.07277915,"('unforgiving', 'forgiving')",0.0114964,-0.0727791,-0.0842755
42,-1.1757084,-1.2266554,"('unreliable', 'reliable')",-1.1757084,-1.2266554,-0.050947
43,1.7668628,1.706305,"('irresponsible', 'responsible')",1.7668628,1.706305,-0.0605578
44,-1.0053626,-0.96422213,"('prejudiced', 'unprejudiced')",-1.0053626,-0.9642221,0.0411405
45,0.86576813,0.72801733,"('incompetent', 'competent')",0.8657681,0.7280173,-0.1377508
46,0.73660934,0.5732178,"('uncompetitive', 'competitive')",0.7366093,0.5732178,-0.1633915
47,4.720081,4.973481,"('stupid', 'smart')",4.7200809,4.9734812,0.2534003
48,1.0645816,0.8921954,"('unintelligent', 'intelligent')",1.0645816,0.8921954,-0.1723862
49,0.49189025,0.6015364,"('unable', 'able')",0.4918903,0.6015364,0.1096461
50,-0.19218233,-0.091456264,"('clumsy', 'skillful')",-0.1921823,-0.0914563,0.100726
51,1.9021306,1.663616,"('uneducated', 'educated')",1.9021306,1.6636159,-0.2385147
52,-2.014463,-2.0645368,"('irrational', 'rational')",-2.0144629,-2.0645368,-0.0500739
53,0.27421063,0.11917785,"('uncreative', 'creative')",0.2742106,0.1191778,-0.1550328
54,0.72480893,0.7847607,"('incapable', 'capable')",0.7248089,0.7847607,0.0599518
55,2.158031,1.9810984,"('incompetent', 'clever')",2.158031,1.9810984,-0.1769326
56,2.8951578,2.7124193,"('impractical', 'practical')",2.8951578,2.7124193,-0.1827385
57,-1.3821855,-1.602713,"('unimaginative', 'imaginative')",-1.3821855,-1.602713,-0.2205275
58,-0.08961338,-0.09355282,"('undiscriminating', 'discriminating')",-0.0896134,-0.0935528,-0.0039394
59,-0.8906499,-0.91660476,"('foolish', 'wise')",-0.8906499,-0.9166048,-0.0259549
60,2.5799077,2.4769194,"('inefficient', 'efficient')",2.5799077,2.4769194,-0.1029883
61,0.14808895,-0.06757365,"('illogical', 'logical')",0.1480889,-0.0675737,-0.2156626
62,2.223571,2.1445878,"('incompetent', 'brilliant')",2.2235711,2.1445878,-0.0789833
63,1.5208237,1.3476127,"('unperceptive', 'insightful')",1.5208237,1.3476127,-0.173211
64,-4.3393493,-4.473321,"('shy', 'confident')",-4.3393493,-4.473321,-0.1339717
65,0.649665,0.6282223,"('insecure', 'secure')",0.649665,0.6282223,-0.0214427
66,-0.33382067,-0.4119533,"('inactive', 'active')",-0.3338207,-0.4119533,-0.0781326
67,-0.14504425,-0.1312656,"('doubtful', 'determined')",-0.1450443,-0.1312656,0.0137787
68,-0.2904602,-0.28599182,"('dependent', 'independent')",-0.2904602,-0.2859918,0.0044684
69,-1.9031215,-1.8272328,"('lazy', 'industrious')",-1.9031215,-1.8272328,0.0758887
70,2.4556239,2.2961605,"('lethargic', 'energetic')",2.4556239,2.2961605,-0.1594634
71,0.68459356,0.58048135,"('diffident', 'self-confident')",0.6845936,0.5804814,-0.1041122
72,0.68542033,0.7468717,"('unambitious', 'ambitious')",0.6854203,0.7468717,0.0614514
73,-2.8568153,-2.7488575,"('helpless', 'self-reliant')",-2.8568153,-2.7488575,0.1079578
74,0.59357387,0.538083,"('undedicated', 'dedicated')",0.5935739,0.538083,-0.0554909
75,-1.0894692,-0.952502,"('meek', 'impulsive')",-1.0894692,-0.952502,0.1369672
76,0.5118356,0.5326324,"('anxious', 'daring')",0.5118356,0.5326324,0.0207968
77,0.058001723,-0.018960815,"('unmotivated', 'motivated')",0.0580017,-0.0189608,-0.0769625
78,0.029823672,0.03234416,"('nonresilient', 'resilient')",0.0298237,0.0323442,0.0025205
79,-1.1495888,-1.040272,"('wavering', 'unwavering')",-1.1495888,-1.040272,0.1093168
80,1.2327119,1.0373093,"('dominated', 'dominating')",1.2327119,1.0373093,-0.1954026
81,1.5041339,1.4126344,"('submissive', 'aggressive')",1.5041339,1.4126344,-0.0914995
82,5.84484,6.0995893,"('poor', 'rich')",5.84484,6.0995893,0.2547493
83,0.2238642,0.27873296,"('powerless', 'powerful')",0.2238642,0.278733,0.0548688
84,-0.71192604,-0.6776666,"('inferior', 'superior')",-0.711926,-0.6776666,0.0342594
85,-1.7923764,-1.849143,"('insignificant', 'prestigious')",-1.7923764,-1.849143,-0.0567666
86,2.1014314,1.8737726,"('uninfluential', 'influential')",2.1014314,1.8737726,-0.2276588
87,0.59832674,0.5551451,"('unsuccessful', 'successful')",0.5983267,0.5551451,-0.0431816
