,factor_male,factor_female,tuple,average_male,average_female,female-male
0,0.20989533,0.16935089,"('unsociable', 'sociable')",0.2098953,0.1693509,-0.0405444
1,1.213847,1.0994778,"('unfriendly', 'friendly')",1.213847,1.0994778,-0.1143692
2,0.003944779,0.14273691,"('unlikable', 'likable')",0.0039448,0.1427369,0.1387921
3,0.5998249,0.733925,"('repellent', 'pleasant')",0.5998249,0.733925,0.1341001
4,-7.443241,-7.598349,"('disliked', 'liked')",-7.4432411,-7.5983491,-0.155108
5,-0.75180805,-0.7877948,"('distant', 'outgoing')",-0.751808,-0.7877948,-0.0359868
6,-0.26986465,-0.38460004,"('distant', 'open')",-0.2698646,-0.3846,-0.1147354
7,1.1168568,1.1959131,"('insensitive', 'sensitive')",1.1168568,1.1959131,0.0790563
8,1.1171507,0.9294987,"('unaffectionate', 'affectionate')",1.1171507,0.9294987,-0.187652
9,1.7007464,1.6742297,"('unaffectionate', 'caring')",1.7007464,1.6742297,-0.0265167
10,1.3185455,1.452215,"('unsympathetic', 'sympathetic')",1.3185455,1.452215,0.1336695
11,1.9292076,2.0369904,"('unhelpful', 'helpful')",1.9292076,2.0369904,0.1077828
12,-1.6841913,-1.6858778,"('unsupportive', 'supportive')",-1.6841913,-1.6858778,-0.0016865
13,-0.05277559,0.09908474,"('impolite', 'polite')",-0.0527756,0.0990847,0.1518603
14,0.30070555,0.24178125,"('antisocial', 'social')",0.3007056,0.2417812,-0.0589244
15,0.27116254,0.13013265,"('boring', 'funny')",0.2711625,0.1301326,-0.1410299
16,-0.26024705,-0.2523349,"('unpopular', 'popular')",-0.2602471,-0.2523349,0.0079122
17,-0.03641673,-0.04465676,"('nasty', 'nice')",-0.0364167,-0.0446568,-0.0082401
18,-0.76682985,-0.73319924,"('disagreeable', 'welcoming')",-0.7668298,-0.7331992,0.0336306
19,-0.959883,-0.9663709,"('inhospitable', 'hospitable')",-0.959883,-0.9663709,-0.0064879
20,0.99436057,0.9933643,"('rough', 'thoughtful')",0.9943606,0.9933643,-0.0009963
21,-0.11129913,0.12170758,"('immoral', 'moral')",-0.1112991,0.1217076,0.2330067
22,-0.42894572,-0.355838,"('untrustworthy', 'trustworthy')",-0.4289457,-0.355838,0.0731077
23,6.2115273,6.2948704,"('insincere', 'sincere')",6.2115273,6.2948704,0.0833431
24,1.5532748,1.5343721,"('dishonest', 'honest')",1.5532748,1.5343721,-0.0189027
25,0.4302841,0.3696239,"('egoistic', 'altruistic')",0.4302841,0.3696239,-0.0606602
26,1.2150389,0.9385297,"('hardhearted', 'benevolent')",1.2150389,0.9385297,-0.2765092
