,father_male,father_female,tuple,average_male,average_female,female-male
0,0.51402664,0.5078774,"('unsociable', 'sociable')",0.5140266,0.5078774,-0.0061492
1,0.97120005,0.7525907,"('unfriendly', 'friendly')",0.9712,0.7525907,-0.2186093
2,-0.00618471,0.15228477,"('unlikable', 'likable')",-0.0061847,0.1522848,0.1584695
3,0.90192604,1.0805137,"('repellent', 'pleasant')",0.901926,1.0805137,0.1785877
4,-7.1121297,-7.283922,"('disliked', 'liked')",-7.1121297,-7.2839222,-0.1717925
5,-0.7466288,-0.81357116,"('distant', 'outgoing')",-0.7466288,-0.8135712,-0.0669424
6,-0.22519805,-0.4108117,"('distant', 'open')",-0.225198,-0.4108117,-0.1856137
7,1.4117779,1.4369329,"('insensitive', 'sensitive')",1.4117779,1.4369329,0.025155
8,0.88423723,0.67714363,"('unaffectionate', 'affectionate')",0.8842372,0.6771436,-0.2070936
9,1.2099439,1.1102281,"('unaffectionate', 'caring')",1.2099439,1.1102281,-0.0997158
10,1.0811073,1.266866,"('unsympathetic', 'sympathetic')",1.0811073,1.266866,0.1857587
11,1.6041954,1.7223514,"('unhelpful', 'helpful')",1.6041954,1.7223514,0.118156
12,-1.4233611,-1.383485,"('unsupportive', 'supportive')",-1.4233611,-1.383485,0.0398761
13,0.004489325,0.31193632,"('impolite', 'polite')",0.0044893,0.3119363,0.307447
14,0.5588466,0.6149312,"('antisocial', 'social')",0.5588466,0.6149312,0.0560846
15,0.3687424,0.2767869,"('boring', 'funny')",0.3687424,0.2767869,-0.0919555
16,-0.9235683,-0.9723279,"('unpopular', 'popular')",-0.9235683,-0.9723279,-0.0487596
17,0.038799398,0.07200062,"('nasty', 'nice')",0.0387994,0.0720006,0.0332012
18,-0.36663598,-0.32511228,"('disagreeable', 'welcoming')",-0.366636,-0.3251123,0.0415237
19,-0.9497798,-0.998945,"('inhospitable', 'hospitable')",-0.9497798,-0.998945,-0.0491652
20,0.6429425,0.5164462,"('rough', 'thoughtful')",0.6429425,0.5164462,-0.1264963
