,questar_male,questar_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.06571065,-0.1279598,"('unsociable', 'sociable')",-0.098773696,-0.21630289,-0.0165315,-0.1721313,-0.1555998
1,-1.8403711,-1.91407,"('unfriendly', 'friendly')",1.3494742,1.1805643,-0.2454485,-0.3667529,-0.1213044
2,-0.011360293,0.017749194,"('unlikable', 'likable')",0.61064756,0.5923939,0.2996436,0.3050715,0.0054279
3,0.11362347,0.2471734,"('repellent', 'pleasant')",0.5349394,0.53517497,0.3242815,0.3911742,0.0668927
4,-0.5976717,-0.56078726,"('disliked', 'liked')",-6.390585,-6.3467298,-3.4941282,-3.4537585,0.0403697
5,-1.9747717,-2.0143514,"('distant', 'outgoing')",-0.4196859,-0.41692355,-1.1972288,-1.2156374,-0.0184086
6,-2.5717974,-2.5535011,"('distant', 'open')",-0.5024297,-0.52762914,-1.5371135,-1.5405651,-0.0034516
7,0.4657433,0.54376745,"('insensitive', 'sensitive')",0.15913516,0.17266154,0.3124392,0.3582145,0.0457753
8,-0.91600525,-0.9498193,"('unaffectionate', 'affectionate')",0.5124538,0.44071802,-0.2017757,-0.2545506,-0.0527749
9,-0.93067116,-0.98112434,"('unaffectionate', 'caring')",1.0215482,0.9812777,0.0454385,7.67e-05,-0.0453618
10,0.38117442,0.3398132,"('unsympathetic', 'sympathetic')",-0.68098086,-0.7499592,-0.1499032,-0.205073,-0.0551698
11,0.41715765,0.29681107,"('unhelpful', 'helpful')",1.5627799,1.5404353,0.9899688,0.9186232,-0.0713456
12,-0.3049475,-0.25750604,"('unsupportive', 'supportive')",-2.1650438,-2.1565952,-1.2349956,-1.2070507,0.0279449
13,0.070535004,-0.0833984,"('impolite', 'polite')",-0.70964897,-0.7242429,-0.319557,-0.4038207,-0.0842637
14,1.1267796,1.1572465,"('antisocial', 'social')",0.114564635,0.07889394,0.6206721,0.6180702,-0.0026019
15,-0.29672915,-0.40604672,"('boring', 'funny')",0.41730583,0.41742587,0.0602883,0.0056896,-0.0545987
16,-0.696217,-0.6327867,"('unpopular', 'popular')",0.54529136,0.53508615,-0.0754628,-0.0488503,0.0266125
17,-0.3788482,-0.37395558,"('nasty', 'nice')",-0.46615848,-0.4137002,-0.4225034,-0.3938279,0.0286755
18,-0.43844324,-0.4115766,"('disagreeable', 'welcoming')",-0.41038662,-0.5148281,-0.4244149,-0.4632024,-0.0387875
19,-1.998273,-2.0520804,"('inhospitable', 'hospitable')",-0.65769213,-0.66049963,-1.3279825,-1.35629,-0.0283075
20,0.49620166,0.50055206,"('rough', 'thoughtful')",0.6556778,0.6379167,0.5759397,0.5692344,-0.0067053
