,apparatus_male,apparatus_female,tuple,average_male,average_female,female-male
0,-0.4308172,-0.46159533,"('unsociable', 'sociable')",-0.4308172,-0.4615953,-0.0307781
1,0.77418333,0.7367485,"('unfriendly', 'friendly')",0.7741833,0.7367485,-0.0374348
2,-0.18552563,-0.12231415,"('unlikable', 'likable')",-0.1855256,-0.1223141,0.0632115
3,-0.12629962,0.06683294,"('repellent', 'pleasant')",-0.1262996,0.0668329,0.1931325
4,-7.4767857,-7.763824,"('disliked', 'liked')",-7.4767857,-7.763824,-0.2870383
5,-0.86245453,-0.93646765,"('distant', 'outgoing')",-0.8624545,-0.9364676,-0.0740131
6,-0.52468413,-0.52632874,"('distant', 'open')",-0.5246841,-0.5263287,-0.0016446
7,0.8693105,0.94283694,"('insensitive', 'sensitive')",0.8693105,0.9428369,0.0735264
8,0.8366758,0.8330016,"('unaffectionate', 'affectionate')",0.8366758,0.8330016,-0.0036742
9,1.5831004,1.6196572,"('unaffectionate', 'caring')",1.5831004,1.6196572,0.0365568
10,1.0590746,1.137188,"('unsympathetic', 'sympathetic')",1.0590746,1.137188,0.0781134
11,1.9687998,1.9708989,"('unhelpful', 'helpful')",1.9687998,1.9708989,0.0020991
12,-1.3952402,-1.4137983,"('unsupportive', 'supportive')",-1.3952402,-1.4137983,-0.0185581
13,-0.3357249,-0.36598766,"('impolite', 'polite')",-0.3357249,-0.3659877,-0.0302628
14,0.24411218,0.17988603,"('antisocial', 'social')",0.2441122,0.179886,-0.0642262
15,0.14232144,-0.038686216,"('boring', 'funny')",0.1423214,-0.0386862,-0.1810076
16,-0.88640404,-0.88608277,"('unpopular', 'popular')",-0.886404,-0.8860828,0.0003212
17,-0.5435365,-0.59220684,"('nasty', 'nice')",-0.5435365,-0.5922068,-0.0486703
18,-0.989276,-0.9244099,"('disagreeable', 'welcoming')",-0.989276,-0.9244099,0.0648661
19,-0.7646384,-0.7746901,"('inhospitable', 'hospitable')",-0.7646384,-0.7746901,-0.0100517
20,1.0493628,1.0678087,"('rough', 'thoughtful')",1.0493628,1.0678087,0.0184459
21,-0.14012846,-0.075497545,"('immoral', 'moral')",-0.1401285,-0.0754975,0.064631
