,sprinter_male,sprinter_female,tuple,average_male,average_female,female-male
0,0.16899848,-0.035375737,"('unsociable', 'sociable')",0.1689985,-0.0353757,-0.2043742
1,0.87428474,0.78538567,"('unfriendly', 'friendly')",0.8742847,0.7853857,-0.088899
2,0.29847157,0.45006385,"('unlikable', 'likable')",0.2984716,0.4500639,0.1515923
3,0.50536215,0.7711499,"('repellent', 'pleasant')",0.5053622,0.7711499,0.2657877
4,-7.702874,-7.853626,"('disliked', 'liked')",-7.7028742,-7.8536258,-0.1507516
5,-0.5683772,-0.6111329,"('distant', 'outgoing')",-0.5683772,-0.6111329,-0.0427557
6,-0.7275797,-0.7203649,"('distant', 'open')",-0.7275797,-0.7203649,0.0072148
7,1.3607748,1.4787645,"('insensitive', 'sensitive')",1.3607748,1.4787645,0.1179897
8,0.5978006,0.6136108,"('unaffectionate', 'affectionate')",0.5978006,0.6136108,0.0158102
9,1.7134022,1.7111479,"('unaffectionate', 'caring')",1.7134022,1.7111479,-0.0022543
10,1.2945973,1.4330662,"('unsympathetic', 'sympathetic')",1.2945973,1.4330662,0.1384689
11,2.5818367,2.631596,"('unhelpful', 'helpful')",2.5818367,2.6315961,0.0497594
12,-1.3967571,-1.3956076,"('unsupportive', 'supportive')",-1.3967571,-1.3956076,0.0011495
13,0.6914735,0.52950346,"('impolite', 'polite')",0.6914735,0.5295035,-0.16197
14,-0.008782666,0.087625146,"('antisocial', 'social')",-0.0087827,0.0876251,0.0964078
15,0.4331839,0.47271574,"('boring', 'funny')",0.4331839,0.4727157,0.0395318
16,-0.6478039,-0.65065885,"('unpopular', 'popular')",-0.6478039,-0.6506588,-0.0028549
17,-0.49791437,-0.51710033,"('nasty', 'nice')",-0.4979144,-0.5171003,-0.0191859
18,-0.5346499,-0.5704563,"('disagreeable', 'welcoming')",-0.5346499,-0.5704563,-0.0358064
19,-0.59136504,-0.5480123,"('inhospitable', 'hospitable')",-0.591365,-0.5480123,0.0433527
20,0.56419814,0.62018186,"('rough', 'thoughtful')",0.5641981,0.6201819,0.0559838
21,0.50392705,0.6575603,"('immoral', 'moral')",0.5039271,0.6575603,0.1536332
22,-0.55237776,-0.48776296,"('untrustworthy', 'trustworthy')",-0.5523778,-0.487763,0.0646148
23,7.184075,7.3555264,"('insincere', 'sincere')",7.1840749,7.3555264,0.1714515
24,1.9786922,2.0620148,"('dishonest', 'honest')",1.9786922,2.0620148,0.0833226
25,0.3373302,0.222946,"('egoistic', 'altruistic')",0.3373302,0.222946,-0.1143842
26,-0.13857198,-0.29680598,"('hardhearted', 'benevolent')",-0.138572,-0.296806,-0.158234
27,1.0933177,1.1068081,"('hardhearted', 'softhearted')",1.0933177,1.1068081,0.0134904
28,0.98375195,0.93023753,"('disloyal', 'loyal')",0.983752,0.9302375,-0.0535145
29,-0.7440445,-0.7982272,"('unfair', 'fair')",-0.7440445,-0.7982272,-0.0541827
30,1.6507772,1.643732,"('intolerant', 'tolerant')",1.6507772,1.643732,-0.0070452
31,-2.0863142,-2.0454426,"('evil', 'good')",-2.0863142,-2.0454426,0.0408716
32,1.3705965,1.1816201,"('unkind', 'kind')",1.3705965,1.1816201,-0.1889764
33,-0.102473795,-0.26980448,"('wrong', 'right')",-0.1024738,-0.2698045,-0.1673307
34,4.903853,5.093091,"('mean', 'honorable')",4.9038529,5.093091,0.1892381
35,-1.1577868,-1.3135706,"('corrupt', 'incorrupt')",-1.1577868,-1.3135706,-0.1557838
36,-1.1472641,-1.2466023,"('hostile', 'amicable')",-1.1472641,-1.2466023,-0.0993382
37,1.2672514,1.3103112,"('fake', 'genuine')",1.2672514,1.3103112,0.0430598
38,0.96472985,0.7424788,"('untruthful', 'truthful')",0.9647298,0.7424788,-0.222251
39,0.57255495,0.421647,"('exploitative', 'cooperative')",0.5725549,0.421647,-0.1509079
40,-2.345434,-2.2295046,"('stingy', 'generous')",-2.345434,-2.2295046,0.1159294
41,0.3625368,0.18065855,"('unforgiving', 'forgiving')",0.3625368,0.1806585,-0.1818783
42,-2.6357055,-2.430604,"('unreliable', 'reliable')",-2.6357055,-2.430604,0.2051015
43,1.2253668,1.2249084,"('irresponsible', 'responsible')",1.2253668,1.2249084,-0.0004584
44,-1.6511955,-1.7775024,"('prejudiced', 'unprejudiced')",-1.6511955,-1.7775024,-0.1263069
45,0.083601594,0.30354086,"('incompetent', 'competent')",0.0836016,0.3035409,0.2199393
46,0.007503953,0.09226653,"('uncompetitive', 'competitive')",0.007504,0.0922665,0.0847625
47,5.3013234,5.573202,"('stupid', 'smart')",5.3013234,5.5732021,0.2718787
48,1.3482416,1.4401959,"('unintelligent', 'intelligent')",1.3482416,1.4401959,0.0919543
49,0.02115981,0.21935317,"('unable', 'able')",0.0211598,0.2193532,0.1981934
50,-0.16738,-0.011360357,"('clumsy', 'skillful')",-0.16738,-0.0113604,0.1560196
51,0.73103523,0.8409885,"('uneducated', 'educated')",0.7310352,0.8409885,0.1099533
52,-1.022862,-1.0853097,"('irrational', 'rational')",-1.022862,-1.0853097,-0.0624477
53,0.04116203,0.10080913,"('uncreative', 'creative')",0.041162,0.1008091,0.0596471
54,0.8008216,0.9766876,"('incapable', 'capable')",0.8008216,0.9766876,0.175866
55,1.1332037,1.3689353,"('incompetent', 'clever')",1.1332037,1.3689353,0.2357316
56,1.2148923,1.2417654,"('impractical', 'practical')",1.2148923,1.2417654,0.0268731
57,-3.2665842,-3.1111321,"('unimaginative', 'imaginative')",-3.2665842,-3.1111321,0.1554521
58,-0.23895657,-0.11899723,"('undiscriminating', 'discriminating')",-0.2389566,-0.1189972,0.1199594
59,-0.38893732,-0.38718814,"('foolish', 'wise')",-0.3889373,-0.3871881,0.0017492
60,1.7505026,1.7538416,"('inefficient', 'efficient')",1.7505026,1.7538416,0.003339
61,0.95186657,0.7835031,"('illogical', 'logical')",0.9518666,0.7835031,-0.1683635
62,1.427559,1.6912347,"('incompetent', 'brilliant')",1.427559,1.6912347,0.2636757
63,0.9436495,1.0892205,"('unperceptive', 'insightful')",0.9436495,1.0892205,0.145571
64,-6.076221,-6.112708,"('shy', 'confident')",-6.076221,-6.1127081,-0.0364871
65,0.8114723,1.0065584,"('insecure', 'secure')",0.8114723,1.0065584,0.1950861
66,-0.77500355,-0.777038,"('inactive', 'active')",-0.7750036,-0.777038,-0.0020344
67,-0.51923853,-0.62232727,"('doubtful', 'determined')",-0.5192385,-0.6223273,-0.1030888
68,-0.33007875,-0.21529368,"('dependent', 'independent')",-0.3300788,-0.2152937,0.1147851
69,-1.8081405,-1.903241,"('lazy', 'industrious')",-1.8081405,-1.903241,-0.0951005
70,1.38841,1.5568585,"('lethargic', 'energetic')",1.38841,1.5568585,0.1684485
71,0.16516155,0.10930853,"('diffident', 'self-confident')",0.1651616,0.1093085,-0.0558531
72,0.44563866,0.61080927,"('unambitious', 'ambitious')",0.4456387,0.6108093,0.1651706
73,-3.588508,-3.4134293,"('helpless', 'self-reliant')",-3.5885079,-3.4134293,0.1750786
74,0.1032657,-0.021511786,"('undedicated', 'dedicated')",0.1032657,-0.0215118,-0.1247775
75,-1.4978956,-1.3501339,"('meek', 'impulsive')",-1.4978956,-1.3501339,0.1477617
76,0.6920299,0.8115518,"('anxious', 'daring')",0.6920299,0.8115518,0.1195219
77,-0.40913984,-0.359665,"('unmotivated', 'motivated')",-0.4091398,-0.359665,0.0494748
78,-0.4282368,-0.44942358,"('nonresilient', 'resilient')",-0.4282368,-0.4494236,-0.0211868
79,-0.4442681,-0.5048093,"('wavering', 'unwavering')",-0.4442681,-0.5048093,-0.0605412
80,0.103821404,0.13295043,"('dominated', 'dominating')",0.1038214,0.1329504,0.029129
81,0.31212077,0.56073236,"('submissive', 'aggressive')",0.3121208,0.5607324,0.2486116
82,5.744134,6.2812853,"('poor', 'rich')",5.7441339,6.2812853,0.5371514
83,-0.31679186,-0.40382776,"('powerless', 'powerful')",-0.3167919,-0.4038278,-0.0870359
84,0.1988282,0.25489366,"('inferior', 'superior')",0.1988282,0.2548937,0.0560655
85,-0.775699,-1.1124535,"('insignificant', 'prestigious')",-0.775699,-1.1124535,-0.3367545
86,0.543422,0.52998334,"('uninfluential', 'influential')",0.543422,0.5299833,-0.0134387
87,-0.22072315,0.050716657,"('unsuccessful', 'successful')",-0.2207232,0.0507167,0.2714399
88,0.51929986,0.47535244,"('low', 'eminent')",0.5192999,0.4753524,-0.0439475
