,metaphor_male,metaphor_female,tuple,average_male,average_female,female-male
0,0.061211254,0.0016297363,"('unsociable', 'sociable')",0.0612113,0.0016297,-0.0595816
1,1.323389,1.2566164,"('unfriendly', 'friendly')",1.3233891,1.2566164,-0.0667727
2,0.5429448,0.6700552,"('unlikable', 'likable')",0.5429448,0.6700552,0.1271104
3,0.8423853,0.8347051,"('repellent', 'pleasant')",0.8423853,0.8347051,-0.0076802
4,-7.118124,-7.014951,"('disliked', 'liked')",-7.118124,-7.0149512,0.1031728
5,0.2792678,0.3028523,"('distant', 'outgoing')",0.2792678,0.3028523,0.0235845
6,0.4921078,0.5045608,"('distant', 'open')",0.4921078,0.5045608,0.012453
7,0.81545025,0.8335803,"('insensitive', 'sensitive')",0.8154503,0.8335803,0.01813
8,1.0321747,0.9953395,"('unaffectionate', 'affectionate')",1.0321747,0.9953395,-0.0368352
9,1.5804733,1.6048307,"('unaffectionate', 'caring')",1.5804733,1.6048307,0.0243574
10,1.1622789,1.2413975,"('unsympathetic', 'sympathetic')",1.1622789,1.2413975,0.0791186
11,2.11057,2.1452665,"('unhelpful', 'helpful')",2.11057,2.1452665,0.0346965
12,-1.2287549,-1.1698782,"('unsupportive', 'supportive')",-1.2287549,-1.1698782,0.0588767
13,0.49362454,0.46262532,"('impolite', 'polite')",0.4936245,0.4626253,-0.0309992
14,-0.17069682,-0.28625238,"('antisocial', 'social')",-0.1706968,-0.2862524,-0.1155556
15,0.58297354,0.5568525,"('boring', 'funny')",0.5829735,0.5568525,-0.026121
16,-0.09213836,-0.041432217,"('unpopular', 'popular')",-0.0921384,-0.0414322,0.0507062
17,-0.04421124,0.048738115,"('nasty', 'nice')",-0.0442112,0.0487381,0.0929493
18,-0.19452262,-0.2761733,"('disagreeable', 'welcoming')",-0.1945226,-0.2761733,-0.0816507
19,-0.39587325,-0.22188154,"('inhospitable', 'hospitable')",-0.3958732,-0.2218815,0.1739917
20,0.7565016,0.5950886,"('rough', 'thoughtful')",0.7565016,0.5950886,-0.161413
