,altria_male,altria_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.1426634,-1.0769867,"('unsociable', 'sociable')",0.5179237,0.33564597,-0.5431432,-0.61647576,-0.3892943,-0.4526055,-0.0633112
1,-1.3907403,-1.4110856,"('unfriendly', 'friendly')",-0.58596355,-0.62294215,1.9108727,1.8739974,-0.0219437,-0.0533435,-0.0313998
2,0.66804004,0.7104873,"('unlikable', 'likable')",1.7969437,1.8397907,0.83198196,0.9433536,1.0989885,1.1645439,0.0655554
3,-0.5630048,-0.35434997,"('repellent', 'pleasant')",1.004664,1.0194471,0.10281176,0.11465692,0.1814903,0.259918,0.0784277
4,-0.55979234,-0.6098477,"('disliked', 'liked')",-0.5192362,-0.6046704,-6.152812,-6.1530147,-2.4106135,-2.4558442,-0.0452307
5,-0.87045,-0.92102027,"('distant', 'outgoing')",-1.9566346,-1.7919818,-0.21824375,-0.15944885,-1.0151095,-0.9574837,0.0576258
6,-1.1173154,-1.1045711,"('distant', 'open')",-2.2196376,-2.0256932,0.3271028,0.3366478,-1.0032834,-0.9312055,0.0720779
7,-0.10290478,0.14476144,"('insensitive', 'sensitive')",0.059370812,0.091192186,0.60401905,0.6464208,0.1868284,0.2941248,0.1072964
8,-0.71417475,-0.84503025,"('unaffectionate', 'affectionate')",-0.42549092,-0.43085903,0.88261795,0.8060689,-0.0856826,-0.1566068,-0.0709242
9,-1.0987551,-1.0969735,"('unaffectionate', 'caring')",-0.51190865,-0.52614576,1.1449642,1.122193,-0.1552332,-0.1669755,-0.0117423
10,-1.1980574,-0.8583503,"('unsympathetic', 'sympathetic')",-0.021683961,-0.08033386,-0.5435349,-0.5543371,-0.5877587,-0.4976737,0.090085
11,-0.30153447,-0.2495214,"('unhelpful', 'helpful')",-0.20896798,-0.30764014,1.6267579,1.6237458,0.3720851,0.3555281,-0.016557
12,-0.5716358,-0.36127117,"('unsupportive', 'supportive')",0.33902818,0.49484265,-1.6424687,-1.5511158,-0.6250254,-0.4725147,0.1525107
13,-0.20315665,-0.19476518,"('impolite', 'polite')",-0.082754396,-0.1537739,-0.5421257,-0.55693245,-0.2760123,-0.3018239,-0.0258116
14,0.25538892,0.34746376,"('antisocial', 'social')",1.8318795,1.7793995,-0.44830078,-0.47527522,0.5463225,0.5505293,0.0042068
15,0.2295744,0.04754064,"('boring', 'funny')",-0.9022836,-1.0209718,0.59106714,0.56347185,-0.027214,-0.1366531,-0.1094391
16,-0.90104043,-0.9024253,"('unpopular', 'popular')",-0.40909487,-0.3481347,0.4964111,0.4918966,-0.2712414,-0.2528878,0.0183536
17,-0.29341346,-0.26982418,"('nasty', 'nice')",-0.732755,-0.7021899,-0.26190293,-0.24046883,-0.4293571,-0.404161,0.0251961
18,-0.4072404,-0.34845537,"('disagreeable', 'welcoming')",-0.31244832,-0.238141,-0.34885523,-0.37141353,-0.3561813,-0.3193366,0.0368447
19,-1.3435397,-1.2912827,"('inhospitable', 'hospitable')",-1.9700961,-1.9121784,-0.1150657,-0.018130656,-1.1429005,-1.0738639,0.0690366
20,0.496941,0.58334,"('rough', 'thoughtful')",1.3096331,1.3584822,1.1367981,1.079819,0.9811241,1.0072138,0.0260897
21,0.32549474,0.46370056,"('immoral', 'moral')",0.8167547,0.7470499,-0.6313119,-0.56825787,0.1703125,0.2141642,0.0438517
22,0.039385643,0.15511613,"('untrustworthy', 'trustworthy')",0.9049673,0.81932545,-0.8707576,-0.94595134,0.0245318,0.0094967,-0.0150351
23,-0.6388317,-0.45215267,"('insincere', 'sincere')",0.35703886,0.2838793,5.478546,5.3168783,1.7322512,1.7162016,-0.0160496
24,-0.10434231,-0.029218972,"('dishonest', 'honest')",-0.3167678,-0.36747545,0.65650815,0.5775524,0.078466,0.060286,-0.01818
25,0.21644704,0.089003235,"('egoistic', 'altruistic')",-0.07284768,-0.08392407,1.7171477,1.6846557,0.620249,0.5632449,-0.0570041
26,0.20278099,0.16245398,"('hardhearted', 'benevolent')",1.0082477,0.9990702,1.7935066,1.7473773,1.0015117,0.9696338,-0.0318779
27,-0.08005186,-0.045604117,"('hardhearted', 'softhearted')",-0.5484054,-0.48428878,1.381346,1.3275013,0.2509629,0.2658695,0.0149066
